self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.06,61,0.936389922,0.86,0.932069131,0.7766,0.847261619,0.0566,,,,,,,,,
0.09,14,0.957868649,0.8546,0.892952128,0.8058,0.847140454,0.0966,,,,,,,,,
0.04,33,0.997108633,0.8469,0.846969394,0.8468,0.846884688,0.153,,,,,,,,,
0.04,40,0.997521685,0.8464,0.844608038,0.849,0.846798324,0.1562,,,,,,,,,
0.04,61,0.99669558,0.8471,0.849124925,0.8442,0.8466553,0.15,,,,,,,,,
0.03,37,0.995869475,0.8453,0.840063029,0.853,0.846482088,0.1624,,,,,,,,,
0.02,83,0.900041305,0.8515,0.876580244,0.8182,0.846384607,0.1152,,,,,,,,,
0.06,21,0.995869475,0.8474,0.852761982,0.8398,0.846231358,0.145,,,,,,,,,
0.01,57,0.997934738,0.8423,0.826062107,0.8672,0.84613133,0.1826,,,,,,,,,
0.02,65,0.988021479,0.8464,0.84863124,0.8432,0.845906902,0.1504,,,,,,,,,
0.04,7,1,0.8224,0.747087676,0.9748,0.845886845,0.33,,,,,,,,,
0.02,70,0.95125981,0.8486,0.861918605,0.8302,0.845762021,0.133,,,,,,,,,
0.03,32,0.994630318,0.8394,0.814026647,0.8798,0.845636294,0.201,,,,,,,,,
0.07,37,0.992152003,0.8475,0.857436741,0.8336,0.84535037,0.1386,,,,,,,,,
0.05,39,0.993391161,0.8455,0.849060416,0.8404,0.844708011,0.1494,,,,,,,,,
0.03,49,0.995043371,0.8484,0.865812684,0.8246,0.844703954,0.1278,,,,,,,,,
0.08,24,0.964477489,0.8503,0.877722666,0.814,0.844661202,0.1134,,,,,,,,,
0.1,40,0.953325072,0.8569,0.924577683,0.7772,0.844507226,0.0634,,,,,,,,,
0.06,49,0.992565056,0.8565,0.921693873,0.7792,0.844478162,0.0662,,,,,,,,,
0.04,16,0.99834779,0.8408,0.82581262,0.8638,0.844379277,0.1822,,,,,,,,,
0.03,44,0.99669558,0.8409,0.827096527,0.862,0.844187641,0.1802,,,,,,,,,
0.02,41,0.980173482,0.8406,0.825621415,0.8636,0.844183773,0.1824,,,,,,,,,
0.02,37,0.99669558,0.8387,0.816956766,0.873,0.844049115,0.1956,,,,,,,,,
0.02,86,0.943411813,0.8493,0.875026841,0.815,0.843947396,0.1164,,,,,,,,,
0.01,79,0.997108633,0.8456,0.853953298,0.8338,0.843756325,0.1426,,,,,,,,,
0.09,39,0.989673689,0.8553,0.917705149,0.7806,0.843618286,0.07,,,,,,,,,
0.06,46,0.983477902,0.8481,0.869297687,0.8194,0.843611654,0.1232,,,,,,,,,
0.03,68,0.957455597,0.8468,0.861551293,0.8264,0.843609637,0.1328,,,,,,,,,
0.05,65,0.940520446,0.8567,0.929862617,0.7716,0.84337086,0.0582,,,,,,,,,
0.09,28,0.985956216,0.8539,0.909132948,0.7864,0.843324397,0.0786,,,,,,,,,
0.07,31,0.966129698,0.8455,0.855525828,0.8314,0.843290395,0.1404,,,,,,,,,
0.08,28,0.995043371,0.8484,0.873179092,0.8152,0.843194042,0.1184,,,,,,,,,
0.06,14,0.996282528,0.8391,0.822399696,0.865,0.843162102,0.1868,,,,,,,,,
0.05,24,0.996282528,0.8423,0.839112344,0.847,0.843037723,0.1624,,,,,,,,,
0.05,14,0.997521685,0.84,0.82742681,0.8592,0.843014129,0.1792,,,,,,,,,
0.08,35,0.992565056,0.8547,0.91680376,0.7802,0.843003782,0.0708,,,,,,,,,
0.08,21,0.994630318,0.8482,0.872964867,0.815,0.842987174,0.1186,,,,,,,,,
0.14,9,0.997108633,0.8419,0.837912631,0.8478,0.842827319,0.164,,,,,,,,,
0.05,25,0.995456423,0.8444,0.851715686,0.834,0.842764753,0.1452,,,,,,,,,
0.03,75,0.991325898,0.8499,0.885097953,0.8042,0.842711935,0.1044,,,,,,,,,
0.04,35,0.97149938,0.8428,0.844314986,0.8406,0.842453397,0.155,,,,,,,,,
0.18,11,0.959107807,0.8523,0.903181506,0.7892,0.842352439,0.0846,,,,,,,,,
0.06,59,0.995456423,0.8533,0.910909514,0.7832,0.842241101,0.0766,,,,,,,,,
0.1,22,0.993804213,0.8538,0.916627414,0.7784,0.841877569,0.0708,,,,,,,,,
0.04,26,0.990912846,0.8406,0.835897436,0.8476,0.841708044,0.1664,,,,,,,,,
0.02,33,0.999173895,0.8338,0.804895871,0.8812,0.841321367,0.2136,,,,,,,,,
0.04,58,0.983890954,0.8452,0.863062684,0.8206,0.841295879,0.1302,,,,,,,,,
0.11,4,0.99834779,0.8358,0.814066592,0.8704,0.84129132,0.1988,,,,,,,,,
0.11,11,0.997934738,0.845,0.862394958,0.821,0.841188525,0.131,,,,,,,,,
0.01,39,0.997934738,0.8322,0.799387167,0.887,0.84091771,0.2226,,,,,,,,,
0.01,52,0.99669558,0.8353,0.813188866,0.8706,0.840915677,0.2,,,,,,,,,
0.02,59,0.995456423,0.8471,0.876382563,0.8082,0.840911456,0.114,,,,,,,,,
0.04,30,0.992978108,0.8404,0.838639077,0.843,0.840813884,0.1622,,,,,,,,,
0.05,18,0.997521685,0.838,0.827392484,0.8542,0.840582562,0.1782,,,,,,,,,
0.01,100,0.995456423,0.8508,0.902478201,0.7866,0.840564223,0.085,,,,,,,,,
