threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
-0.33,0.26683187,0.7288,0.893397524,0.5196,0.657056146,0.062,,,,,,,,,
-0.32,0.26600578,0.7289,0.894519131,0.519,0.656878876,0.0612,,,,,,,,,
-0.31,0.26559272,0.7288,0.895300622,0.5182,0.656447935,0.0606,,,,,,,,,
-0.3,0.26517966,0.7284,0.895429363,0.5172,0.655679513,0.0604,,,,,,,,,
-0.29,0.26476663,0.728,0.895284327,0.5164,0.654997463,0.0604,,,,,,,,,
-0.28,0.2639405,0.7277,0.895449809,0.5156,0.654397766,0.0602,,,,,,,,,
-0.27,0.26352748,0.7277,0.89627567,0.515,0.654134383,0.0596,,,,,,,,,
-0.26,0.26352748,0.7274,0.896167247,0.5144,0.653621347,0.0596,,,,,,,,,
-0.25,0.26352748,0.7271,0.896058598,0.5138,0.653107919,0.0596,,,,,,,,,
-0.24,0.26352748,0.7267,0.895913378,0.513,0.652422739,0.0596,,,,,,,,,
-0.23,0.26270136,0.7265,0.895840615,0.5126,0.652079888,0.0596,,,,,,,,,
-0.22,0.2622883,0.7262,0.896008403,0.5118,0.651476578,0.0594,,,,,,,,,
-0.21,0.26187527,0.7257,0.896103896,0.5106,0.65052873,0.0592,,,,,,,,,
-0.2,0.2614622,0.7253,0.895957821,0.5098,0.649840663,0.0592,,,,,,,,,
-0.19,0.2614622,0.725,0.895847994,0.5092,0.649324152,0.0592,,,,,,,,,
-0.18,0.26104915,0.7247,0.896016919,0.5084,0.648717622,0.059,,,,,,,,,
-0.17,0.2606361,0.7246,0.896259704,0.508,0.648455451,0.0588,,,,,,,,,
-0.16,0.25981,0.7244,0.896186441,0.5076,0.648110317,0.0588,,,,,,,,,
-0.15,0.25939694,0.7243,0.896710294,0.507,0.647757762,0.0584,,,,,,,,,
-0.14,0.25898388,0.7242,0.896954674,0.5066,0.647494888,0.0582,,,,,,,,,
-0.13,0.25898388,0.7243,0.897554059,0.5064,0.647487534,0.0578,,,,,,,,,
-0.12,0.25898388,0.7244,0.8984375,0.506,0.647389969,0.0572,,,,,,,,,
-0.11,0.25898388,0.7242,0.898648649,0.5054,0.646953405,0.057,,,,,,,,,
-0.1,0.25898388,0.7239,0.898540406,0.5048,0.646433602,0.057,,,,,,,,,
-0.09,0.25898388,0.7239,0.898540406,0.5048,0.646433602,0.057,,,,,,,,,
-0.08,0.25857085,0.7239,0.899108734,0.5044,0.646252402,0.0566,,,,,,,,,
-0.06,0.2581578,0.7239,0.899678686,0.504,0.646071017,0.0562,,,,,,,,,
-0.05,0.2581578,0.7239,0.899678686,0.504,0.646071017,0.0562,,,,,,,,,
-0.07,0.2581578,0.7238,0.899357602,0.504,0.645988208,0.0564,,,,,,,,,
-0.04,0.25774473,0.7238,0.89992852,0.5036,0.645806617,0.056,,,,,,,,,
-0.03,0.25733167,0.7236,0.900143164,0.503,0.645368232,0.0558,,,,,,,,,
-0.01,0.25691864,0.7237,0.900752418,0.5028,0.645360031,0.0554,,,,,,,,,
8.88E-16,0.25691864,0.7237,0.901039799,0.5026,0.645268969,0.0552,,,,,,,,,
-0.02,0.25691864,0.7235,0.900107411,0.5028,0.645194405,0.0558,,,,,,,,,
0.01,0.25609252,0.7236,0.901004304,0.5024,0.645095018,0.0552,,,,,,,,,
0.02,0.25526643,0.7234,0.900933238,0.502,0.644746982,0.0552,,,,,,,,,
