radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.01,360,0,0.499,0.142857143,0.0004,0.000797766,0.0024,,,,,,,,,
0.02,100,0,0.4955,0.040816327,0.0004,0.000792236,0.0094,,,,,,,,,
0.01,270,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.02,340,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.02,500,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,360,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.04,440,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.05,90,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.05,140,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.06,360,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.06,380,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.07,270,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.09,460,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.1,70,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.12,100,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.13,40,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.15,240,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.16,90,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.17,10,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.19,20,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.19,440,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.23,250,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.34,110,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,500,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.04,50,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.32,400,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.01,70,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.01,440,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.03,120,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.12,230,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.15,70,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.15,320,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.2,440,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.21,30,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.36,90,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.01,130,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.05,320,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.07,70,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.11,250,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.12,150,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.13,170,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.2,330,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.08,420,0,0.4996,0.166666667,0.0002,0.000399521,0.001,,,,,,,,,
0.11,150,0,0.4996,0.166666667,0.0002,0.000399521,0.001,,,,,,,,,
0.02,450,0,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.08,250,0.0002,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.11,500,0,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.06,40,0,0.4994,0.125,0.0002,0.000399361,0.0014,,,,,,,,,
