radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.08,60,0,0.5,0,0,0,0,,,,,,,,,
0.08,70,0,0.5,0,0,0,0,,,,,,,,,
0.08,80,0,0.5,0,0,0,0,,,,,,,,,
0.08,90,0,0.5,0,0,0,0,,,,,,,,,
0.08,100,0,0.5,0,0,0,0,,,,,,,,,
0.08,110,0,0.5,0,0,0,0,,,,,,,,,
0.08,120,0,0.5,0,0,0,0,,,,,,,,,
0.08,130,0,0.5,0,0,0,0,,,,,,,,,
0.08,140,0,0.5,0,0,0,0,,,,,,,,,
0.08,150,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.08,160,0,0.5,0,0,0,0,,,,,,,,,
0.08,180,0,0.5,0,0,0,0,,,,,,,,,
0.08,190,0,0.5,0,0,0,0,,,,,,,,,
0.08,200,0,0.5,0,0,0,0,,,,,,,,,
0.08,210,0,0.5,0,0,0,0,,,,,,,,,
0.08,220,0,0.5,0,0,0,0,,,,,,,,,
0.08,230,0,0.5,0,0,0,0,,,,,,,,,
0.08,240,0,0.5,0,0,0,0,,,,,,,,,
0.08,260,0,0.5,0,0,0,0,,,,,,,,,
0.08,270,0,0.5,0,0,0,0,,,,,,,,,
0.08,280,0,0.5,0,0,0,0,,,,,,,,,
0.08,290,0,0.5,0,0,0,0,,,,,,,,,
0.08,300,0,0.5,0,0,0,0,,,,,,,,,
0.08,310,0,0.5,0,0,0,0,,,,,,,,,
0.08,320,0,0.5,0,0,0,0,,,,,,,,,
0.08,330,0,0.5,0,0,0,0,,,,,,,,,
0.08,340,0,0.5,0,0,0,0,,,,,,,,,
0.08,350,0,0.5,0,0,0,0,,,,,,,,,
0.08,360,0,0.5,0,0,0,0,,,,,,,,,
0.08,370,0,0.5,0,0,0,0,,,,,,,,,
0.08,390,0,0.5,0,0,0,0,,,,,,,,,
0.08,400,0,0.5,0,0,0,0,,,,,,,,,
0.08,410,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.08,430,0,0.5,0,0,0,0,,,,,,,,,
0.08,440,0,0.5,0,0,0,0,,,,,,,,,
0.08,450,0,0.5,0,0,0,0,,,,,,,,,
0.08,460,0,0.5,0,0,0,0,,,,,,,,,
0.08,470,0,0.5,0,0,0,0,,,,,,,,,
0.08,480,0,0.5,0,0,0,0,,,,,,,,,
0.08,490,0,0.5,0,0,0,0,,,,,,,,,
0.08,500,0,0.5,0,0,0,0,,,,,,,,,
0.09,10,0,0.5,0,0,0,0,,,,,,,,,
0.09,20,0,0.5,0,0,0,0,,,,,,,,,
0.09,30,0,0.5,0,0,0,0,,,,,,,,,
0.09,40,0,0.5,0,0,0,0,,,,,,,,,
0.09,50,0,0.5,0,0,0,0,,,,,,,,,
0.09,60,0,0.5,0,0,0,0,,,,,,,,,
0.09,70,0,0.5,0,0,0,0,,,,,,,,,
0.09,80,0,0.5,0,0,0,0,,,,,,,,,
0.09,90,0,0.5,0,0,0,0,,,,,,,,,
0.09,100,0,0.5,0,0,0,0,,,,,,,,,
0.09,110,0,0.5,0,0,0,0,,,,,,,,,
0.09,120,0,0.5,0,0,0,0,,,,,,,,,
0.09,130,0,0.5,0,0,0,0,,,,,,,,,
0.09,140,0,0.5,0,0,0,0,,,,,,,,,
0.09,150,0,0.5,0,0,0,0,,,,,,,,,
0.09,160,0,0.5,0,0,0,0,,,,,,,,,
0.09,180,0,0.5,0,0,0,0,,,,,,,,,
0.09,190,0,0.5,0,0,0,0,,,,,,,,,
0.09,200,0,0.5,0,0,0,0,,,,,,,,,
0.09,210,0,0.5,0,0,0,0,,,,,,,,,
0.09,220,0,0.5,0,0,0,0,,,,,,,,,
0.09,230,0,0.5,0,0,0,0,,,,,,,,,
0.09,240,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.09,250,0,0.5,0,0,0,0,,,,,,,,,
0.09,260,0,0.5,0,0,0,0,,,,,,,,,
0.09,270,0,0.5,0,0,0,0,,,,,,,,,
0.09,280,0,0.5,0,0,0,0,,,,,,,,,
0.09,290,0,0.5,0,0,0,0,,,,,,,,,
0.09,300,0,0.5,0,0,0,0,,,,,,,,,
0.09,310,0,0.5,0,0,0,0,,,,,,,,,
0.09,330,0,0.5,0,0,0,0,,,,,,,,,
0.09,340,0,0.5,0,0,0,0,,,,,,,,,
0.09,350,0,0.5,0,0,0,0,,,,,,,,,
0.09,360,0,0.5,0,0,0,0,,,,,,,,,
0.09,370,0,0.5,0,0,0,0,,,,,,,,,
0.09,380,0,0.5,0,0,0,0,,,,,,,,,
0.09,390,0,0.5,0,0,0,0,,,,,,,,,
0.09,410,0,0.5,0,0,0,0,,,,,,,,,
0.09,420,0,0.5,0,0,0,0,,,,,,,,,
0.09,430,0,0.5,0,0,0,0,,,,,,,,,
0.09,440,0,0.5,0,0,0,0,,,,,,,,,
0.09,450,0,0.5,0,0,0,0,,,,,,,,,
0.09,470,0,0.5,0,0,0,0,,,,,,,,,
0.09,480,0,0.5,0,0,0,0,,,,,,,,,
0.09,490,0,0.5,0,0,0,0,,,,,,,,,
0.09,500,0,0.5,0,0,0,0,,,,,,,,,
0.1,20,0,0.5,0,0,0,0,,,,,,,,,
0.1,30,0,0.5,0,0,0,0,,,,,,,,,
0.1,40,0,0.5,0,0,0,0,,,,,,,,,
0.1,50,0,0.5,0,0,0,0,,,,,,,,,
0.1,60,0,0.5,0,0,0,0,,,,,,,,,
0.1,80,0,0.5,0,0,0,0,,,,,,,,,
0.1,90,0,0.5,0,0,0,0,,,,,,,,,
0.1,100,0,0.5,0,0,0,0,,,,,,,,,
0.1,110,0,0.5,0,0,0,0,,,,,,,,,
0.1,120,0,0.5,0,0,0,0,,,,,,,,,
0.1,130,0,0.5,0,0,0,0,,,,,,,,,
0.1,140,0,0.5,0,0,0,0,,,,,,,,,
0.1,150,0,0.5,0,0,0,0,,,,,,,,,
0.1,160,0,0.5,0,0,0,0,,,,,,,,,
0.1,170,0,0.5,0,0,0,0,,,,,,,,,
0.1,180,0,0.5,0,0,0,0,,,,,,,,,
0.1,190,0,0.5,0,0,0,0,,,,,,,,,
0.1,200,0,0.5,0,0,0,0,,,,,,,,,
0.1,210,0,0.5,0,0,0,0,,,,,,,,,
0.1,220,0,0.5,0,0,0,0,,,,,,,,,
0.1,230,0,0.5,0,0,0,0,,,,,,,,,
0.1,240,0,0.5,0,0,0,0,,,,,,,,,
0.1,250,0,0.5,0,0,0,0,,,,,,,,,
0.1,260,0,0.5,0,0,0,0,,,,,,,,,
0.1,270,0,0.5,0,0,0,0,,,,,,,,,
0.1,280,0,0.5,0,0,0,0,,,,,,,,,
0.1,290,0,0.5,0,0,0,0,,,,,,,,,
0.1,300,0,0.5,0,0,0,0,,,,,,,,,
0.1,310,0,0.5,0,0,0,0,,,,,,,,,
0.1,320,0,0.5,0,0,0,0,,,,,,,,,
0.1,330,0,0.5,0,0,0,0,,,,,,,,,
0.1,340,0,0.5,0,0,0,0,,,,,,,,,
0.1,350,0,0.5,0,0,0,0,,,,,,,,,
0.1,360,0,0.5,0,0,0,0,,,,,,,,,
0.1,370,0,0.5,0,0,0,0,,,,,,,,,
0.1,380,0,0.5,0,0,0,0,,,,,,,,,
0.1,390,0,0.5,0,0,0,0,,,,,,,,,
0.1,400,0,0.5,0,0,0,0,,,,,,,,,
0.1,410,0,0.5,0,0,0,0,,,,,,,,,
0.1,430,0,0.5,0,0,0,0,,,,,,,,,
0.1,440,0,0.5,0,0,0,0,,,,,,,,,
0.1,450,0,0.5,0,0,0,0,,,,,,,,,
0.1,460,0,0.5,0,0,0,0,,,,,,,,,
0.1,480,0,0.5,0,0,0,0,,,,,,,,,
0.1,500,0,0.5,0,0,0,0,,,,,,,,,
0.11,10,0,0.5,0,0,0,0,,,,,,,,,
0.11,20,0,0.5,0,0,0,0,,,,,,,,,
0.11,30,0,0.5,0,0,0,0,,,,,,,,,
0.11,40,0,0.5,0,0,0,0,,,,,,,,,
0.11,50,0,0.5,0,0,0,0,,,,,,,,,
0.11,60,0,0.5,0,0,0,0,,,,,,,,,
0.11,70,0,0.5,0,0,0,0,,,,,,,,,
0.11,80,0,0.5,0,0,0,0,,,,,,,,,
0.11,100,0,0.5,0,0,0,0,,,,,,,,,
0.11,110,0,0.5,0,0,0,0,,,,,,,,,
0.11,120,0,0.5,0,0,0,0,,,,,,,,,
0.11,130,0,0.5,0,0,0,0,,,,,,,,,
0.11,140,0,0.5,0,0,0,0,,,,,,,,,
0.11,160,0,0.5,0,0,0,0,,,,,,,,,
0.11,180,0,0.5,0,0,0,0,,,,,,,,,
0.11,190,0,0.5,0,0,0,0,,,,,,,,,
0.11,200,0,0.5,0,0,0,0,,,,,,,,,
0.11,210,0,0.5,0,0,0,0,,,,,,,,,
0.11,220,0,0.5,0,0,0,0,,,,,,,,,
0.11,230,0,0.5,0,0,0,0,,,,,,,,,
0.11,240,0,0.5,0,0,0,0,,,,,,,,,
0.11,260,0,0.5,0,0,0,0,,,,,,,,,
0.11,270,0,0.5,0,0,0,0,,,,,,,,,
0.11,280,0,0.5,0,0,0,0,,,,,,,,,
0.11,290,0,0.5,0,0,0,0,,,,,,,,,
0.11,300,0,0.5,0,0,0,0,,,,,,,,,
0.11,310,0,0.5,0,0,0,0,,,,,,,,,
0.11,320,0,0.5,0,0,0,0,,,,,,,,,
0.11,330,0,0.5,0,0,0,0,,,,,,,,,
0.11,340,0,0.5,0,0,0,0,,,,,,,,,
0.11,350,0,0.5,0,0,0,0,,,,,,,,,
0.11,360,0,0.5,0,0,0,0,,,,,,,,,
0.11,370,0,0.5,0,0,0,0,,,,,,,,,
0.11,380,0,0.5,0,0,0,0,,,,,,,,,
0.11,390,0,0.5,0,0,0,0,,,,,,,,,
0.11,400,0,0.5,0,0,0,0,,,,,,,,,
0.11,410,0,0.5,0,0,0,0,,,,,,,,,
0.11,420,0,0.5,0,0,0,0,,,,,,,,,
0.11,430,0,0.5,0,0,0,0,,,,,,,,,
0.11,440,0,0.5,0,0,0,0,,,,,,,,,
0.11,450,0,0.5,0,0,0,0,,,,,,,,,
0.11,460,0,0.5,0,0,0,0,,,,,,,,,
0.11,470,0,0.5,0,0,0,0,,,,,,,,,
0.11,480,0,0.5,0,0,0,0,,,,,,,,,
0.11,490,0,0.5,0,0,0,0,,,,,,,,,
0.12,10,0,0.5,0,0,0,0,,,,,,,,,
0.12,20,0,0.5,0,0,0,0,,,,,,,,,
0.12,30,0,0.5,0,0,0,0,,,,,,,,,
0.12,40,0,0.5,0,0,0,0,,,,,,,,,
0.12,60,0,0.5,0,0,0,0,,,,,,,,,
0.12,70,0,0.5,0,0,0,0,,,,,,,,,
0.12,80,0,0.5,0,0,0,0,,,,,,,,,
0.12,90,0,0.5,0,0,0,0,,,,,,,,,
0.12,110,0,0.5,0,0,0,0,,,,,,,,,
0.12,120,0,0.5,0,0,0,0,,,,,,,,,
0.12,130,0,0.5,0,0,0,0,,,,,,,,,
0.12,140,0,0.5,0,0,0,0,,,,,,,,,
0.12,160,0,0.5,0,0,0,0,,,,,,,,,
0.12,170,0,0.5,0,0,0,0,,,,,,,,,
0.12,180,0,0.5,0,0,0,0,,,,,,,,,
0.12,190,0,0.5,0,0,0,0,,,,,,,,,
0.12,200,0,0.5,0,0,0,0,,,,,,,,,
0.12,210,0,0.5,0,0,0,0,,,,,,,,,
0.12,220,0,0.5,0,0,0,0,,,,,,,,,
0.12,240,0,0.5,0,0,0,0,,,,,,,,,
0.12,250,0,0.5,0,0,0,0,,,,,,,,,
0.12,260,0,0.5,0,0,0,0,,,,,,,,,
0.12,270,0,0.5,0,0,0,0,,,,,,,,,
0.12,280,0,0.5,0,0,0,0,,,,,,,,,
0.12,290,0,0.5,0,0,0,0,,,,,,,,,
0.12,300,0,0.5,0,0,0,0,,,,,,,,,
0.12,310,0,0.5,0,0,0,0,,,,,,,,,
0.12,320,0,0.5,0,0,0,0,,,,,,,,,
0.12,330,0,0.5,0,0,0,0,,,,,,,,,
0.12,340,0,0.5,0,0,0,0,,,,,,,,,
0.12,350,0,0.5,0,0,0,0,,,,,,,,,
0.12,360,0,0.5,0,0,0,0,,,,,,,,,
0.12,370,0,0.5,0,0,0,0,,,,,,,,,
0.12,380,0,0.5,0,0,0,0,,,,,,,,,
0.12,390,0,0.5,0,0,0,0,,,,,,,,,
0.12,400,0,0.5,0,0,0,0,,,,,,,,,
0.12,410,0,0.5,0,0,0,0,,,,,,,,,
0.12,420,0,0.5,0,0,0,0,,,,,,,,,
0.12,430,0,0.5,0,0,0,0,,,,,,,,,
0.12,440,0,0.5,0,0,0,0,,,,,,,,,
0.12,450,0,0.5,0,0,0,0,,,,,,,,,
0.12,460,0,0.5,0,0,0,0,,,,,,,,,
0.12,470,0,0.5,0,0,0,0,,,,,,,,,
0.12,480,0,0.5,0,0,0,0,,,,,,,,,
0.12,490,0,0.5,0,0,0,0,,,,,,,,,
0.12,500,0,0.5,0,0,0,0,,,,,,,,,
0.13,10,0,0.5,0,0,0,0,,,,,,,,,
0.13,20,0,0.5,0,0,0,0,,,,,,,,,
0.13,30,0,0.5,0,0,0,0,,,,,,,,,
0.13,50,0,0.5,0,0,0,0,,,,,,,,,
0.13,60,0,0.5,0,0,0,0,,,,,,,,,
0.13,70,0,0.5,0,0,0,0,,,,,,,,,
0.13,80,0,0.5,0,0,0,0,,,,,,,,,
0.13,90,0,0.5,0,0,0,0,,,,,,,,,
0.13,100,0,0.5,0,0,0,0,,,,,,,,,
0.13,110,0,0.5,0,0,0,0,,,,,,,,,
0.13,120,0,0.5,0,0,0,0,,,,,,,,,
0.13,130,0,0.5,0,0,0,0,,,,,,,,,
0.13,140,0,0.5,0,0,0,0,,,,,,,,,
0.13,150,0,0.5,0,0,0,0,,,,,,,,,
0.13,160,0,0.5,0,0,0,0,,,,,,,,,
0.13,180,0,0.5,0,0,0,0,,,,,,,,,
0.13,190,0,0.5,0,0,0,0,,,,,,,,,
0.13,200,0,0.5,0,0,0,0,,,,,,,,,
0.13,210,0,0.5,0,0,0,0,,,,,,,,,
0.13,220,0,0.5,0,0,0,0,,,,,,,,,
0.13,230,0,0.5,0,0,0,0,,,,,,,,,
0.13,240,0,0.5,0,0,0,0,,,,,,,,,
0.13,250,0,0.5,0,0,0,0,,,,,,,,,
0.13,260,0,0.5,0,0,0,0,,,,,,,,,
0.13,270,0,0.5,0,0,0,0,,,,,,,,,
0.13,280,0,0.5,0,0,0,0,,,,,,,,,
0.13,290,0,0.5,0,0,0,0,,,,,,,,,
0.13,300,0,0.5,0,0,0,0,,,,,,,,,
0.13,310,0,0.5,0,0,0,0,,,,,,,,,
0.13,320,0,0.5,0,0,0,0,,,,,,,,,
0.13,330,0,0.5,0,0,0,0,,,,,,,,,
0.13,340,0,0.5,0,0,0,0,,,,,,,,,
0.13,350,0,0.5,0,0,0,0,,,,,,,,,
0.13,370,0,0.5,0,0,0,0,,,,,,,,,
0.13,380,0,0.5,0,0,0,0,,,,,,,,,
0.13,390,0,0.5,0,0,0,0,,,,,,,,,
0.13,400,0,0.5,0,0,0,0,,,,,,,,,
0.13,410,0,0.5,0,0,0,0,,,,,,,,,
0.13,420,0,0.4997,0,0,0,0.0006,,,,,,,,,
0.13,430,0,0.5,0,0,0,0,,,,,,,,,
0.13,440,0,0.5,0,0,0,0,,,,,,,,,
0.13,450,0,0.5,0,0,0,0,,,,,,,,,
0.13,460,0,0.5,0,0,0,0,,,,,,,,,
0.13,470,0,0.5,0,0,0,0,,,,,,,,,
0.13,480,0,0.5,0,0,0,0,,,,,,,,,
0.13,490,0,0.5,0,0,0,0,,,,,,,,,
0.13,500,0,0.5,0,0,0,0,,,,,,,,,
0.14,20,0,0.5,0,0,0,0,,,,,,,,,
0.14,30,0,0.5,0,0,0,0,,,,,,,,,
0.14,40,0,0.5,0,0,0,0,,,,,,,,,
0.14,50,0,0.5,0,0,0,0,,,,,,,,,
0.14,60,0,0.5,0,0,0,0,,,,,,,,,
0.14,70,0,0.5,0,0,0,0,,,,,,,,,
0.14,80,0,0.5,0,0,0,0,,,,,,,,,
0.14,90,0,0.5,0,0,0,0,,,,,,,,,
0.14,100,0,0.5,0,0,0,0,,,,,,,,,
0.14,110,0,0.5,0,0,0,0,,,,,,,,,
0.14,120,0,0.5,0,0,0,0,,,,,,,,,
0.14,130,0,0.5,0,0,0,0,,,,,,,,,
0.14,150,0,0.5,0,0,0,0,,,,,,,,,
0.14,160,0,0.5,0,0,0,0,,,,,,,,,
0.14,170,0,0.5,0,0,0,0,,,,,,,,,
0.14,180,0,0.5,0,0,0,0,,,,,,,,,
0.14,190,0,0.5,0,0,0,0,,,,,,,,,
0.14,200,0,0.5,0,0,0,0,,,,,,,,,
0.14,210,0,0.5,0,0,0,0,,,,,,,,,
0.14,220,0,0.5,0,0,0,0,,,,,,,,,
0.14,230,0,0.5,0,0,0,0,,,,,,,,,
0.14,240,0,0.5,0,0,0,0,,,,,,,,,
0.14,250,0,0.5,0,0,0,0,,,,,,,,,
0.14,260,0,0.5,0,0,0,0,,,,,,,,,
0.14,270,0,0.5,0,0,0,0,,,,,,,,,
0.14,280,0,0.5,0,0,0,0,,,,,,,,,
0.14,290,0,0.5,0,0,0,0,,,,,,,,,
0.14,300,0,0.5,0,0,0,0,,,,,,,,,
0.14,310,0,0.5,0,0,0,0,,,,,,,,,
0.14,320,0,0.5,0,0,0,0,,,,,,,,,
0.14,330,0,0.5,0,0,0,0,,,,,,,,,
0.14,340,0,0.5,0,0,0,0,,,,,,,,,
0.14,350,0,0.5,0,0,0,0,,,,,,,,,
0.14,360,0,0.5,0,0,0,0,,,,,,,,,
0.14,370,0,0.5,0,0,0,0,,,,,,,,,
0.14,380,0,0.5,0,0,0,0,,,,,,,,,
0.14,390,0,0.5,0,0,0,0,,,,,,,,,
0.14,400,0,0.5,0,0,0,0,,,,,,,,,
0.14,410,0.0002,0.4999,0,0,0,0.0002,,,,,,,,,
0.14,420,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.14,430,0,0.5,0,0,0,0,,,,,,,,,
0.14,440,0,0.5,0,0,0,0,,,,,,,,,
0.14,450,0,0.5,0,0,0,0,,,,,,,,,
0.14,460,0,0.5,0,0,0,0,,,,,,,,,
0.14,470,0,0.5,0,0,0,0,,,,,,,,,
0.14,480,0,0.5,0,0,0,0,,,,,,,,,
0.14,490,0,0.5,0,0,0,0,,,,,,,,,
0.14,500,0,0.5,0,0,0,0,,,,,,,,,
0.15,10,0,0.5,0,0,0,0,,,,,,,,,
0.15,20,0,0.5,0,0,0,0,,,,,,,,,
0.15,30,0,0.5,0,0,0,0,,,,,,,,,
0.15,40,0,0.5,0,0,0,0,,,,,,,,,
0.15,50,0,0.5,0,0,0,0,,,,,,,,,
0.15,60,0,0.5,0,0,0,0,,,,,,,,,
0.15,80,0,0.5,0,0,0,0,,,,,,,,,
0.15,90,0,0.5,0,0,0,0,,,,,,,,,
0.15,100,0,0.5,0,0,0,0,,,,,,,,,
0.15,110,0,0.5,0,0,0,0,,,,,,,,,
0.15,120,0,0.5,0,0,0,0,,,,,,,,,
0.15,130,0,0.5,0,0,0,0,,,,,,,,,
0.15,140,0,0.5,0,0,0,0,,,,,,,,,
0.15,150,0,0.5,0,0,0,0,,,,,,,,,
0.15,160,0,0.5,0,0,0,0,,,,,,,,,
0.15,170,0,0.5,0,0,0,0,,,,,,,,,
0.15,180,0,0.5,0,0,0,0,,,,,,,,,
0.15,190,0,0.5,0,0,0,0,,,,,,,,,
0.15,200,0,0.5,0,0,0,0,,,,,,,,,
0.15,210,0,0.5,0,0,0,0,,,,,,,,,
0.15,220,0,0.5,0,0,0,0,,,,,,,,,
0.15,230,0,0.5,0,0,0,0,,,,,,,,,
0.15,250,0,0.5,0,0,0,0,,,,,,,,,
0.15,260,0,0.5,0,0,0,0,,,,,,,,,
0.15,270,0,0.5,0,0,0,0,,,,,,,,,
0.15,280,0,0.5,0,0,0,0,,,,,,,,,
0.15,290,0,0.5,0,0,0,0,,,,,,,,,
0.15,300,0,0.5,0,0,0,0,,,,,,,,,
0.15,310,0,0.5,0,0,0,0,,,,,,,,,
0.15,340,0,0.5,0,0,0,0,,,,,,,,,
0.15,350,0,0.5,0,0,0,0,,,,,,,,,
0.15,360,0,0.5,0,0,0,0,,,,,,,,,
0.15,370,0,0.5,0,0,0,0,,,,,,,,,
0.15,380,0,0.5,0,0,0,0,,,,,,,,,
0.15,390,0,0.5,0,0,0,0,,,,,,,,,
0.15,410,0,0.5,0,0,0,0,,,,,,,,,
0.15,420,0,0.5,0,0,0,0,,,,,,,,,
0.15,430,0,0.5,0,0,0,0,,,,,,,,,
0.15,440,0,0.5,0,0,0,0,,,,,,,,,
0.15,450,0,0.5,0,0,0,0,,,,,,,,,
0.15,460,0,0.5,0,0,0,0,,,,,,,,,
0.15,470,0,0.5,0,0,0,0,,,,,,,,,
0.15,480,0,0.5,0,0,0,0,,,,,,,,,
0.15,490,0,0.5,0,0,0,0,,,,,,,,,
0.15,500,0,0.5,0,0,0,0,,,,,,,,,
0.16,10,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.16,20,0,0.5,0,0,0,0,,,,,,,,,
0.16,30,0,0.5,0,0,0,0,,,,,,,,,
0.16,40,0,0.5,0,0,0,0,,,,,,,,,
0.16,50,0,0.5,0,0,0,0,,,,,,,,,
0.16,60,0,0.5,0,0,0,0,,,,,,,,,
0.16,70,0,0.5,0,0,0,0,,,,,,,,,
0.16,80,0,0.5,0,0,0,0,,,,,,,,,
0.16,100,0,0.5,0,0,0,0,,,,,,,,,
0.16,110,0,0.5,0,0,0,0,,,,,,,,,
0.16,120,0,0.5,0,0,0,0,,,,,,,,,
0.16,130,0,0.5,0,0,0,0,,,,,,,,,
0.16,140,0,0.5,0,0,0,0,,,,,,,,,
0.16,150,0,0.5,0,0,0,0,,,,,,,,,
0.16,160,0,0.5,0,0,0,0,,,,,,,,,
0.16,170,0,0.5,0,0,0,0,,,,,,,,,
0.16,180,0,0.5,0,0,0,0,,,,,,,,,
0.16,190,0,0.5,0,0,0,0,,,,,,,,,
0.16,200,0,0.5,0,0,0,0,,,,,,,,,
0.16,210,0,0.5,0,0,0,0,,,,,,,,,
0.16,220,0,0.5,0,0,0,0,,,,,,,,,
0.16,230,0,0.5,0,0,0,0,,,,,,,,,
0.16,250,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.16,260,0,0.5,0,0,0,0,,,,,,,,,
0.16,270,0,0.5,0,0,0,0,,,,,,,,,
0.16,280,0,0.5,0,0,0,0,,,,,,,,,
0.16,290,0,0.5,0,0,0,0,,,,,,,,,
0.16,300,0,0.5,0,0,0,0,,,,,,,,,
0.16,310,0,0.5,0,0,0,0,,,,,,,,,
0.16,320,0,0.5,0,0,0,0,,,,,,,,,
0.16,330,0,0.5,0,0,0,0,,,,,,,,,
0.16,340,0,0.5,0,0,0,0,,,,,,,,,
0.16,350,0,0.5,0,0,0,0,,,,,,,,,
0.16,360,0,0.5,0,0,0,0,,,,,,,,,
0.16,370,0,0.5,0,0,0,0,,,,,,,,,
0.16,380,0,0.5,0,0,0,0,,,,,,,,,
0.16,390,0,0.5,0,0,0,0,,,,,,,,,
0.16,400,0,0.5,0,0,0,0,,,,,,,,,
0.16,410,0,0.5,0,0,0,0,,,,,,,,,
0.16,420,0,0.5,0,0,0,0,,,,,,,,,
0.16,430,0,0.5,0,0,0,0,,,,,,,,,
0.16,450,0,0.5,0,0,0,0,,,,,,,,,
0.16,460,0,0.5,0,0,0,0,,,,,,,,,
0.16,470,0,0.5,0,0,0,0,,,,,,,,,
0.16,480,0,0.5,0,0,0,0,,,,,,,,,
0.16,490,0,0.5,0,0,0,0,,,,,,,,,
0.16,500,0,0.5,0,0,0,0,,,,,,,,,
0.17,20,0,0.5,0,0,0,0,,,,,,,,,
0.17,30,0,0.5,0,0,0,0,,,,,,,,,
0.17,40,0,0.5,0,0,0,0,,,,,,,,,
0.17,50,0,0.5,0,0,0,0,,,,,,,,,
0.17,60,0,0.5,0,0,0,0,,,,,,,,,
0.17,70,0,0.5,0,0,0,0,,,,,,,,,
0.17,80,0,0.5,0,0,0,0,,,,,,,,,
0.17,90,0,0.5,0,0,0,0,,,,,,,,,
0.17,100,0,0.5,0,0,0,0,,,,,,,,,
0.17,110,0,0.5,0,0,0,0,,,,,,,,,
0.17,120,0,0.5,0,0,0,0,,,,,,,,,
0.17,130,0,0.5,0,0,0,0,,,,,,,,,
0.17,140,0,0.5,0,0,0,0,,,,,,,,,
0.17,150,0,0.5,0,0,0,0,,,,,,,,,
0.17,160,0,0.5,0,0,0,0,,,,,,,,,
0.17,170,0,0.5,0,0,0,0,,,,,,,,,
0.17,180,0,0.5,0,0,0,0,,,,,,,,,
0.17,190,0,0.5,0,0,0,0,,,,,,,,,
0.17,200,0,0.5,0,0,0,0,,,,,,,,,
0.17,210,0,0.5,0,0,0,0,,,,,,,,,
0.17,220,0,0.5,0,0,0,0,,,,,,,,,
0.17,230,0,0.5,0,0,0,0,,,,,,,,,
0.17,240,0,0.5,0,0,0,0,,,,,,,,,
0.17,250,0,0.5,0,0,0,0,,,,,,,,,
0.17,260,0,0.5,0,0,0,0,,,,,,,,,
0.17,270,0,0.5,0,0,0,0,,,,,,,,,
0.17,280,0,0.5,0,0,0,0,,,,,,,,,
0.17,290,0,0.5,0,0,0,0,,,,,,,,,
0.17,300,0,0.5,0,0,0,0,,,,,,,,,
0.17,310,0,0.5,0,0,0,0,,,,,,,,,
0.17,320,0,0.5,0,0,0,0,,,,,,,,,
0.17,330,0,0.5,0,0,0,0,,,,,,,,,
0.17,340,0,0.5,0,0,0,0,,,,,,,,,
0.17,350,0,0.5,0,0,0,0,,,,,,,,,
0.17,360,0,0.5,0,0,0,0,,,,,,,,,
0.17,370,0,0.5,0,0,0,0,,,,,,,,,
0.17,380,0,0.5,0,0,0,0,,,,,,,,,
0.17,390,0,0.5,0,0,0,0,,,,,,,,,
0.17,400,0,0.5,0,0,0,0,,,,,,,,,
0.17,410,0,0.5,0,0,0,0,,,,,,,,,
0.17,420,0,0.5,0,0,0,0,,,,,,,,,
0.17,430,0,0.5,0,0,0,0,,,,,,,,,
0.17,440,0,0.5,0,0,0,0,,,,,,,,,
0.17,450,0,0.5,0,0,0,0,,,,,,,,,
0.17,460,0,0.5,0,0,0,0,,,,,,,,,
0.17,470,0,0.5,0,0,0,0,,,,,,,,,
0.17,480,0,0.5,0,0,0,0,,,,,,,,,
0.17,500,0,0.5,0,0,0,0,,,,,,,,,
0.18,10,0,0.5,0,0,0,0,,,,,,,,,
0.18,20,0,0.5,0,0,0,0,,,,,,,,,
0.18,30,0,0.5,0,0,0,0,,,,,,,,,
0.18,40,0,0.5,0,0,0,0,,,,,,,,,
0.18,50,0,0.5,0,0,0,0,,,,,,,,,
0.18,60,0,0.5,0,0,0,0,,,,,,,,,
0.18,70,0,0.5,0,0,0,0,,,,,,,,,
0.18,80,0,0.5,0,0,0,0,,,,,,,,,
0.18,90,0,0.5,0,0,0,0,,,,,,,,,
0.18,100,0,0.5,0,0,0,0,,,,,,,,,
0.18,110,0,0.5,0,0,0,0,,,,,,,,,
0.18,120,0,0.5,0,0,0,0,,,,,,,,,
0.18,130,0,0.5,0,0,0,0,,,,,,,,,
0.18,140,0,0.5,0,0,0,0,,,,,,,,,
0.18,150,0,0.5,0,0,0,0,,,,,,,,,
0.18,170,0,0.5,0,0,0,0,,,,,,,,,
0.18,180,0,0.5,0,0,0,0,,,,,,,,,
0.18,190,0,0.5,0,0,0,0,,,,,,,,,
0.18,200,0,0.5,0,0,0,0,,,,,,,,,
0.18,210,0,0.5,0,0,0,0,,,,,,,,,
0.18,220,0,0.5,0,0,0,0,,,,,,,,,
