threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
2.08,0.90909094,0.82,0.815208826,0.8276,0.821357682,0.1876
2.23,0.90909094,0.8239,0.834124201,0.8086,0.821163806,0.1608
2.22,0.90909094,0.8235,0.832750463,0.8096,0.821012068,0.1626
2.25,0.90909094,0.8241,0.836273086,0.806,0.820857521,0.1578
1.37,1,0.7986,0.739262821,0.9226,0.820818505,0.3254
2.26,0.90909094,0.8243,0.837882892,0.8042,0.820695989,0.1556
1.36,1,0.7979,0.738205661,0.9232,0.820403448,0.3274
1.34,1,0.7975,0.737278673,0.9244,0.820303487,0.3294
1.35,1,0.7976,0.737623762,0.9238,0.82028059,0.3286
1.33,1,0.7968,0.736305732,0.9248,0.819858156,0.3312
2.27,0.90909094,0.8236,0.838352154,0.8018,0.819668779,0.1546
1.32,1,0.7963,0.735345512,0.9258,0.819654714,0.3332
2.28,0.90909094,0.8239,0.840016796,0.8002,0.819625115,0.1524
1.31,1,0.7957,0.734050974,0.9274,0.819475126,0.336
1.28,1,0.795,0.732137236,0.9304,0.819446891,0.3404
1.3,1,0.7953,0.73314385,0.9286,0.819377041,0.338
1.27,1,0.7948,0.731761006,0.9308,0.819366197,0.3412
1.29,1,0.7951,0.732692004,0.9292,0.819328102,0.339
1.25,1,0.7939,0.730076718,0.9326,0.819004128,0.3448
1.26,1,0.7941,0.730739055,0.9314,0.818957179,0.3432
1.23,1,0.793,0.728549142,0.934,0.818580193,0.348
1.24,1,0.7929,0.728863885,0.9328,0.818317396,0.347
1.22,1,0.7924,0.727513228,0.935,0.81830912,0.3502
1.18,1,0.7915,0.725444702,0.938,0.818142172,0.355
1.21,1,0.7919,0.726806527,0.9354,0.818014867,0.3516
1.17,1,0.7909,0.724702611,0.9382,0.817746012,0.3564
2.29,0.90909094,0.8225,0.840693007,0.7958,0.817630741,0.1508
1.15,1,0.7904,0.723659889,0.9396,0.817612252,0.3588
2.3,0.90909094,0.8227,0.84191566,0.7946,0.817573824,0.1492
1.16,1,0.7905,0.724047509,0.9388,0.817556388,0.3578
1.19,1,0.7909,0.725259408,0.9366,0.81749149,0.3548
1.2,1,0.791,0.725651365,0.9358,0.81743536,0.3538
2.31,0.90909094,0.8226,0.842462845,0.7936,0.817301751,0.1484
2.34,0.90909094,0.8231,0.845857418,0.7902,0.817081998,0.144
2.35,0.90909094,0.8232,0.847228191,0.7886,0.816863476,0.1422
2.33,0.90909094,0.8227,0.844838641,0.7906,0.816819919,0.1452
2.32,0.90909094,0.8224,0.843417128,0.7918,0.816793893,0.147
1.14,1,0.7892,0.722324723,0.9396,0.816759388,0.3612
