self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.24,9,0.643433602,0.7222,0.796108742,0.5974,0.682586837,0.153,,,,,,,,,,
0.31,14,0.690633407,0.7132,0.765968064,0.614,0.681616341,0.1876,,,,,,,,,,
0.2,15,0.590119834,0.7172,0.780620155,0.6042,0.681172492,0.1698,,,,,,,,,,
0.3,6,0.692589875,0.7072,0.748679789,0.6238,0.680558586,0.2094,,,,,,,,,,
0.34,4,0.458791881,0.735,0.857142857,0.564,0.680337756,0.094,,,,,,,,,,
0.37,2,0.725849841,0.6938,0.71334214,0.648,0.679102913,0.2604,,,,,,,,,,
0.16,15,0.747370995,0.682,0.686551866,0.6698,0.678072484,0.3058,,,,,,,,,,
0.2,4,0.756664221,0.6792,0.680718031,0.675,0.677846957,0.3166,,,,,,,,,,
0.24,15,0.745169968,0.6836,0.690614618,0.6652,0.677669112,0.298,,,,,,,,,,
0.19,4,0.751283933,0.6754,0.673320158,0.6814,0.677335984,0.3306,,,,,,,,,,
0.22,8,0.742968941,0.681,0.68644417,0.6664,0.676273594,0.3044,,,,,,,,,,
0.21,6,0.749327464,0.6766,0.678239806,0.672,0.675105485,0.3188,,,,,,,,,,
0.2,12,0.614575691,0.7062,0.755071747,0.6104,0.675071887,0.198,,,,,,,,,,
0.19,5,0.618733187,0.7071,0.758165046,0.6082,0.674952835,0.194,,,,,,,,,,
0.25,5,0.710198092,0.6834,0.693459916,0.6574,0.674948665,0.2906,,,,,,,,,,
0.19,15,0.747126437,0.678,0.681484502,0.6684,0.674878837,0.3124,,,,,,,,,,
0.22,3,0.699682074,0.6883,0.705702425,0.646,0.674532735,0.2694,,,,,,,,,,
0.26,2,0.821472243,0.6455,0.623787647,0.7332,0.674082927,0.4422,,,,,,,,,,
0.22,4,0.755685987,0.6742,0.67475923,0.6726,0.673677885,0.3242,,,,,,,,,,
0.28,10,0.512839325,0.7282,0.844089264,0.5598,0.673160173,0.1034,,,,,,,,,,
0.21,15,0.742968941,0.6761,0.679437538,0.6668,0.673059453,0.3146,,,,,,,,,,
0.26,3,0.751039374,0.6699,0.667257334,0.6778,0.67248735,0.338,,,,,,,,,,
0.2,7,0.743702617,0.673,0.674324869,0.6692,0.67175266,0.3232,,,,,,,,,,
0.23,3,0.775006114,0.6586,0.646851852,0.6986,0.671730769,0.3814,,,,,,,,,,
0.19,7,0.755685987,0.6678,0.664380878,0.6782,0.671219319,0.3426,,,,,,,,,,
0.26,12,0.595500122,0.7187,0.808114962,0.5736,0.670955667,0.1362,,,,,,,,,,
0.33,2,0.758865248,0.6613,0.652486292,0.6902,0.67081349,0.3676,,,,,,,,,,
0.22,11,0.747615554,0.6646,0.660805002,0.6764,0.668511564,0.3472,,,,,,,,,,
0.31,11,0.657618,0.689,0.71624714,0.626,0.668089648,0.248,,,,,,,,,,
0.16,18,0.699682074,0.6754,0.683703393,0.6528,0.667894414,0.302,,,,,,,,,,
0.27,3,0.752751284,0.6647,0.661629048,0.6742,0.667855374,0.3448,,,,,,,,,,
0.29,4,0.737588652,0.6735,0.680390934,0.6544,0.66714242,0.3074,,,,,,,,,,
0.19,9,0.750794815,0.6616,0.656528477,0.6778,0.666994686,0.3546,,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
