self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.2,15,0.914327917,0.6978,0.711054204,0.6664,0.688003304,0.2708,,,,,,,,,
0.26,12,0.914327917,0.6978,0.711777302,0.6648,0.687487073,0.2692,,,,,,,,,
0.33,2,0.908419498,0.7055,0.733363616,0.6458,0.686802084,0.2348,,,,,,,,,
0.39,3,0.911373708,0.7009,0.721401807,0.6546,0.686379365,0.2528,,,,,,,,,
0.25,6,0.719350074,0.7392,0.861985472,0.5696,0.685934489,0.0912,,,,,,,,,
0.27,15,0.905465288,0.7076,0.742296919,0.636,0.685049548,0.2208,,,,,,,,,
0.29,3,0.914327917,0.6894,0.695096827,0.6748,0.684798052,0.296,,,,,,,,,
0.27,7,0.914327917,0.6931,0.704252168,0.6658,0.684486481,0.2796,,,,,,,,,
0.38,4,0.837518464,0.734,0.841905319,0.5762,0.684160532,0.1082,,,,,,,,,
0.32,5,0.903988183,0.6952,0.714317084,0.6506,0.680971321,0.2602,,,,,,,,,
0.15,19,0.855243722,0.698,0.721873599,0.6442,0.680828577,0.2482,,,,,,,,,
0.31,2,0.914327917,0.6776,0.675841584,0.6826,0.67920398,0.3274,,,,,,,,,
0.22,7,0.858197932,0.7169,0.784869976,0.5976,0.678551152,0.1638,,,,,,,,,
0.22,12,0.912850812,0.6894,0.703568358,0.6546,0.678201409,0.2758,,,,,,,,,
0.33,3,0.748892171,0.7342,0.860529557,0.559,0.677740058,0.0906,,,,,,,,,
0.27,9,0.745937962,0.7311,0.848356949,0.5628,0.676686305,0.1006,,,,,,,,,
0.25,14,0.8183161,0.7274,0.83245614,0.5694,0.676247031,0.1146,,,,,,,,,
0.19,14,0.917282127,0.6816,0.688147534,0.6642,0.675961734,0.301,,,,,,,,,
0.24,7,0.912850812,0.6859,0.698653558,0.6538,0.675483004,0.282,,,,,,,,,
0.23,8,0.914327917,0.6792,0.683908046,0.6664,0.675040519,0.308,,,,,,,,,
0.28,3,0.914327917,0.6785,0.682552669,0.6674,0.674891293,0.3104,,,,,,,,,
0.28,9,0.859675037,0.7062,0.756467662,0.6082,0.674279379,0.1958,,,,,,,,,
0.24,10,0.8788774,0.7076,0.761460957,0.6046,0.674024526,0.1894,,,,,,,,,
0.24,6,0.914327917,0.6752,0.676969697,0.6702,0.673567839,0.3198,,,,,,,,,
0.32,2,0.920236337,0.6681,0.66323558,0.683,0.672972707,0.3468,,,,,,,,,
0.22,10,0.915805022,0.6749,0.677563452,0.6674,0.672443325,0.3176,,,,,,,,,
0.18,4,0.911373708,0.6744,0.677235772,0.6664,0.671774194,0.3176,,,,,,,,,
0.21,8,0.911373708,0.6731,0.675522206,0.6662,0.670828718,0.32,,,,,,,,,
0.37,9,0.617429838,0.7397,0.917159763,0.527,0.66937635,0.0476,,,,,,,,,
0.25,3,0.915805022,0.6612,0.654051988,0.6844,0.668881939,0.362,,,,,,,,,
0.21,10,0.914327917,0.668,0.667264038,0.6702,0.668728797,0.3342,,,,,,,,,
0.2,8,0.914327917,0.6647,0.661186142,0.6756,0.668315363,0.3462,,,,,,,,,
0.3,3,0.914327917,0.6678,0.667732907,0.668,0.667866427,0.3324,,,,,,,,,
0.24,15,0.734121123,0.722,0.829964328,0.5584,0.667623147,0.1144,,,,,,,,,
0.34,10,0.676514032,0.7314,0.877364644,0.538,0.666997273,0.0752,,,,,,,,,
0.24,12,0.751846381,0.7215,0.829711224,0.5574,0.666826175,0.1144,,,,,,,,,
0.23,13,0.908419498,0.6762,0.686810857,0.6478,0.666735282,0.2954,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.26,14,0.912850812,0.67,0.67354022,0.6598,0.666599313,0.3198,,,,,,,,,
0.01,3,1,0.4994,0.49969982,0.9988,0.66613312,1,,,,,,,,,
0.03,3,1,0.4991,0.499549595,0.9982,0.665866186,1,,,,,,,,,
0.18,11,0.915805022,0.6606,0.655861801,0.6758,0.665681639,0.3546,,,,,,,,,
0.1,1,1,0.4988,0.499398798,0.9968,0.665420561,0.9992,,,,,,,,,
0.01,4,0.99704579,0.4984,0.499198718,0.9968,0.665242926,1,,,,,,,,,
0.02,4,1,0.4984,0.499198718,0.9968,0.665242926,1,,,,,,,,,
0.23,4,0.914327917,0.6624,0.660094637,0.6696,0.664813344,0.3448,,,,,,,,,
0.13,1,1,0.5012,0.500607287,0.9892,0.664784946,0.9868,,,,,,,,,
0.11,1,1,0.4989,0.499446847,0.9932,0.664659038,0.9954,,,,,,,,,
0.25,12,0.731166913,0.7227,0.841041348,0.5492,0.664488808,0.1038,,,,,,,,,
0.17,12,0.914327917,0.6621,0.659830408,0.6692,0.664482177,0.345,,,,,,,,,
0.08,2,0.994091581,0.4983,0.499145986,0.9936,0.664482044,0.997,,,,,,,,,
0.12,1,1,0.4989,0.49944629,0.9922,0.664434474,0.9944,,,,,,,,,
0.29,15,0.683899557,0.7285,0.870340357,0.537,0.66419295,0.08,,,,,,,,,
0.25,13,0.740029542,0.7218,0.837697929,0.5502,0.664171898,0.1066,,,,,,,,,
0.11,2,1,0.5015,0.500762428,0.9852,0.664015637,0.9822,,,,,,,,,
0.29,8,0.899556869,0.6842,0.709604005,0.6236,0.663827975,0.2552,,,,,,,,,
0.01,9,0.988183161,0.4967,0.498343872,0.993,0.663636971,0.9996,,,,,,,,,
0.09,2,1,0.4989,0.499444164,0.9884,0.663578382,0.9906,,,,,,,,,
0.05,3,1,0.4966,0.498293173,0.9926,0.663502674,0.9994,,,,,,,,,
0.21,6,0.915805022,0.6587,0.654347403,0.6728,0.66344542,0.3554,,,,,,,,,
0.25,10,0.797636632,0.7099,0.790318119,0.5714,0.663261753,0.1516,,,,,,,,,
0.14,1,1,0.5001,0.500050808,0.9842,0.66316286,0.984,,,,,,,,,
0.03,4,0.983751846,0.4956,0.497789389,0.9908,0.662653826,0.9996,,,,,,,,,
0.06,3,1,0.4956,0.497785384,0.989,0.662247221,0.9978,,,,,,,,,
0.2,3,0.918759232,0.6411,0.625422222,0.7036,0.662211765,0.4214,,,,,,,,,
0.04,3,0.998522895,0.4948,0.497382726,0.9882,0.661711531,0.9986,,,,,,,,,
0.4,9,0.630723781,0.7362,0.922087205,0.516,0.66170813,0.0436,,,,,,,,,
0.15,1,1,0.505,0.502595515,0.9682,0.661700383,0.9582,,,,,,,,,
0.02,10,0.974889217,0.4954,0.497680048,0.9868,0.661660185,0.996,,,,,,,,,
