self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.31,14,0.169312169,0.7579,0.859292282,0.6168,0.718127838,0.101,,,,,,,,,
0.3,4,0.30952381,0.7503,0.824474981,0.636,0.718076098,0.1354,,,,,,,,,
0.27,4,0.330687831,0.7451,0.806298425,0.6452,0.716809243,0.155,,,,,,,,,
0.29,4,0.357142857,0.7444,0.808585859,0.6404,0.714732143,0.1516,,,,,,,,,
0.29,3,0.489417989,0.7333,0.768593138,0.6676,0.714545649,0.201,,,,,,,,,
0.25,10,0.439153439,0.732,0.767651131,0.6654,0.712877652,0.2014,,,,,,,,,
0.34,13,0.071428571,0.7564,0.869239631,0.6036,0.712464589,0.0908,,,,,,,,,
0.43,4,0.174603175,0.7476,0.832974718,0.6194,0.710484056,0.1242,,,,,,,,,
0.32,13,0.166666667,0.7595,0.900092507,0.5838,0.708237292,0.0648,,,,,,,,,
0.5,2,0.134920635,0.7493,0.849061887,0.6064,0.707502042,0.1078,,,,,,,,,
0.28,3,0.489417989,0.7232,0.750336474,0.669,0.707337704,0.2226,,,,,,,,,
0.34,3,0.246031746,0.7379,0.801368128,0.6326,0.707052643,0.1568,,,,,,,,,
0.29,9,0.264550265,0.7456,0.833877107,0.6134,0.706844895,0.1222,,,,,,,,,
0.29,14,0.214285714,0.7392,0.807139188,0.6286,0.706768608,0.1502,,,,,,,,,
0.33,2,0.108465608,0.7413,0.815920398,0.6232,0.706656083,0.1406,,,,,,,,,
0.4,4,0.08994709,0.7522,0.86828271,0.5946,0.705840456,0.0902,,,,,,,,,
0.22,4,0.484126984,0.7289,0.77165915,0.6502,0.705741886,0.1924,,,,,,,,,
0.36,2,0.489417989,0.722,0.75170068,0.663,0.704569607,0.219,,,,,,,,,
0.26,3,0.478835979,0.7188,0.742895204,0.6692,0.704124579,0.2316,,,,,,,,,
0.2,12,0.489417989,0.7202,0.747193534,0.6656,0.704040618,0.2252,,,,,,,,,
0.44,14,0.150793651,0.7573,0.904687008,0.5752,0.703264458,0.0606,,,,,,,,,
0.23,10,0.253968254,0.7427,0.830563879,0.6098,0.703263753,0.1244,,,,,,,,,
0.27,8,0.489417989,0.723,0.757982416,0.6552,0.702853465,0.2092,,,,,,,,,
0.17,12,0.489417989,0.7155,0.737701302,0.6688,0.701562992,0.2378,,,,,,,,,
0.4,3,0.330687831,0.7441,0.842933408,0.6,0.701016474,0.1118,,,,,,,,,
0.25,3,0.489417989,0.7094,0.722010178,0.681,0.700905723,0.2622,,,,,,,,,
0.27,15,0.060846561,0.7417,0.833747584,0.6038,0.700382786,0.1204,,,,,,,,,
0.31,9,0.489417989,0.7146,0.738444444,0.6646,0.699578947,0.2354,,,,,,,,,
0.3,13,0.476190476,0.7281,0.782371874,0.632,0.699192389,0.1758,,,,,,,,,
0.46,2,0.068783069,0.7518,0.888580247,0.5758,0.698786408,0.0722,,,,,,,,,
0.33,14,0.365079365,0.7423,0.846043987,0.5924,0.696859193,0.1078,,,,,,,,,
0.44,2,0.097883598,0.7462,0.865281899,0.5832,0.696774194,0.0908,,,,,,,,,
0.22,11,0.489417989,0.71,0.730263158,0.666,0.69665272,0.246,,,,,,,,,
0.29,12,0.116402116,0.7443,0.857268207,0.5862,0.696282219,0.0976,,,,,,,,,
0.24,11,0.489417989,0.7087,0.727888185,0.6666,0.695897275,0.2492,,,,,,,,,
0.23,3,0.489417989,0.6983,0.701975963,0.6892,0.695529317,0.2926,,,,,,,,,
0.23,8,0.097883598,0.739,0.835862844,0.5948,0.695022201,0.1168,,,,,,,,,
0.19,14,0.486772487,0.7073,0.726260642,0.6654,0.69449953,0.2508,,,,,,,,,
0.19,4,0.489417989,0.7037,0.716840537,0.6734,0.69444158,0.266,,,,,,,,,
0.41,8,0.158730159,0.7528,0.909326425,0.5616,0.694362018,0.056,,,,,,,,,
0.21,15,0.084656085,0.7347,0.818972547,0.6026,0.694319622,0.1332,,,,,,,,,
0.22,12,0.134920635,0.7309,0.803576124,0.6112,0.694308758,0.1494,,,,,,,,,
0.28,11,0.137566138,0.7312,0.806144068,0.6088,0.693710119,0.1464,,,,,,,,,
0.28,7,0.301587302,0.7347,0.820540836,0.6008,0.693684332,0.1314,,,,,,,,,
0.21,8,0.489417989,0.7035,0.717460996,0.6714,0.693666701,0.2644,,,,,,,,,
0.24,15,0.124338624,0.7329,0.81379682,0.604,0.693376191,0.1382,,,,,,,,,
0.17,8,0.489417989,0.6997,0.708934924,0.6776,0.692913386,0.2782,,,,,,,,,
0.26,12,0.253968254,0.7305,0.807087663,0.6058,0.692105564,0.1448,,,,,,,,,
0.48,1,0.298941799,0.7259,0.789689664,0.6158,0.691987864,0.164,,,,,,,,,
0.28,9,0.148148148,0.7349,0.825978351,0.5952,0.69185168,0.1254,,,,,,,,,
0.29,2,0.473544974,0.701,0.714011925,0.6706,0.691625413,0.2686,,,,,,,,,
0.43,3,0.066137566,0.7529,0.922203673,0.5524,0.690931832,0.0466,,,,,,,,,
0.22,13,0.256613757,0.7214,0.776197605,0.6222,0.690719361,0.1794,,,,,,,,,
0.25,9,0.489417989,0.6987,0.709820486,0.6722,0.690498202,0.2748,,,,,,,,,
0.27,12,0.076719577,0.7299,0.808922333,0.602,0.690287811,0.1422,,,,,,,,,
0.39,12,0.105820106,0.7475,0.897782064,0.5586,0.688694366,0.0636,,,,,,,,,
0.2,13,0.489417989,0.6977,0.710902496,0.6664,0.68793228,0.271,,,,,,,,,
