self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.02,6,0.653604119,0.52,0.51155535,0.8854,0.648454665,0.8454,,,,,,,,,
0.21,11,0.239416476,0.6566,0.664357683,0.633,0.648299877,0.3198,,,,,,,,,
0.16,10,0.460812357,0.6294,0.616998192,0.6824,0.648053181,0.4236,,,,,,,,,
0.31,2,0.465675057,0.6302,0.618234653,0.6808,0.648010661,0.4204,,,,,,,,,
0.01,14,0.703375286,0.5044,0.502429865,0.9098,0.647360182,0.901,,,,,,,,,
0.24,1,0.53375286,0.5395,0.524512846,0.8452,0.647315616,0.7662,,,,,,,,,
0.02,19,0.638729977,0.5193,0.511185812,0.882,0.647244441,0.8434,,,,,,,,,
0.03,16,0.828089245,0.4944,0.496998928,0.9274,0.647173761,0.9386,,,,,,,,,
0.26,10,0.067505721,0.7055,0.807174888,0.54,0.647094068,0.129,,,,,,,,,
0.08,10,0.762585812,0.5228,0.513380282,0.8748,0.64704142,0.8292,,,,,,,,,
0.22,6,0.466819222,0.6357,0.627513625,0.6678,0.647030327,0.3964,,,,,,,,,
0.06,4,0.858409611,0.4866,0.492979883,0.941,0.6470022,0.9678,,,,,,,,,
0.22,1,0.562356979,0.5299,0.517975231,0.8616,0.646992566,0.8018,,,,,,,,,
0.21,1,0.57923341,0.5216,0.512649332,0.8754,0.646624317,0.8322,,,,,,,,,
0.17,13,0.271167048,0.6447,0.643295702,0.6496,0.646432481,0.3602,,,,,,,,,
0.14,15,0.467677346,0.6313,0.620969228,0.674,0.646398772,0.4114,,,,,,,,,
0.01,15,0.596967963,0.5213,0.512489738,0.874,0.646115177,0.8314,,,,,,,,,
0.04,16,0.501430206,0.5638,0.543555434,0.7962,0.646056475,0.6686,,,,,,,,,
0.03,5,0.668478261,0.5053,0.502953304,0.9026,0.645960066,0.892,,,,,,,,,
0.05,10,0.697654462,0.5112,0.50636653,0.8908,0.645694404,0.8684,,,,,,,,,
0.15,26,0.097540046,0.6657,0.68680947,0.6092,0.645680975,0.2778,,,,,,,,,
0.2,4,0.467391304,0.6221,0.60776699,0.6886,0.645663385,0.4444,,,,,,,,,
0.2,10,0.466533181,0.6316,0.622168585,0.6702,0.645291739,0.407,,,,,,,,,
0.18,3,0.508867277,0.6055,0.586206897,0.7174,0.645201907,0.5064,,,,,,,,,
0.05,8,0.793478261,0.4995,0.499725305,0.9096,0.645060634,0.9106,,,,,,,,,
