self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.18,9,0.38986705,0.6854,0.682912391,0.6922,0.687524831,0.3214,,,,,,,,,
0.36,15,0.213708229,0.7382,0.855310263,0.5734,0.686542146,0.097,,,,,,,,,
0.29,15,0.212360762,0.7433,0.882908404,0.561,0.686070686,0.0744,,,,,,,,,
0.25,6,0.239220266,0.726,0.80458221,0.597,0.685419059,0.145,,,,,,,,,
0.2,12,0.310366511,0.6931,0.703649019,0.6672,0.684939945,0.281,,,,,,,,,
0.39,2,0.303449515,0.7193,0.780650115,0.61,0.684854609,0.1714,,,,,,,,,
0.25,13,0.303988502,0.6922,0.70403397,0.6632,0.683007209,0.2788,,,,,,,,,
0.47,3,0.194933525,0.7408,0.880771664,0.557,0.682430777,0.0754,,,,,,,,,
0.21,9,0.310366511,0.6874,0.694883527,0.6682,0.681280587,0.2934,,,,,,,,,
0.17,9,0.344592167,0.6828,0.68457189,0.678,0.681270096,0.3124,,,,,,,,,
0.27,2,0.458048868,0.6668,0.653308824,0.7108,0.680842912,0.3772,,,,,,,,,
0.34,2,0.317373338,0.6862,0.692673841,0.6694,0.68083808,0.297,,,,,,,,,
0.21,14,0.261588214,0.7161,0.777834919,0.605,0.680616492,0.1728,,,,,,,,,
0.19,9,0.346837945,0.6923,0.70798183,0.6546,0.680245246,0.27,,,,,,,,,
0.27,5,0.304617319,0.6874,0.69618928,0.665,0.680237316,0.2902,,,,,,,,,
0.23,13,0.30066475,0.6873,0.696867774,0.663,0.679512145,0.2884,,,,,,,,,
0.23,7,0.286022278,0.7083,0.755332189,0.6162,0.678709109,0.1996,,,,,,,,,
0.22,11,0.326895437,0.6807,0.684199796,0.6712,0.677637557,0.3098,,,,,,,,,
0.29,7,0.212360762,0.7278,0.834409865,0.5684,0.676183678,0.1128,,,,,,,,,
0.24,7,0.305874955,0.6801,0.685097636,0.6666,0.67572225,0.3064,,,,,,,,,
0.18,11,0.303808839,0.6904,0.70969163,0.6444,0.675471698,0.2636,,,,,,,,,
0.23,15,0.2162235,0.7231,0.816813405,0.5752,0.675038141,0.129,,,,,,,,,
0.25,5,0.234818541,0.7129,0.778446246,0.5952,0.674600476,0.1694,,,,,,,,,
0.38,2,0.256378009,0.7064,0.756716418,0.6084,0.674501109,0.1956,,,,,,,,,
0.21,10,0.316295365,0.6751,0.676121505,0.6722,0.67415505,0.322,,,,,,,,,
0.26,5,0.298868128,0.6807,0.688268389,0.6606,0.674150424,0.2992,,,,,,,,,
