self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,
0.25,14,0.136363636,0.7011,0.716842786,0.6648,0.689841237,0.2626,,,,,,,,
0.19,13,0.136363636,0.6973,0.709581474,0.668,0.688163181,0.2734,,,,,,,,
0.13,10,0.295454545,0.6841,0.680101741,0.6952,0.687567995,0.327,,,,,,,,
0.23,14,0.113636364,0.7326,0.828345567,0.5868,0.686958558,0.1216,,,,,,,,
0.19,4,0.181818182,0.6909,0.696358774,0.677,0.686542947,0.2952,,,,,,,,
0.29,7,0.136363636,0.6962,0.709615385,0.6642,0.686157025,0.2718,,,,,,,,
0.23,8,0.113636364,0.7061,0.738596897,0.638,0.684622814,0.2258,,,,,,,,
0.3,5,0.022727273,0.7467,0.909664563,0.5478,0.683809762,0.0544,,,,,,,,
0.39,6,0.022727273,0.7443,0.896204995,0.5526,0.683657058,0.064,,,,,,,,
0.23,4,0.181818182,0.6864,0.690204082,0.6764,0.683232323,0.3036,,,,,,,,
0.27,4,0.136363636,0.6884,0.696906355,0.6668,0.68152085,0.29,,,,,,,,
0.17,15,0.181818182,0.699,0.724909584,0.6414,0.680602716,0.2434,,,,,,,,
0.24,15,0.136363636,0.6883,0.698670606,0.6622,0.679946606,0.2856,,,,,,,,
0.21,8,0.159090909,0.6851,0.691575243,0.6682,0.679686705,0.298,,,,,,,,
0.3,2,0.113636364,0.6891,0.702245989,0.6566,0.678656331,0.2784,,,,,,,,
0.21,14,0.136363636,0.7028,0.739150943,0.6268,0.678354978,0.2212,,,,,,,,
0.42,3,0.068181818,0.733,0.853030303,0.563,0.678313253,0.097,,,,,,,,
0.29,2,0.181818182,0.6621,0.648253155,0.7088,0.677175886,0.3846,,,,,,,,
0.23,11,0.090909091,0.7236,0.814221473,0.5794,0.677027343,0.1322,,,,,,,,
0.28,3,0.136363636,0.6783,0.68064843,0.6718,0.676195269,0.3152,,,,,,,,
0.23,15,0.136363636,0.6838,0.693148382,0.6596,0.675958188,0.292,,,,,,,,
0.13,24,0.227272727,0.6769,0.678075297,0.6736,0.67583024,0.3198,,,,,,,,
0.14,13,0.181818182,0.6719,0.668232531,0.6828,0.675437729,0.339,,,,,,,,
0.24,4,0.136363636,0.6778,0.680544273,0.6702,0.675332527,0.3146,,,,,,,,
0.32,13,0.113636364,0.7394,0.895571712,0.542,0.675305258,0.0632,,,,,,,,
0.21,15,0.136363636,0.6797,0.685448916,0.6642,0.674657186,0.3048,,,,,,,,
0.2,13,0.136363636,0.6789,0.683864337,0.6654,0.674505829,0.3076,,,,,,,,
0.22,15,0.045454545,0.7248,0.826934264,0.5686,0.673856364,0.119,,,,,,,,
0.16,18,0.136363636,0.6862,0.701602425,0.648,0.673736744,0.2756,,,,,,,,
0.29,11,0,0.727,0.843107618,0.5578,0.671401059,0.1038,,,,,,,,
0.19,14,0.159090909,0.6731,0.675308892,0.6668,0.671027473,0.3206,,,,,,,,
0.31,13,0.022727273,0.731,0.864123581,0.5482,0.670827215,0.0862,,,,,,,,
0.26,13,0.113636364,0.7186,0.811041548,0.57,0.669485553,0.1328,,,,,,,,
0.32,2,0.090909091,0.6867,0.708417057,0.6346,0.669479903,0.2612,,,,,,,,
0.19,10,0.136363636,0.6673,0.665414277,0.673,0.669185642,0.3384,,,,,,,,
0.21,4,0.181818182,0.6661,0.663452076,0.6742,0.668782859,0.342,,,,,,,,
0.22,9,0.113636364,0.7118,0.787771739,0.5798,0.66797235,0.1562,,,,,,,,
0.33,2,0.136363636,0.6628,0.657996894,0.678,0.6678487,0.3524,,,,,,,,
0.34,2,0.136363636,0.6618,0.65623793,0.6796,0.667714679,0.356,,,,,,,,
0.29,3,0.068181818,0.7135,0.794808064,0.5756,0.667671964,0.1486,,,,,,,,
0.25,8,0.136363636,0.6779,0.689699296,0.6468,0.667561152,0.291,,,,,,,,
0.19,11,0.159090909,0.7065,0.771068522,0.5874,0.666818027,0.1744,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,4,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,
0.02,3,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,
0.05,2,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,
0.01,3,1,0.4997,0.499849955,0.9994,0.666399947,1,,,,,,,,
0.09,1,1,0.4996,0.49979988,0.999,0.666266507,0.9998,,,,,,,,
0.35,3,0.045454545,0.724,0.843137255,0.5504,0.666021297,0.1024,,,,,,,,
0.07,2,1,0.4994,0.499699459,0.9976,0.665865706,0.9988,,,,,,,,
0.16,25,0.090909091,0.7025,0.759815242,0.5922,0.665617624,0.1872,,,,,,,,
0.09,2,1,0.5005,0.500251737,0.9936,0.665461121,0.9926,,,,,,,,
0.01,9,1,0.4986,0.499298597,0.9966,0.665287049,0.9994,,,,,,,,
0.18,11,0.136363636,0.664,0.663021869,0.667,0.665004985,0.339,,,,,,,,
0.19,15,0.136363636,0.6635,0.66223457,0.6674,0.664807252,0.3404,,,,,,,,
0.08,2,1,0.4989,0.499447181,0.9938,0.664793632,0.996,,,,,,,,
0.03,3,1,0.4982,0.499096748,0.9946,0.664661855,0.9982,,,,,,,,
0.11,1,1,0.4986,0.499296624,0.9938,0.664660246,0.9966,,,,,,,,
0.17,6,0.204545455,0.6702,0.676263463,0.653,0.664428164,0.3126,,,,,,,,
0.05,3,1,0.4975,0.498746616,0.9948,0.664395913,0.9998,,,,,,,,
0.1,1,1,0.4981,0.499045514,0.9934,0.664348291,0.9972,,,,,,,,
0.04,3,1,0.4982,0.499094385,0.992,0.66407819,0.9956,,,,,,,,
0.12,1,1,0.4995,0.499747347,0.989,0.663981202,0.99,,,,,,,,
0.2,9,0.227272727,0.6595,0.655609756,0.672,0.663703704,0.353,,,,,,,,
0.1,2,1,0.5011,0.500560139,0.983,0.663337607,0.9808,,,,,,,,
0.14,19,0.136363636,0.6741,0.686282902,0.6414,0.663082808,0.2932,,,,,,,,
0.13,1,1,0.4988,0.499392467,0.9864,0.663081474,0.9888,,,,,,,,
0.21,11,0.136363636,0.6553,0.648555577,0.678,0.662951012,0.3674,,,,,,,,
0.17,7,0.159090909,0.6558,0.649635036,0.6764,0.662747403,0.3648,,,,,,,,
0.01,6,1,0.4958,0.497888598,0.9904,0.662652215,0.9988,,,,,,,,
0.02,4,1,0.4952,0.497587455,0.99,0.662295959,0.9996,,,,,,,,
0.02,6,1,0.4989,0.499440204,0.9814,0.661989882,0.9836,,,,,,,,
0.17,12,0.136363636,0.6609,0.660035807,0.6636,0.661813105,0.3418,,,,,,,,
0.14,1,1,0.5024,0.501236094,0.9732,0.661680718,0.9684,,,,,,,,
0.27,11,0.090909091,0.6764,0.693336256,0.6326,0.661577076,0.2798,,,,,,,,
0.16,1,1,0.5065,0.503396384,0.9634,0.661267074,0.9504,,,,,,,,
0.21,10,0.136363636,0.657,0.653680501,0.6678,0.66066482,0.3538,,,,,,,,
0.27,9,0.045454545,0.7098,0.795326577,0.565,0.660664172,0.1454,,,,,,,,
0.01,8,1,0.4946,0.49726997,0.9836,0.660577569,0.9944,,,,,,,,
0.14,11,0.272727273,0.6471,0.636380493,0.6864,0.66044453,0.3922,,,,,,,,
0.37,3,0,0.7364,0.92826087,0.5124,0.660309278,0.0396,,,,,,,,
0.15,1,1,0.5051,0.502664855,0.962,0.660306129,0.9518,,,,,,,,
0.24,8,0.113636364,0.7153,0.818396924,0.5534,0.660303066,0.1228,,,,,,,,
0.26,4,0.181818182,0.6595,0.659213416,0.6604,0.659806174,0.3414,,,,,,,,
0.01,13,1,0.4947,0.497309918,0.9798,0.659753552,0.9904,,,,,,,,
0.03,8,1,0.5004,0.500206782,0.9676,0.659487459,0.9668,,,,,,,,
0.11,2,1,0.4964,0.498161013,0.9752,0.659453611,0.9824,,,,,,,,
0.38,13,0.090909091,0.7299,0.892186967,0.523,0.65943765,0.0632,,,,,,,,
0.22,7,0,0.7081,0.79170171,0.5648,0.659273958,0.1486,,,,,,,,
0.02,7,1,0.4954,0.497654497,0.976,0.659192219,0.9852,,,,,,,,
0.18,15,0.159090909,0.6529,0.647729469,0.6704,0.658869779,0.3646,,,,,,,,
0.01,10,0.954545455,0.5077,0.504084014,0.9504,0.658764816,0.935,,,,,,,,
0.17,1,0.977272727,0.5118,0.506341359,0.9422,0.658696868,0.9186,,,,,,,,
0.18,7,0.25,0.6447,0.633808027,0.6854,0.658595176,0.396,,,,,,,,
0.02,11,1,0.5019,0.500992789,0.9588,0.658109685,0.955,,,,,,,,
0.23,9,0.136363636,0.6669,0.67616635,0.6406,0.657902845,0.3068,,,,,,,,
0.03,4,1,0.4936,0.496732026,0.9728,0.657652785,0.9856,,,,,,,,
0.01,11,1,0.495,0.497435897,0.97,0.657627119,0.98,,,,,,,,
0.02,10,1,0.4916,0.495729972,0.9752,0.657320032,0.992,,,,,,,,
0.06,3,1,0.4917,0.495778659,0.9748,0.65727193,0.9914,,,,,,,,
0.23,3,0.568181818,0.6246,0.604705882,0.7196,0.65716895,0.4704,,,,,,,,
0.01,7,0.977272727,0.4995,0.499739339,0.9586,0.65698033,0.9596,,,,,,,,
0.18,1,0.931818182,0.5102,0.505518286,0.9344,0.656087628,0.914,,,,,,,,
0.2,10,0.159090909,0.647,0.639893415,0.6724,0.6557441,0.3784,,,,,,,,
0.07,3,0.977272727,0.4903,0.495051525,0.9704,0.655631376,0.9898,,,,,,,,
0.23,12,0.136363636,0.6816,0.713949105,0.606,0.655560363,0.2428,,,,,,,,
0.03,10,1,0.502,0.501059996,0.9454,0.654981294,0.9414,,,,,,,,
0.19,1,0.909090909,0.5166,0.509226323,0.9162,0.654615604,0.883,,,,,,,,
0.01,71,0.909090909,0.5473,0.529230009,0.8564,0.654189901,0.7618,,,,,,,,
0.04,4,1,0.4892,0.494470612,0.9658,0.654070161,0.9874,,,,,,,,
0.01,5,0.954545455,0.4965,0.498168115,0.9518,0.654023225,0.9588,,,,,,,,
0.01,77,0.704545455,0.5563,0.536011258,0.838,0.653819146,0.7254,,,,,,,,
0.03,5,0.977272727,0.5004,0.500212089,0.9434,0.653776854,0.9426,,,,,,,,
0.33,14,0.136363636,0.6985,0.768025925,0.5688,0.653567735,0.1718,,,,,,,,
0.19,8,0.136363636,0.6449,0.638026291,0.6698,0.653527173,0.38,,,,,,,,
0.13,14,0.272727273,0.6377,0.626260774,0.683,0.653400938,0.4076,,,,,,,,
0.34,4,0.045454545,0.7213,0.864100033,0.5252,0.653315089,0.0826,,,,,,,,
0.27,5,0.136363636,0.6553,0.657345491,0.6488,0.653044791,0.3382,,,,,,,,
0.16,11,0.295454545,0.6446,0.638399694,0.667,0.652386541,0.3778,,,,,,,,
0.2,1,0.863636364,0.5236,0.513591338,0.8918,0.651805292,0.8446,,,,,,,,
0.29,14,0.045454545,0.7292,0.912824207,0.5068,0.651748971,0.0484,,,,,,,,
0.02,24,0.568181818,0.551,0.532376841,0.8386,0.65128922,0.7366,,,,,,,,
0.05,4,1,0.4861,0.49285494,0.9588,0.651049094,0.9866,,,,,,,,
0.48,1,0,0.7001,0.778458113,0.5594,0.650994996,0.1592,,,,,,,,
0.01,15,0.931818182,0.5282,0.516592139,0.878,0.650466736,0.8216,,,,,,,,
0.03,11,0.954545455,0.4929,0.496262765,0.9428,0.650251741,0.957,,,,,,,,
0.25,3,0.113636364,0.6574,0.664163538,0.6368,0.650193996,0.322,,,,,,,,
0.01,16,0.772727273,0.5047,0.50256971,0.9192,0.649840933,0.9098,,,,,,,,
0.03,9,0.977272727,0.5133,0.50747611,0.9028,0.649730119,0.8762,,,,,,,,
0.05,8,0.954545455,0.5201,0.511563687,0.8892,0.649477759,0.849,,,,,,,,
0.02,14,0.954545455,0.4975,0.498659517,0.93,0.64921466,0.935,,,,,,,,
0.19,12,0.136363636,0.6366,0.627472938,0.6724,0.64916007,0.3992,,,,,,,,
0.22,1,0.795454545,0.5251,0.514707606,0.8784,0.649080027,0.8282,,,,,,,,
0.14,2,0.909090909,0.5188,0.510789715,0.89,0.649066511,0.8524,,,,,,,,
0.12,2,0.931818182,0.5083,0.504611624,0.9082,0.648760626,0.8916,,,,,,,,
0.23,10,0,0.7075,0.811842501,0.5402,0.648733037,0.1252,,,,,,,,
0.02,8,0.977272727,0.4991,0.499513776,0.9246,0.648614521,0.9264,,,,,,,,
0.12,25,0.159090909,0.6691,0.691419516,0.6108,0.648614208,0.2726,,,,,,,,
0.15,12,0.25,0.6356,0.626256983,0.6726,0.648601736,0.4014,,,,,,,,
0.17,13,0.136363636,0.655,0.660921927,0.6366,0.648533007,0.3266,,,,,,,,
0.02,5,0.909090909,0.5155,0.508823864,0.8938,0.648480012,0.8628,,,,,,,,
0.14,18,0.136363636,0.6403,0.634207002,0.663,0.648283954,0.3824,,,,,,,,
0.01,12,0.931818182,0.508,0.504453351,0.9062,0.64811901,0.8902,,,,,,,,
0.04,6,0.977272727,0.498,0.498920786,0.9246,0.648114398,0.9286,,,,,,,,
0.05,5,0.954545455,0.5082,0.504575893,0.9042,0.647707736,0.8878,,,,,,,,
0.15,2,0.954545455,0.5072,0.50400534,0.906,0.647698027,0.8916,,,,,,,,
0.01,28,0.909090909,0.5026,0.501426377,0.914,0.647583959,0.9088,,,,,,,,
0.43,3,0,0.7181,0.863621207,0.518,0.647580948,0.0818,,,,,,,,
0.23,1,0.704545455,0.5397,0.524636962,0.8454,0.647468791,0.766,,,,,,,,
0.13,2,0.931818182,0.4984,0.499132697,0.9208,0.64735658,0.924,,,,,,,,
0.01,26,0.772727273,0.5354,0.521669931,0.8522,0.64717497,0.7814,,,,,,,,
0.17,11,0.204545455,0.63,0.618569865,0.6782,0.647013929,0.4182,,,,,,,,
0.16,12,0.136363636,0.6342,0.62528006,0.6698,0.646774817,0.4014,,,,,,,,
0.17,2,0.977272727,0.5019,0.501044071,0.9118,0.646712533,0.908,,,,,,,,
0.04,8,0.954545455,0.5128,0.507290955,0.8906,0.6463928,0.865,,,,,,,,
0.08,3,1,0.4858,0.49255453,0.9394,0.646257567,0.9678,,,,,,,,
0.04,9,0.977272727,0.4894,0.494380831,0.9326,0.646202882,0.9538,,,,,,,,
0.18,5,0.227272727,0.6282,0.616460756,0.6786,0.646039604,0.4222,,,,,,,,
0.05,10,0.931818182,0.498,0.498909012,0.9146,0.645630383,0.9186,,,,,,,,
0.26,3,0.068181818,0.6585,0.670981661,0.622,0.645563051,0.305,,,,,,,,
0.02,19,0.863636364,0.5083,0.504678165,0.8954,0.645519429,0.8788,,,,,,,,
0.04,10,0.954545455,0.514,0.50805153,0.8834,0.645100044,0.8554,,,,,,,,
0.2,11,0.181818182,0.6274,0.615944667,0.6768,0.644939966,0.422,,,,,,,,
0.03,7,0.977272727,0.5052,0.502911534,0.8982,0.644795406,0.8878,,,,,,,,
0.21,1,0.659090909,0.5293,0.517755424,0.8544,0.644781526,0.7958,,,,,,,,
0.09,3,1,0.4947,0.497125502,0.9166,0.644630424,0.9272,,,,,,,,
0.03,6,0.954545455,0.4969,0.498306936,0.9124,0.644577888,0.9186,,,,,,,,
0.01,29,0.863636364,0.5161,0.509348508,0.8772,0.64447873,0.845,,,,,,,,
0.03,13,0.863636364,0.5462,0.529768041,0.8222,0.644357367,0.7298,,,,,,,,
0.2,3,0.545454545,0.5923,0.571428571,0.7384,0.644271879,0.5538,,,,,,,,
0.11,27,0.227272727,0.6298,0.620051794,0.6704,0.644243706,0.4108,,,,,,,,
0.21,5,0.181818182,0.6239,0.611280762,0.6806,0.644080628,0.4328,,,,,,,,
0.37,2,0.022727273,0.7009,0.79570209,0.5406,0.643801358,0.1388,,,,,,,,
0.01,80,0.727272727,0.5049,0.502753118,0.8948,0.643787323,0.885,,,,,,,,
0.02,13,0.909090909,0.5132,0.507623008,0.879,0.643578855,0.8526,,,,,,,,
0.17,9,0.204545455,0.6191,0.604970915,0.6864,0.643118149,0.4482,,,,,,,,
0.19,28,0.022727273,0.7066,0.821406347,0.528,0.642804967,0.1148,,,,,,,,
