self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.01,21,0.96,0.5884,0.552934132,0.9234,0.691685393,0.7466,,,,,,,,,,
0.03,28,0.968,0.5802,0.546671322,0.9394,0.691141848,0.779,,,,,,,,,,
0.04,24,0.968,0.5783,0.545443993,0.9398,0.690268087,0.7832,,,,,,,,,,
0.02,10,0.63,0.5776,0.545316515,0.9338,0.688541513,0.7786,,,,,,,,,,
0.22,4,0.968,0.5941,0.558658521,0.8962,0.68827279,0.708,,,,,,,,,,
0.05,16,0.96,0.5731,0.542268995,0.9378,0.687183996,0.7916,,,,,,,,,,
0.01,22,0.968,0.5698,0.539949634,0.9434,0.686808387,0.8038,,,,,,,,,,
0.01,36,0.96,0.5699,0.540223271,0.9388,0.685806122,0.799,,,,,,,,,,
0.23,1,0.96,0.5908,0.556693307,0.8916,0.685424354,0.71,,,,,,,,,,
0.02,23,0.968,0.5839,0.55118975,0.9034,0.684653278,0.7356,,,,,,,,,,
0.04,16,0.968,0.5802,0.548324898,0.91,0.684313431,0.7496,,,,,,,,,,
0.07,12,0.96,0.5562,0.531236105,0.9558,0.682909403,0.8434,,,,,,,,,,
0.1,10,0.968,0.5876,0.554832248,0.8864,0.682476132,0.7112,,,,,,,,,,
0.04,21,0.968,0.5517,0.528585646,0.956,0.680766218,0.8526,,,,,,,,,,
0.01,34,0.968,0.5754,0.545520406,0.9036,0.680319229,0.7528,,,,,,,,,,
0.02,19,0.968,0.5465,0.525373786,0.9628,0.679799478,0.8698,,,,,,,,,,
0.01,20,0.968,0.5652,0.53801306,0.9228,0.679728933,0.7924,,,,,,,,,,
0.04,23,0.968,0.5416,0.522365591,0.9716,0.679440559,0.8884,,,,,,,,,,
0.03,14,0.968,0.541,0.522047752,0.9708,0.678976081,0.8888,,,,,,,,,,
0.29,1,0.968,0.5651,0.538128148,0.9188,0.678732363,0.7886,,,,,,,,,,
0.01,19,1,0.5359,0.519167112,0.9724,0.676923077,0.9006,,,,,,,,,,
0.01,14,1,0.5431,0.523575101,0.9572,0.676896966,0.871,,,,,,,,,,
0.03,11,0.81,0.5289,0.515113482,0.985,0.676464529,0.9272,,,,,,,,,,
0.01,26,1,0.5484,0.527117884,0.9408,0.675667912,0.844,,,,,,,,,,
0.07,31,0.968,0.6074,0.575954738,0.8144,0.674730737,0.5996,,,,,,,,,,
0.01,41,0.632,0.5493,0.527982745,0.9302,0.673618655,0.8316,,,,,,,,,,
0.12,3,0.96,0.5545,0.531564925,0.9178,0.673219394,0.8088,,,,,,,,,,
0.06,25,0.968,0.5211,0.510972439,0.9826,0.672322956,0.9404,,,,,,,,,,
0.1,5,0.968,0.5159,0.50815803,0.9904,0.671685317,0.9586,,,,,,,,,,
0.05,23,0.968,0.5152,0.507815714,0.9876,0.670741646,0.9572,,,,,,,,,,
0.12,4,1,0.5278,0.514885414,0.9616,0.670665365,0.906,,,,,,,,,,
0.17,3,0.968,0.5099,0.505010629,0.9978,0.670609584,0.978,,,,,,,,,,
0.06,29,0.968,0.5117,0.505966344,0.9922,0.670178994,0.9688,,,,,,,,,,
0.06,9,0.968,0.6058,0.576290741,0.7992,0.669683258,0.5876,,,,,,,,,,
0.05,12,0.968,0.5179,0.509339455,0.9762,0.669409587,0.9404,,,,,,,,,,
0.08,6,0.968,0.5071,0.503584772,0.9974,0.669261223,0.9832,,,,,,,,,,
0.13,6,0.968,0.5373,0.520756817,0.9358,0.669145513,0.8612,,,,,,,,,,
0.14,3,0.96,0.5086,0.504364596,0.9938,0.66913547,0.9766,,,,,,,,,,
0.23,2,0.968,0.5063,0.503175083,0.9984,0.669124053,0.9858,,,,,,,,,,
0.04,9,0.968,0.5068,0.503432956,0.9972,0.669082126,0.9836,,,,,,,,,,
0.15,5,0.968,0.5068,0.503432956,0.9972,0.669082126,0.9836,,,,,,,,,,
0.24,1,0.96,0.5085,0.504318667,0.9926,0.668822856,0.9756,,,,,,,,,,
0.13,4,0.968,0.5056,0.502820306,0.9984,0.668810289,0.9872,,,,,,,,,,
0.01,6,0.968,0.5056,0.502821443,0.998,0.668721522,0.9868,,,,,,,,,,
0.33,2,0.96,0.5076,0.503853955,0.9936,0.668640646,0.9784,,,,,,,,,,
0.02,40,0.968,0.5052,0.502617801,0.9984,0.668631128,0.988,,,,,,,,,,
0.23,4,0.968,0.5054,0.502723971,0.9966,0.668320815,0.9858,,,,,,,,,,
0.04,31,0.968,0.5051,0.502570824,0.997,0.668275354,0.9868,,,,,,,,,,
0.01,15,0.968,0.5039,0.501958815,0.9994,0.668271481,0.9916,,,,,,,,,,
0.22,3,0.992,0.504,0.502010454,0.9988,0.668183035,0.9908,,,,,,,,,,
0.16,3,1,0.5033,0.501655795,0.9998,0.668092215,0.9932,,,,,,,,,,
0.14,1,1,0.5032,0.501606748,0.999,0.667870036,0.9926,,,,,,,,,,
0.31,2,0.992,0.505,0.502526273,0.9946,0.667696026,0.9846,,,,,,,,,,
0.01,43,0.968,0.5309,0.516957524,0.942,0.667564312,0.8802,,,,,,,,,,
0.3,2,0.992,0.5051,0.502579144,0.9938,0.667562303,0.9836,,,,,,,,,,
0.04,25,0.992,0.5076,0.503877551,0.9876,0.667297297,0.9724,,,,,,,,,,
0.07,22,0.968,0.5047,0.502377339,0.9932,0.667248908,0.9838,,,,,,,,,,
0.12,5,1,0.5008,0.5004004,0.9998,0.666977985,0.9982,,,,,,,,,,
0.11,11,0.968,0.5183,0.509669238,0.9646,0.666943234,0.928,,,,,,,,,,
0.01,35,1,0.5004,0.50020008,1,0.666844492,0.9992,,,,,,,,,,
0.15,2,0.992,0.5025,0.501258685,0.9956,0.666800616,0.9906,,,,,,,,,,
0.19,1,1,0.5003,0.500150045,1,0.666800027,0.9994,,,,,,,,,,
0.33,1,1,0.5007,0.500350666,0.9988,0.666711167,0.9974,,,,,,,,,,
0.09,5,1,0.5002,0.50010004,0.9998,0.666711123,0.9994,,,,,,,,,,
0.03,16,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.03,76,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.12,1,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.13,2,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
