self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.02,6,0.925373134,0.5432,0.523606557,0.9582,0.677173145,0.8718,,,,,,,,,
0.12,6,0.925373134,0.5352,0.518735363,0.9746,0.677087675,0.9042,,,,,,,,,
0.03,39,1,0.5378,0.520305114,0.9686,0.676963936,0.893,,,,,,,,,
0.04,37,1,0.5508,0.52868112,0.9364,0.675808314,0.8348,,,,,,,,,
0.01,33,0.925373134,0.5332,0.517742625,0.9688,0.674839788,0.9024,,,,,,,,,
0.17,12,0.925373134,0.584,0.553901437,0.8632,0.674796748,0.6952,,,,,,,,,
0.04,6,1,0.5258,0.513465553,0.9838,0.674759945,0.9322,,,,,,,,,
0.17,4,1,0.5235,0.512202721,0.9864,0.674277121,0.9394,,,,,,,,,
0.01,39,1,0.5248,0.512973425,0.9806,0.673581536,0.931,,,,,,,,,
0.2,4,0.925373134,0.5427,0.523703786,0.9434,0.673520383,0.858,,,,,,,,,
0.03,23,0.925373134,0.5212,0.51099357,0.9854,0.672995492,0.943,,,,,,,,,
0.29,1,0.925373134,0.5174,0.508924908,0.9922,0.672769189,0.9574,,,,,,,,,
0.08,23,0.925373134,0.5207,0.510728724,0.9854,0.672765754,0.944,,,,,,,,,
0.02,14,1,0.5148,0.507534107,0.997,0.672648765,0.9674,,,,,,,,,
0.01,7,1,0.5148,0.507535642,0.9968,0.672604588,0.9672,,,,,,,,,
0.15,3,0.925373134,0.5221,0.511521218,0.9812,0.67246933,0.937,,,,,,,,,
0.12,26,0.925373134,0.564,0.538544929,0.8942,0.67222974,0.7662,,,,,,,,,
0.06,23,1,0.513,0.506619145,0.995,0.671390013,0.969,,,,,,,,,
0.04,23,1,0.5157,0.508062031,0.9894,0.671371378,0.958,,,,,,,,,
0.01,9,1,0.5134,0.506847915,0.9918,0.67086039,0.965,,,,,,,,,
0.02,58,0.850746269,0.6073,0.5774282,0.8002,0.670802247,0.5856,,,,,,,,,
0.16,5,1,0.5159,0.508200103,0.9854,0.67056822,0.9536,,,,,,,,,
0.07,32,1,0.5092,0.504653986,0.9976,0.670249933,0.9792,,,,,,,,,
0.08,34,1,0.5127,0.506494835,0.9904,0.670230764,0.965,,,,,,,,,
0.06,28,0.850746269,0.5369,0.52041155,0.9408,0.6701332,0.867,,,,,,,,,
0.03,41,0.850746269,0.6141,0.585442564,0.7818,0.669521281,0.5536,,,,,,,,,
0.13,5,0.925373134,0.5207,0.510891297,0.971,0.669516652,0.9296,,,,,,,,,
0.04,9,1,0.5084,0.504253595,0.9958,0.669490386,0.979,,,,,,,,,
0.13,3,1,0.5074,0.50373964,0.9968,0.66926279,0.982,,,,,,,,,
0.07,7,1,0.5061,0.503075527,0.9978,0.668901254,0.9856,,,,,,,,,
0.03,21,1,0.5058,0.50292162,0.9984,0.668899906,0.9868,,,,,,,,,
0.28,1,1,0.5058,0.50292162,0.9984,0.668899906,0.9868,,,,,,,,,
0.01,6,1,0.5059,0.502973491,0.998,0.668855975,0.9862,,,,,,,,,
0.2,5,1,0.5062,0.503128785,0.997,0.668768446,0.9846,,,,,,,,,
0.02,7,1,0.5057,0.502872115,0.998,0.668766334,0.9866,,,,,,,,,
0.06,7,1,0.5057,0.502872115,0.998,0.668766334,0.9866,,,,,,,,,
0.27,4,1,0.5067,0.503386917,0.9958,0.668726076,0.9824,,,,,,,,,
0.03,26,1,0.506,0.503026634,0.9972,0.668723176,0.9852,,,,,,,,,
0.01,26,1,0.5056,0.502821443,0.998,0.668721522,0.9868,,,,,,,,,
0.14,5,1,0.5055,0.502770223,0.9982,0.668721109,0.9872,,,,,,,,,
0.21,3,1,0.5112,0.505742412,0.9864,0.668655098,0.964,,,,,,,,,
0.01,28,1,0.5054,0.502720129,0.998,0.668631917,0.9872,,,,,,,,,
0.01,19,1,0.5054,0.502720677,0.9978,0.66858751,0.987,,,,,,,,,
0.15,2,1,0.5049,0.502466029,0.9984,0.66849682,0.9886,,,,,,,,,
0.13,2,1,0.5052,0.502620439,0.9974,0.66840906,0.987,,,,,,,,,
0.15,5,1,0.5049,0.502468514,0.9974,0.668274707,0.9876,,,,,,,,,
0.02,23,1,0.5063,0.503188582,0.9942,0.668190067,0.9816,,,,,,,,,
0.01,11,1,0.5051,0.502573938,0.9958,0.668008318,0.9856,,,,,,,,,
0.03,13,1,0.5033,0.501659125,0.9978,0.667648043,0.9912,,,,,,,,,
0.23,2,1,0.5048,0.502427184,0.9936,0.667383127,0.984,,,,,,,,,
0.35,1,0.925373134,0.5585,0.535398766,0.8848,0.667119053,0.7678,,,,,,,,,
0.31,2,0.925373134,0.5028,0.501409585,0.996,0.667023841,0.9904,,,,,,,,,
0.07,3,1,0.5006,0.5003003,0.9996,0.666844563,0.9984,,,,,,,,,
0.18,4,1,0.5037,0.501870009,0.993,0.666756194,0.9856,,,,,,,,,
0.19,1,1,0.5004,0.50020016,0.9996,0.666755603,0.9988,,,,,,,,,
0.1,2,1,0.5002,0.50010004,0.9998,0.666711123,0.9994,,,,,,,,,
0.02,25,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,
0.06,5,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,
0.23,1,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.13,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
