self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.32,28,0.1641,0.4399,0.337303736,0.1246,0.181977508,0.2448,,,,,,,,,,,
0.22,30,0.1563,0.4415,0.339901478,0.1242,0.181924711,0.2412,,,,,,,,,,,
0.06,65,0.2556,0.365,0.255257433,0.1408,0.181490075,0.4108,,,,,,,,,,,
0.07,60,0.149,0.4244,0.313976378,0.1276,0.1814562,0.2788,,,,,,,,,,,
0.17,74,0.2063,0.4296,0.321138211,0.1264,0.181400689,0.2672,,,,,,,,,,,
0.1,66,0.1312,0.4708,0.400136799,0.117,0.181058496,0.1754,,,,,,,,,,,
0.1,90,0.1679,0.4399,0.336595976,0.1238,0.181020617,0.244,,,,,,,,,,,
0.23,10,0.1273,0.4371,0.33208756,0.1244,0.180998109,0.2502,,,,,,,,,,,
0.16,37,0.2184,0.388,0.273462783,0.1352,0.180942184,0.3592,,,,,,,,,,,
0.08,85,0.1773,0.3991,0.283754822,0.1324,0.180553662,0.3342,,,,,,,,,,,
0.1,78,0.2032,0.4276,0.317540323,0.126,0.180412371,0.2708,,,,,,,,,,,
0.05,57,0.206,0.3887,0.273319756,0.1342,0.180013414,0.3568,,,,,,,,,,,
0.01,85,0.216,0.4079,0.292474087,0.1298,0.179803297,0.314,,,,,,,,,,,
0.15,48,0.1678,0.4615,0.376996805,0.118,0.179741051,0.195,,,,,,,,,,,
0.21,11,0.2045,0.4036,0.287665198,0.1306,0.179642366,0.3234,,,,,,,,,,,
0.1,91,0.1548,0.429,0.318877551,0.125,0.179597701,0.267,,,,,,,,,,,
0.04,78,0.1658,0.4535,0.360024082,0.1196,0.17955262,0.2126,,,,,,,,,,,
0.06,85,0.1559,0.4898,0.458128079,0.1116,0.179478932,0.132,,,,,,,,,,,
0.15,18,0.2239,0.3822,0.267009494,0.135,0.179330499,0.3706,,,,,,,,,,,
0.13,44,0.1777,0.4507,0.354400473,0.12,0.179291797,0.2186,,,,,,,,,,,
0.02,78,0.2117,0.4009,0.284471509,0.1308,0.17920263,0.329,,,,,,,,,,,
0.14,41,0.1524,0.4751,0.410624551,0.1144,0.178945722,0.1642,,,,,,,,,,,
0.04,90,0.2208,0.3897,0.273325113,0.133,0.178931791,0.3536,,,,,,,,,,,
0.25,35,0.1791,0.4464,0.346153846,0.1206,0.178878671,0.2278,,,,,,,,,,,
0.09,49,0.1936,0.404,0.287422498,0.1298,0.178837145,0.3218,,,,,,,,,,,
0.11,83,0.203,0.4306,0.320579111,0.124,0.178828959,0.2628,,,,,,,,,,,
0.13,61,0.1279,0.4709,0.399168399,0.1152,0.178798696,0.1734,,,,,,,,,,,
0.18,7,0.1482,0.4266,0.314833502,0.1248,0.178745345,0.2716,,,,,,,,,,,
0.11,97,0.1551,0.4718,0.401398601,0.1148,0.178538103,0.1712,,,,,,,,,,,
0.12,56,0.1814,0.4437,0.341050254,0.1208,0.178407916,0.2334,,,,,,,,,,,
0.21,8,0.2028,0.4279,0.316352522,0.1242,0.178371392,0.2684,,,,,,,,,,,
0.16,42,0.2069,0.39,0.27310231,0.1324,0.178340517,0.3524,,,,,,,,,,,
0.04,99,0.1925,0.4425,0.338935574,0.121,0.178334562,0.236,,,,,,,,,,,
0.19,6,0.17,0.4303,0.319710295,0.1236,0.178277802,0.263,,,,,,,,,,,
0.1,63,0.2066,0.3849,0.268410463,0.1334,0.178223113,0.3636,,,,,,,,,,,
0.21,21,0.2084,0.3941,0.276676508,0.1312,0.177994845,0.343,,,,,,,,,,,
0.06,70,0.2235,0.3933,0.275746112,0.1312,0.17780187,0.3446,,,,,,,,,,,
0.11,75,0.1866,0.452,0.355769231,0.1184,0.177671068,0.2144,,,,,,,,,,,
0.15,55,0.1701,0.4453,0.343266476,0.1198,0.177613047,0.2292,,,,,,,,,,,
0.16,39,0.1783,0.4356,0.327067669,0.1218,0.177499271,0.2506,,,,,,,,,,,
0.03,90,0.2184,0.3878,0.27027027,0.132,0.177371674,0.3564,,,,,,,,,,,
0.06,83,0.1891,0.4475,0.346938776,0.119,0.17721519,0.224,,,,,,,,,,,
0.11,90,0.2071,0.4426,0.338218715,0.12,0.177147919,0.2348,,,,,,,,,,,
0.16,22,0.1779,0.4517,0.354780517,0.118,0.177097404,0.2146,,,,,,,,,,,
0.15,8,0.2042,0.3874,0.269639935,0.1318,0.177055347,0.357,,,,,,,,,,,
0.07,67,0.1704,0.4133,0.296383279,0.1262,0.177023425,0.2996,,,,,,,,,,,
0.14,42,0.1828,0.4477,0.3471654,0.1188,0.177022798,0.2234,,,,,,,,,,,
0.02,71,0.1564,0.4642,0.381142098,0.1148,0.176452505,0.1864,,,,,,,,,,,
0.15,95,0.1551,0.4398,0.332963374,0.12,0.1764187,0.2404,,,,,,,,,,,
0.21,17,0.1846,0.4461,0.343768116,0.1186,0.176356877,0.2264,,,,,,,,,,,
0.19,41,0.1454,0.4534,0.357579462,0.117,0.176311031,0.2102,,,,,,,,,,,
0.12,88,0.2002,0.4346,0.324570815,0.121,0.176282051,0.2518,,,,,,,,,,,
0.23,32,0.2051,0.3923,0.273453934,0.13,0.176223397,0.3454,,,,,,,,,,,
0.1,59,0.1733,0.3987,0.27968682,0.1286,0.176188519,0.3312,,,,,,,,,,,
0.19,25,0.2109,0.3996,0.280594406,0.1284,0.176180022,0.3292,,,,,,,,,,,
0.16,88,0.2119,0.4313,0.319495533,0.1216,0.176155295,0.259,,,,,,,,,,,
0.2,14,0.2105,0.3957,0.276659529,0.1292,0.176141786,0.3378,,,,,,,,,,,
0.19,9,0.1474,0.4871,0.447346939,0.1096,0.176064257,0.1354,,,,,,,,,,,
0.11,38,0.2191,0.3906,0.271702838,0.1302,0.176041103,0.349,,,,,,,,,,,
0.08,94,0.1965,0.4083,0.289775332,0.1264,0.176020053,0.3098,,,,,,,,,,,
0.13,62,0.1282,0.4268,0.312883436,0.1224,0.175963197,0.2688,,,,,,,,,,,
0.11,34,0.2102,0.3826,0.264446228,0.1318,0.175920982,0.3666,,,,,,,,,,,
0.2,32,0.0796,0.495,0.477836879,0.1078,0.175913838,0.1178,,,,,,,,,,,
0.13,82,0.1462,0.4903,0.45907173,0.1088,0.175909458,0.1282,,,,,,,,,,,
0.07,70,0.196,0.3926,0.273417722,0.1296,0.175848033,0.3444,,,,,,,,,,,
0.17,92,0.1778,0.4426,0.337116913,0.1188,0.175687666,0.2336,,,,,,,,,,,
0.17,35,0.1915,0.3996,0.280017528,0.1278,0.175501236,0.3286,,,,,,,,,,,
0.16,43,0.1925,0.4378,0.328932893,0.1196,0.175418011,0.244,,,,,,,,,,,
0.09,64,0.1786,0.431,0.318421053,0.121,0.175362319,0.259,,,,,,,,,,,
0.14,46,0.1988,0.429,0.315296566,0.1212,0.175093903,0.2632,,,,,,,,,,,
0.06,94,0.2219,0.3899,0.270146138,0.1294,0.174983097,0.3496,,,,,,,,,,,
0.27,15,0.1877,0.4375,0.328013209,0.1192,0.174856975,0.2442,,,,,,,,,,,
0.06,51,0.198,0.4231,0.306880964,0.1222,0.174796166,0.276,,,,,,,,,,,
0.2,28,0.1373,0.4333,0.321371184,0.12,0.174748799,0.2534,,,,,,,,,,,
0.08,78,0.1978,0.4271,0.312210201,0.1212,0.174614609,0.267,,,,,,,,,,,
0.38,13,0.1754,0.4166,0.298355899,0.1234,0.1745897,0.2902,,,,,,,,,,,
0.19,66,0.1413,0.4717,0.398856326,0.1116,0.17440225,0.1682,,,,,,,,,,,
0.33,11,0.184,0.4309,0.317485473,0.1202,0.174379806,0.2584,,,,,,,,,,,
0.25,19,0.1733,0.4391,0.330172895,0.1184,0.174297071,0.2402,,,,,,,,,,,
0.18,36,0.2011,0.4267,0.311374164,0.121,0.174276249,0.2676,,,,,,,,,,,
0.24,28,0.1597,0.4585,0.366730893,0.1142,0.174165014,0.1972,,,,,,,,,,,
0.19,78,0.1606,0.4941,0.473777778,0.1066,0.174040816,0.1184,,,,,,,,,,,
0.11,58,0.142,0.4808,0.425233645,0.1092,0.173774666,0.1476,,,,,,,,,,,
0.08,95,0.2069,0.397,0.27589208,0.1268,0.173746232,0.3328,,,,,,,,,,,
0.07,44,0.203,0.3882,0.267470882,0.1286,0.173689897,0.3522,,,,,,,,,,,
0.27,93,0.1096,0.5309,0.728212703,0.0986,0.173683283,0.0368,,,,,,,,,,,
0.09,81,0.1902,0.3951,0.273824925,0.127,0.173520973,0.3368,,,,,,,,,,,
0.27,20,0.1763,0.4278,0.312174818,0.12,0.1733603,0.2644,,,,,,,,,,,
0.15,26,0.214,0.3809,0.260747288,0.1298,0.173320871,0.368,,,,,,,,,,,
0.2,41,0.1584,0.4429,0.335825187,0.1168,0.173319484,0.231,,,,,,,,,,,
0.12,81,0.1787,0.446,0.340989399,0.1158,0.172887429,0.2238,,,,,,,,,,,
0.05,70,0.1842,0.4172,0.297653959,0.1218,0.172864036,0.2874,,,,,,,,,,,
0.12,48,0.1693,0.4468,0.342417062,0.1156,0.17284689,0.222,,,,,,,,,,,
0.06,90,0.2145,0.3831,0.26191446,0.1286,0.172501677,0.3624,,,,,,,,,,,
0.31,14,0.1831,0.4309,0.315929675,0.1186,0.172458921,0.2568,,,,,,,,,,,
0.09,62,0.1682,0.4392,0.328635851,0.1166,0.172128727,0.2382,,,,,,,,,,,
0.16,9,0.1779,0.4084,0.286579683,0.123,0.172124265,0.3062,,,,,,,,,,,
0.11,74,0.1178,0.4778,0.415007657,0.1084,0.171899778,0.1528,,,,,,,,,,,
0.1,77,0.1749,0.4179,0.297483966,0.1206,0.171623737,0.2848,,,,,,,,,,,
0.28,12,0.1361,0.4893,0.454077253,0.1058,0.17161395,0.1272,,,,,,,,,,,
0.23,47,0.1829,0.4277,0.310435239,0.1184,0.171420298,0.263,,,,,,,,,,,
0.17,23,0.2037,0.3906,0.267629567,0.126,0.171335328,0.3448,,,,,,,,,,,
0.14,39,0.1897,0.3988,0.275510204,0.1242,0.171215881,0.3266,,,,,,,,,,,
0.07,50,0.1379,0.4287,0.311674591,0.118,0.171188162,0.2606,,,,,,,,,,,
0.1,61,0.1617,0.4509,0.348923077,0.1134,0.171169811,0.2116,,,,,,,,,,,
0.1,67,0.1876,0.4304,0.314102564,0.1176,0.17112922,0.2568,,,,,,,,,,,
0.18,40,0.154,0.4265,0.308494007,0.1184,0.171122995,0.2654,,,,,,,,,,,
0.09,45,0.1774,0.4371,0.324399777,0.1162,0.17110882,0.242,,,,,,,,,,,
0.17,16,0.3225,0.3565,0.240130388,0.1326,0.170854271,0.4196,,,,,,,,,,,
0.19,44,0.1702,0.4522,0.351183064,0.1128,0.17075386,0.2084,,,,,,,,,,,
0.22,18,0.1869,0.4277,0.309836928,0.1178,0.170699899,0.2624,,,,,,,,,,,
0.2,17,0.2002,0.4052,0.281767956,0.1224,0.170663692,0.312,,,,,,,,,,,
0.18,19,0.1843,0.4331,0.317711172,0.1166,0.170592538,0.2504,,,,,,,,,,,
0.09,89,0.1594,0.453,0.352572146,0.1124,0.170457992,0.2064,,,,,,,,,,,
0.37,4,0.1141,0.477,0.411809816,0.1074,0.17036802,0.1534,,,,,,,,,,,
0.1,44,0.1571,0.4427,0.333139196,0.1144,0.170314128,0.229,,,,,,,,,,,
0.25,13,0.2033,0.3863,0.26263048,0.1258,0.170114943,0.3532,,,,,,,,,,,
0.32,10,0.1824,0.4372,0.323595506,0.1152,0.169911504,0.2408,,,,,,,,,,,
0.23,49,0.1307,0.4555,0.357280308,0.1114,0.169842964,0.2004,,,,,,,,,,,
0.13,38,0.2026,0.3898,0.265531915,0.1248,0.169795918,0.3452,,,,,,,,,,,
0.28,17,0.1698,0.4572,0.360858257,0.111,0.16977669,0.1966,,,,,,,,,,,
0.15,84,0.1597,0.4395,0.327241576,0.1146,0.169752629,0.2356,,,,,,,,,,,
0.24,35,0.1742,0.4484,0.342874543,0.1126,0.169527251,0.2158,,,,,,,,,,,
0.17,94,0.1578,0.455,0.355953905,0.1112,0.16946053,0.2012,,,,,,,,,,,
0.16,93,0.1595,0.449,0.343941248,0.1124,0.169430208,0.2144,,,,,,,,,,,
0.08,57,0.175,0.4438,0.334316038,0.1134,0.169354839,0.2258,,,,,,,,,,,
0.23,38,0.1344,0.4846,0.436046512,0.105,0.169245648,0.1358,,,,,,,,,,,
0.06,80,0.1901,0.3909,0.265980266,0.124,0.169144728,0.3422,,,,,,,,,,,
0.06,89,0.146,0.4351,0.319622012,0.115,0.169142521,0.2448,,,,,,,,,,,
0.19,40,0.1767,0.4112,0.287152445,0.1198,0.169065763,0.2974,,,,,,,,,,,
0.17,45,0.1702,0.4485,0.342700061,0.1122,0.169052283,0.2152,,,,,,,,,,,
0.14,77,0.1047,0.4992,0.496101365,0.1018,0.168934617,0.1034,,,,,,,,,,,
0.17,72,0.1865,0.4088,0.284090909,0.12,0.168728909,0.3024,,,,,,,,,,,
0.14,100,0.1729,0.4541,0.353354633,0.1106,0.168469155,0.2024,,,,,,,,,,,
0.27,25,0.126,0.4934,0.46978022,0.1026,0.168417597,0.1158,,,,,,,,,,,
0.14,60,0.1534,0.4463,0.337960169,0.112,0.168243954,0.2194,,,,,,,,,,,
0.25,25,0.166,0.4512,0.347309136,0.111,0.168232798,0.2086,,,,,,,,,,,
0.08,80,0.1917,0.3962,0.270150576,0.122,0.168090383,0.3296,,,,,,,,,,,
0.14,99,0.1665,0.4522,0.349116162,0.1106,0.167982989,0.2062,,,,,,,,,,,
0.24,18,0.1435,0.4508,0.34625,0.1108,0.167878788,0.2092,,,,,,,,,,,
0.11,99,0.1155,0.4882,0.448695652,0.1032,0.167804878,0.1268,,,,,,,,,,,
0.19,17,0.1781,0.4404,0.327146172,0.1128,0.167757287,0.232,,,,,,,,,,,
0.23,24,0.1691,0.4374,0.322159091,0.1134,0.167751479,0.2386,,,,,,,,,,,
0.27,11,0.1663,0.4498,0.344099379,0.1108,0.167624811,0.2112,,,,,,,,,,,
0.07,82,0.1896,0.395,0.268109541,0.1214,0.167125551,0.3314,,,,,,,,,,,
0.14,32,0.288,0.3709,0.247160204,0.1262,0.167085926,0.3844,,,,,,,,,,,
0.17,13,0.2266,0.3796,0.254084967,0.1244,0.167024705,0.3652,,,,,,,,,,,
0.17,21,0.2129,0.3735,0.249107497,0.1256,0.166999069,0.3786,,,,,,,,,,,
0.1,96,0.2311,0.3827,0.256537983,0.1236,0.166824133,0.3582,,,,,,,,,,,
0.28,87,0.1667,0.4473,0.338640539,0.1106,0.166742047,0.216,,,,,,,,,,,
0.19,46,0.1431,0.4789,0.415802075,0.1042,0.166640013,0.1464,,,,,,,,,,,
0.15,41,0.1433,0.4335,0.314969393,0.1132,0.166544064,0.2462,,,,,,,,,,,
0.28,36,0.1234,0.4932,0.468518519,0.1012,0.166447368,0.1148,,,,,,,,,,,
0.09,68,0.1819,0.4022,0.274654378,0.1192,0.166248257,0.3148,,,,,,,,,,,
0.14,88,0.1597,0.4601,0.364745763,0.1076,0.166177606,0.1874,,,,,,,,,,,
0.08,92,0.165,0.3994,0.271363636,0.1194,0.165833333,0.3206,,,,,,,,,,,
0.29,54,0.0965,0.5339,0.788756388,0.0926,0.165741901,0.0248,,,,,,,,,,,
0.13,48,0.1586,0.4486,0.340174129,0.1094,0.165556901,0.2122,,,,,,,,,,,
0.27,29,0.0983,0.5207,0.639676113,0.0948,0.165128026,0.0534,,,,,,,,,,,
0.12,47,0.0988,0.4964,0.48255814,0.0996,0.165119363,0.1068,,,,,,,,,,,
0.25,20,0.1834,0.3951,0.26636971,0.1196,0.165079365,0.3294,,,,,,,,,,,
0.13,54,0.1994,0.3997,0.270690444,0.1184,0.164741895,0.319,,,,,,,,,,,
0.26,89,0.123,0.5031,0.516332982,0.098,0.164733569,0.0918,,,,,,,,,,,
0.12,82,0.1441,0.4695,0.387120651,0.1046,0.164698473,0.1656,,,,,,,,,,,
0.08,56,0.1155,0.4816,0.42358804,0.102,0.164410058,0.1388,,,,,,,,,,,
0.1,84,0.1622,0.4358,0.316571429,0.1108,0.164148148,0.2392,,,,,,,,,,,
0.22,39,0.1569,0.456,0.354111406,0.1068,0.164105716,0.1948,,,,,,,,,,,
0.12,86,0.155,0.4568,0.355807744,0.1066,0.164050477,0.193,,,,,,,,,,,
0.12,71,0.1595,0.4384,0.320721769,0.1102,0.164036916,0.2334,,,,,,,,,,,
0.13,70,0.1798,0.3981,0.268303774,0.118,0.163911654,0.3218,,,,,,,,,,,
0.11,59,0.1543,0.4419,0.326567164,0.1094,0.163895131,0.2256,,,,,,,,,,,
0.08,82,0.1601,0.4456,0.333128834,0.1086,0.163800905,0.2174,,,,,,,,,,,
0.22,9,0.1871,0.3923,0.262461403,0.119,0.163753956,0.3344,,,,,,,,,,,
0.08,67,0.1752,0.4023,0.272473218,0.117,0.163705051,0.3124,,,,,,,,,,,
0.08,71,0.1898,0.3959,0.26585695,0.1182,0.163643915,0.3264,,,,,,,,,,,
0.31,26,0.1221,0.4822,0.425210084,0.1012,0.163489499,0.1368,,,,,,,,,,,
0.13,84,0.1807,0.4284,0.304585153,0.1116,0.163348946,0.2548,,,,,,,,,,,
0.26,30,0.1258,0.4733,0.39675174,0.1026,0.163038297,0.156,,,,,,,,,,,
0.09,58,0.1073,0.4645,0.372942019,0.1042,0.162888854,0.1752,,,,,,,,,,,
0.23,66,0.1054,0.4882,0.446942446,0.0994,0.16263089,0.123,,,,,,,,,,,
0.5,3,0.0996,0.5008,0.504166667,0.0968,0.162416107,0.0952,,,,,,,,,,,
0.1,93,0.1546,0.4271,0.301578661,0.1108,0.162059383,0.2566,,,,,,,,,,,
0.28,100,0.111,0.501,0.50524109,0.0964,0.161907961,0.0944,,,,,,,,,,,
0.14,80,0.1137,0.4905,0.455977757,0.0984,0.161868728,0.1174,,,,,,,,,,,
0.25,30,0.115,0.477,0.407258065,0.101,0.161858974,0.147,,,,,,,,,,,
0.29,28,0.1062,0.4458,0.331677019,0.1068,0.161573374,0.2152,,,,,,,,,,,
0.23,12,0.2088,0.4122,0.281374502,0.113,0.161244292,0.2886,,,,,,,,,,,
0.1,49,0.1078,0.4808,0.419327731,0.0998,0.161227787,0.1382,,,,,,,,,,,
0.09,50,0.1418,0.4647,0.372194062,0.1028,0.161103275,0.1734,,,,,,,,,,,
0.13,60,0.1028,0.4884,0.447176685,0.0982,0.161036405,0.1214,,,,,,,,,,,
0.28,44,0.1491,0.4398,0.320405728,0.1074,0.160874775,0.2278,,,,,,,,,,,
0.28,9,0.1529,0.4458,0.331047382,0.1062,0.160811629,0.2146,,,,,,,,,,,
0.32,30,0.1104,0.5032,0.517391304,0.0952,0.160810811,0.0888,,,,,,,,,,,
0.13,78,0.1699,0.3986,0.265927978,0.1152,0.16075914,0.318,,,,,,,,,,,
0.14,54,0.1637,0.4116,0.280099502,0.1126,0.160627675,0.2894,,,,,,,,,,,
0.08,79,0.1844,0.4155,0.2845487,0.1116,0.160321793,0.2806,,,,,,,,,,,
0.23,43,0.1281,0.4767,0.405207486,0.0996,0.159897255,0.1462,,,,,,,,,,,
0.12,50,0.1439,0.4334,0.308840413,0.1076,0.159596559,0.2408,,,,,,,,,,,
0.22,25,0.1492,0.426,0.297814208,0.109,0.159590044,0.257,,,,,,,,,,,
0.33,45,0.1061,0.5018,0.509698276,0.0946,0.159581646,0.091,,,,,,,,,,,
0.18,47,0.1444,0.4499,0.337864078,0.1044,0.159511077,0.2046,,,,,,,,,,,
0.1,86,0.1368,0.4529,0.343936382,0.1038,0.159471501,0.198,,,,,,,,,,,
0.13,97,0.1087,0.4873,0.442114859,0.097,0.159094637,0.1224,,,,,,,,,,,
0.22,45,0.1026,0.4969,0.484199796,0.095,0.158836315,0.1012,,,,,,,,,,,
0.23,11,0.1378,0.432,0.305714286,0.107,0.158518519,0.243,,,,,,,,,,,
0.24,21,0.1604,0.451,0.339238845,0.1034,0.158491723,0.2014,,,,,,,,,,,
0.23,89,0.1007,0.4965,0.482197355,0.0948,0.158448939,0.1018,,,,,,,,,,,
0.11,40,0.2123,0.405,0.270531401,0.112,0.158415842,0.302,,,,,,,,,,,
0.19,34,0.1077,0.4803,0.416170213,0.0978,0.158380567,0.1372,,,,,,,,,,,
0.31,37,0.0857,0.5302,0.760344828,0.0882,0.158064516,0.0278,,,,,,,,,,,
0.2,20,0.0982,0.45,0.336814621,0.1032,0.157991427,0.2032,,,,,,,,,,,
0.21,72,0.1381,0.452,0.340848806,0.1028,0.157959435,0.1988,,,,,,,,,,,
0.4,8,0.0786,0.5325,0.79491833,0.0876,0.157809404,0.0226,,,,,,,,,,,
0.38,29,0.078,0.5291,0.746192893,0.0882,0.157753532,0.03,,,,,,,,,,,
0.26,43,0.1026,0.4985,0.492113565,0.0936,0.15728449,0.0966,,,,,,,,,,,
0.19,77,0.1039,0.4918,0.460194175,0.0948,0.15721393,0.1112,,,,,,,,,,,
0.17,49,0.102,0.4874,0.441774492,0.0956,0.157185136,0.1208,,,,,,,,,,,
0.15,98,0.1767,0.4311,0.303030303,0.106,0.157060305,0.2438,,,,,,,,,,,
0.1,74,0.1012,0.4821,0.421284081,0.0958,0.15610233,0.1316,,,,,,,,,,,
0.44,69,0.0725,0.5318,0.790145985,0.0866,0.156092286,0.023,,,,,,,,,,,
0.36,30,0.0745,0.5241,0.6885759,0.088,0.156056038,0.0398,,,,,,,,,,,
0.24,23,0.122,0.462,0.361717613,0.0994,0.155946031,0.1754,,,,,,,,,,,
0.19,26,0.1202,0.4377,0.312462372,0.1038,0.155832458,0.2284,,,,,,,,,,,
0.24,6,0.1085,0.4563,0.348158443,0.1002,0.155614226,0.1876,,,,,,,,,,,
0.26,19,0.13,0.442,0.319427148,0.1026,0.155313351,0.2186,,,,,,,,,,,
0.24,15,0.1186,0.4588,0.353485064,0.0994,0.155167031,0.1818,,,,,,,,,,,
0.31,8,0.1899,0.4186,0.283049041,0.1062,0.154450262,0.269,,,,,,,,,,,
0.21,35,0.0979,0.5018,0.510089686,0.091,0.154446707,0.0874,,,,,,,,,,,
0.23,6,0.1953,0.3964,0.257717493,0.1102,0.154384982,0.3174,,,,,,,,,,,
0.38,42,0.0791,0.5336,0.828125,0.0848,0.153846154,0.0176,,,,,,,,,,,
0.11,81,0.0956,0.4859,0.434296365,0.0932,0.153466162,0.1214,,,,,,,,,,,
0.13,98,0.1072,0.4593,0.353068592,0.0978,0.153171496,0.1792,,,,,,,,,,,
0.25,23,0.1948,0.4269,0.292917847,0.1034,0.152845528,0.2496,,,,,,,,,,,
0.24,12,0.1429,0.416,0.278012685,0.1052,0.152640743,0.2732,,,,,,,,,,,
0.16,45,0.1928,0.4109,0.271655561,0.106,0.152496044,0.2842,,,,,,,,,,,
0.07,97,0.2518,0.4209,0.283761618,0.1038,0.151998829,0.262,,,,,,,,,,,
0.27,35,0.1063,0.4845,0.428040854,0.0922,0.151719598,0.1232,,,,,,,,,,,
0.08,91,0.4188,0.2842,0.185972061,0.1278,0.151493599,0.5594,,,,,,,,,,,
0.24,19,0.0976,0.4427,0.316932907,0.0992,0.151104341,0.2138,,,,,,,,,,,
0.31,1,0.3189,0.3293,0.204569055,0.1182,0.149828876,0.4596,,,,,,,,,,,
0.39,20,0.0957,0.4504,0.330136986,0.0964,0.149226006,0.1956,,,,,,,,,,,
0.1,69,0.1494,0.4554,0.340714286,0.0954,0.1490625,0.1846,,,,,,,,,,,
0.33,27,0.0786,0.4932,0.464360587,0.0886,0.148807524,0.1022,,,,,,,,,,,
0.1,58,0.1769,0.4427,0.314322748,0.097,0.148250038,0.2116,,,,,,,,,,,
0.11,66,0.1548,0.422,0.281634938,0.1006,0.14824639,0.2566,,,,,,,,,,,
0.26,35,0.1011,0.4596,0.349702381,0.094,0.148171501,0.1748,,,,,,,,,,,
0.25,28,0.1634,0.4352,0.301226994,0.0982,0.14811463,0.2278,,,,,,,,,,,
0.24,24,0.0869,0.4762,0.396341463,0.091,0.148015615,0.1386,,,,,,,,,,,
0.16,38,0.172,0.4356,0.301724138,0.098,0.14794686,0.2268,,,,,,,,,,,
0.15,80,0.0866,0.4842,0.424904943,0.0894,0.147719762,0.121,,,,,,,,,,,
0.28,27,0.1064,0.4806,0.411334552,0.09,0.147686249,0.1288,,,,,,,,,,,
0.39,26,0.0615,0.5299,0.790291262,0.0814,0.147597461,0.0216,,,,,,,,,,,
0.18,49,0.1319,0.5031,0.518742443,0.0858,0.147245581,0.0796,,,,,,,,,,,
0.17,51,0.0802,0.4738,0.387650086,0.0904,0.146610444,0.1428,,,,,,,,,,,
0.21,26,0.1652,0.4223,0.279636982,0.0986,0.145793287,0.254,,,,,,,,,,,
0.04,82,0.3283,0.3499,0.212121212,0.1106,0.145392402,0.4108,,,,,,,,,,,
0.12,61,0.1744,0.4036,0.256072874,0.1012,0.145068807,0.294,,,,,,,,,,,
0.07,92,0.2057,0.3797,0.233259424,0.1052,0.145003446,0.3458,,,,,,,,,,,
0.25,45,0.0658,0.5027,0.516564417,0.0842,0.144797936,0.0788,,,,,,,,,,,
0.14,66,0.1045,0.4223,0.278632479,0.0978,0.144781643,0.2532,,,,,,,,,,,
0.11,70,0.3099,0.3512,0.211180124,0.1088,0.143611404,0.4064,,,,,,,,,,,
0.3,7,0.0786,0.469,0.370833333,0.089,0.143548387,0.151,,,,,,,,,,,
0.34,18,0.0633,0.4994,0.496445498,0.0838,0.143394935,0.085,,,,,,,,,,,
0.17,93,0.0898,0.4957,0.475706215,0.0842,0.143075616,0.0928,,,,,,,,,,,
0.25,48,0.0551,0.5023,0.514285714,0.0828,0.142635659,0.0782,,,,,,,,,,,
0.22,74,0.0341,0.5317,0.845315904,0.0776,0.142150577,0.0142,,,,,,,,,,,
0.24,95,0.1017,0.4634,0.354066986,0.0888,0.141989127,0.162,,,,,,,,,,,
0.24,42,0.1074,0.423,0.275641026,0.0946,0.140857653,0.2486,,,,,,,,,,,
0.09,40,0.274,0.3726,0.223284101,0.1028,0.140783347,0.3576,,,,,,,,,,,
0.41,1,0.0434,0.5213,0.686514886,0.0784,0.140728774,0.0358,,,,,,,,,,,
0.3,22,0.0936,0.4669,0.362427265,0.0872,0.14057714,0.1534,,,,,,,,,,,
0.38,30,0.1066,0.4924,0.457777778,0.0824,0.139661017,0.0976,,,,,,,,,,,
0.07,100,0.2325,0.3962,0.242559524,0.0978,0.139395667,0.3054,,,,,,,,,,,
0.27,36,0.1067,0.4462,0.312412831,0.0896,0.13926018,0.1972,,,,,,,,,,,
0.1,88,0.1738,0.3836,0.230555556,0.0996,0.139106145,0.3324,,,,,,,,,,,
0.05,94,0.1851,0.4085,0.254164428,0.0946,0.137880775,0.2776,,,,,,,,,,,
0.3,42,0.0507,0.5003,0.501886792,0.0798,0.137704918,0.0792,,,,,,,,,,,
0.19,15,0.1846,0.4198,0.267670915,0.0924,0.137377342,0.2528,,,,,,,,,,,
0.18,15,0.2976,0.3366,0.195376585,0.1048,0.136422807,0.4316,,,,,,,,,,,
0.34,21,0.0407,0.5273,0.78858351,0.0746,0.1363055,0.02,,,,,,,,,,,
0.05,61,0.2494,0.3974,0.23906409,0.094,0.134941143,0.2992,,,,,,,,,,,
0.13,41,0.2949,0.3197,0.184679958,0.1056,0.13436824,0.4662,,,,,,,,,,,
0.26,6,0.0646,0.4757,0.384175405,0.0806,0.133245164,0.1292,,,,,,,,,,,
0.12,97,0.1923,0.3798,0.220984215,0.0952,0.133072407,0.3356,,,,,,,,,,,
0.13,95,0.1079,0.4944,0.46626506,0.0774,0.132761578,0.0886,,,,,,,,,,,
0.04,65,0.2049,0.4253,0.26987061,0.0876,0.132266345,0.237,,,,,,,,,,,
0.07,51,0.0884,0.4459,0.303272727,0.0834,0.130823529,0.1916,,,,,,,,,,,
0.1,57,0.1269,0.4594,0.333059211,0.081,0.13030888,0.1622,,,,,,,,,,,
