self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.03,7,0.988,0.5055,0.502770781,0.998,0.668676717,0.987,,,,,,,,,,,
0.03,28,0.9893,0.5053,0.50266895,0.9982,0.668631523,0.9876,,,,,,,,,,,
0.19,2,0.9905,0.5052,0.502617801,0.9984,0.668631128,0.988,,,,,,,,,,,
0.02,22,0.9821,0.506,0.503029691,0.9962,0.668500872,0.9842,,,,,,,,,,,
0.08,5,0.9914,0.5049,0.502466029,0.9984,0.66849682,0.9886,,,,,,,,,,,
0.12,4,0.9913,0.5049,0.502466029,0.9984,0.66849682,0.9886,,,,,,,,,,,
0.17,5,0.9792,0.5069,0.503494379,0.9942,0.668459625,0.9804,,,,,,,,,,,
0.22,2,0.8472,0.5234,0.512481331,0.9608,0.668429108,0.914,,,,,,,,,,,
0.05,8,0.5422,0.5663,0.541052632,0.8738,0.668298279,0.7412,,,,,,,,,,,
0.21,2,0.9935,0.5036,0.501809045,0.9986,0.667959866,0.9914,,,,,,,,,,,
0.18,3,0.9915,0.5041,0.502063828,0.9974,0.667916695,0.9892,,,,,,,,,,,
0.09,5,1,0.5025,0.501253133,1,0.667779633,0.995,,,,,,,,,,,
0.03,8,0.9788,0.5047,0.502372539,0.9952,0.667695404,0.9858,,,,,,,,,,,
0.12,3,0.9953,0.5026,0.501304697,0.999,0.667602245,0.9938,,,,,,,,,,,
0.2,5,0.9958,0.502,0.501002205,0.9998,0.667512351,0.9958,,,,,,,,,,,
0.03,29,0.9782,0.5039,0.50196632,0.9956,0.667426426,0.9878,,,,,,,,,,,
0.02,28,0.9967,0.5021,0.501053265,0.999,0.66737925,0.9948,,,,,,,,,,,
0.22,3,0.9956,0.5018,0.500902708,0.9988,0.667201069,0.9952,,,,,,,,,,,
0.23,1,0.9995,0.5005,0.500250125,1,0.666888963,0.999,,,,,,,,,,,
0.14,1,0.9998,0.5003,0.500150045,1,0.666800027,0.9994,,,,,,,,,,,
0.14,3,0.9985,0.5003,0.500150075,0.9998,0.666755585,0.9992,,,,,,,,,,,
0.18,2,0.9994,0.5002,0.50010004,0.9998,0.666711123,0.9994,,,,,,,,,,,
0.04,6,0.9999,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,,
0.05,5,0.9999,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,,
0.13,2,0.9995,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.01,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
