self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.03,12,1,0.5057,0.502872115,0.998,0.668766334,0.9866,,,,,,,,,,
0.06,16,0.7875,0.601,0.57169222,0.8054,0.668714713,0.6034,,,,,,,,,,
0.04,14,1,0.5057,0.502873274,0.9976,0.668677525,0.9862,,,,,,,,,,
0.2,1,1,0.5059,0.502976491,0.997,0.668633894,0.9852,,,,,,,,,,
0.02,41,0.9681,0.5267,0.514381127,0.955,0.668627039,0.9016,,,,,,,,,,
0.07,8,0.9989,0.5065,0.503289807,0.9944,0.668324484,0.9814,,,,,,,,,,
0.02,6,1,0.505,0.502521687,0.9964,0.66809709,0.9864,,,,,,,,,,
0.2,2,1,0.5041,0.502062167,0.9982,0.668094505,0.99,,,,,,,,,,
0.28,2,1,0.5035,0.501757911,0.999,0.668004012,0.992,,,,,,,,,,
0.13,4,1,0.5027,0.501355558,0.9986,0.667557992,0.9932,,,,,,,,,,
0.1,5,1,0.5016,0.500801603,0.9996,0.66728972,0.9964,,,,,,,,,,
0.12,4,1,0.5018,0.500902527,0.999,0.667245525,0.9954,,,,,,,,,,
0.11,5,1,0.5009,0.500450405,1,0.667066907,0.9982,,,,,,,,,,
0.1,3,1,0.5009,0.500450857,0.999,0.66684467,0.9972,,,,,,,,,,
0.14,5,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,,,
0.06,5,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.16,3,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,12,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,26,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,35,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
