threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
-0.07,0.7583,0.7796,0.936875,0.5996,0.731219512,0.0404,,,,,,,,,
-0.25,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.24,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.23,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.22,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.21,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.2,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.19,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.18,0.7583,0.7794,0.935745477,0.6,0.731172313,0.0412,,,,,,,,,
-0.05,0.7583,0.7796,0.937148218,0.5994,0.73115394,0.0402,,,,,,,,,
-0.08,0.7583,0.7795,0.936582318,0.5996,0.73113035,0.0406,,,,,,,,,
-0.12,0.7583,0.7794,0.936289819,0.5996,0.731041209,0.0408,,,,,,,,,
-0.11,0.7583,0.7794,0.936289819,0.5996,0.731041209,0.0408,,,,,,,,,
-0.1,0.7583,0.7794,0.936289819,0.5996,0.731041209,0.0408,,,,,,,,,
-0.09,0.7583,0.7794,0.936289819,0.5996,0.731041209,0.0408,,,,,,,,,
-0.17,0.7583,0.7793,0.935725429,0.5998,0.731017672,0.0412,,,,,,,,,
-0.16,0.7583,0.7793,0.935725429,0.5998,0.731017672,0.0412,,,,,,,,,
-0.15,0.7583,0.7793,0.935725429,0.5998,0.731017672,0.0412,,,,,,,,,
-0.14,0.7583,0.7792,0.935705368,0.5996,0.730862994,0.0412,,,,,,,,,
-0.13,0.7583,0.7792,0.935705368,0.5996,0.730862994,0.0412,,,,,,,,,
-0.04,0.7583,0.7788,0.936990596,0.5978,0.72991453,0.0402,,,,,,,,,
-0.03,0.7583,0.7787,0.937519623,0.5972,0.729627367,0.0398,,,,,,,,,
-0.91,0.7583,0.7704,0.892111369,0.6152,0.728219697,0.0744,,,,,,,,,
-0.92,0.7583,0.7673,0.883941396,0.6154,0.725621979,0.0808,,,,,,,,,
-0.94,0.7583,0.7672,0.883467279,0.6156,0.725601132,0.0812,,,,,,,,,
-0.93,0.7583,0.7672,0.883467279,0.6156,0.725601132,0.0812,,,,,,,,,
-0.95,0.7583,0.7668,0.882454128,0.6156,0.725259189,0.082,,,,,,,,,
-0.96,0.7583,0.7661,0.880686695,0.6156,0.724661566,0.0834,,,,,,,,,
-0.98,0.7583,0.7655,0.878097408,0.6166,0.72447421,0.0856,,,,,,,,,
-0.97,0.7583,0.7657,0.87924636,0.616,0.724450194,0.0846,,,,,,,,,
-0.99,0.7583,0.765,0.876634451,0.6168,0.724113642,0.0868,,,,,,,,,
-1,0.7583,0.7644,0.874504249,0.6174,0.723798359,0.0886,,,,,,,,,
-1.51,0,0.6488,0.659110351,0.6164,0.637040099,0.3188,,,,,,,,,
-1.5,0,0.6488,0.659178434,0.6162,0.636965061,0.3186,,,,,,,,,
-1.49,0,0.6489,0.659387711,0.616,0.636955847,0.3182,,,,,,,,,
-1.57,0,0.6445,0.65080359,0.6236,0.636911449,0.3346,,,,,,,,,
-1.48,0,0.6489,0.65952432,0.6156,0.636805627,0.3178,,,,,,,,,
-1.58,0,0.6442,0.650333611,0.6238,0.636790527,0.3354,,,,,,,,,
-1.56,0,0.6443,0.650657757,0.6232,0.636632955,0.3346,,,,,,,,,
-1.7,0.0003,0.6419,0.646198228,0.6272,0.636557394,0.3434,,,,,,,,,
-1.53,0,0.6444,0.650919732,0.6228,0.636549469,0.334,,,,,,,,,
-1.69,0.0002,0.642,0.646391753,0.627,0.636548223,0.343,,,,,,,,,
-1.68,0.0002,0.6421,0.646585517,0.6268,0.636539047,0.3426,,,,,,,,,
-1.47,0,0.6487,0.659378349,0.6152,0.636523539,0.3178,,,,,,,,,
-1.52,0,0.6465,0.655026455,0.619,0.636503856,0.326,,,,,,,,,
-1.45,0,0.649,0.660008591,0.6146,0.636495443,0.3166,,,,,,,,,
-1.44,0,0.649,0.660008591,0.6146,0.636495443,0.3166,,,,,,,,,
-1.55,0,0.6442,0.650584795,0.623,0.636493666,0.3346,,,,,,,,,
-1.46,0,0.6488,0.659656652,0.6148,0.636438923,0.3172,,,,,,,,,
-1.67,0.0002,0.6421,0.646706587,0.6264,0.636391344,0.3422,,,,,,,,,
-1.54,0,0.6441,0.650511803,0.6228,0.636354348,0.3346,,,,,,,,,
-1.71,0.0003,0.6415,0.645666049,0.6272,0.636299077,0.3442,,,,,,,,,
-1.43,0,0.6489,0.660004298,0.6142,0.636278877,0.3164,,,,,,,,,
-1.73,0.0003,0.6408,0.644499179,0.628,0.636142626,0.3464,,,,,,,,,
-1.59,0,0.6432,0.648980441,0.6238,0.636141138,0.3374,,,,,,,,,
-1.72,0.0003,0.6412,0.64526749,0.6272,0.636105477,0.3448,,,,,,,,,
-1.42,0,0.6487,0.659858095,0.6138,0.63599627,0.3164,,,,,,,,,
-1.63,0.0002,0.6426,0.647986716,0.6244,0.63597474,0.3392,,,,,,,,,
-1.62,0.0002,0.6427,0.648182762,0.6242,0.635965359,0.3388,,,,,,,,,
-1.61,0.0002,0.6427,0.648182762,0.6242,0.635965359,0.3388,,,,,,,,,
-1.64,0.0002,0.6422,0.647265949,0.625,0.635938136,0.3406,,,,,,,,,
-1.41,0,0.6487,0.659926866,0.6136,0.635920821,0.3162,,,0.42,1.00E-04,0.5967,0.859479554,0.2312,0.364381403,0.0378
-1.4,0,0.6487,0.659926866,0.6136,0.635920821,0.3162,,,,,,,,,
-1.6,0,0.6427,0.648244338,0.624,0.635891165,0.3386,,,,,,,,,
-1.74,0.0003,0.6402,0.643647541,0.6282,0.63582996,0.3478,,,,,,,,,
-1.66,0.0002,0.6418,0.646608768,0.6254,0.635827572,0.3418,,,,,,,,,
-1.75,0.0003,0.6399,0.643193449,0.6284,0.635710673,0.3486,,,,,,,,,
-1.65,0.0002,0.6417,0.646535677,0.6252,0.635688866,0.3418,,,,,,,,,
-1.76,0.0003,0.6396,0.642798691,0.6284,0.635517799,0.3492,,,,,,,,,
-1.39,0,0.6484,0.659707275,0.613,0.635496579,0.3162,,,,,,,,,
-1.38,0,0.6484,0.659707275,0.613,0.635496579,0.3162,,,,,,,,,
-1.37,0,0.6485,0.659918156,0.6128,0.635486882,0.3158,,,,,,,,,
-1.36,0,0.6487,0.660340738,0.6124,0.635467469,0.315,,,,,,,,,
-1.33,0,0.6487,0.660409924,0.6122,0.635391801,0.3148,,,,,,,,,
-1.35,0,0.6486,0.660267472,0.6122,0.635325861,0.315,,,,,,,,,
-1.34,0,0.6486,0.660267472,0.6122,0.635325861,0.315,,,,,,,,,
-1.78,0.0004,0.639,0.641894651,0.6288,0.635279855,0.3508,,,,,,,,,
-1.32,0,0.6486,0.660336642,0.612,0.635250156,0.3148,,,,,,,,,
-1.77,0.0003,0.6391,0.642141835,0.6284,0.635196604,0.3502,,,,,,,,,
-1.3,0,0.6487,0.660617844,0.6116,0.635164607,0.3142,,,,,,,,,
-1.29,0,0.6487,0.660617844,0.6116,0.635164607,0.3142,,,,,,,,,
-1.31,0,0.6486,0.660475162,0.6116,0.63509865,0.3144,,,,,,,,,
-1.79,0.0004,0.6375,0.63965062,0.6298,0.634687091,0.3548,,,,,,,,,
-1.8,0.0004,0.6362,0.63768702,0.6308,0.634224814,0.3584,,,,,,,,,
-1.81,0.0005,0.6348,0.635668277,0.6316,0.633627608,0.362,,,,,,,,,
-1.82,0.0005,0.6276,0.625739062,0.635,0.630335517,0.3798,,,,,,,,,
-1.83,0.0005,0.6205,0.615487828,0.6422,0.628560243,0.4012,,,,,,,,,
-1.84,0.0005,0.6076,0.599188791,0.65,0.623561013,0.4348,,,,,,,,,
-1.11,0,0.6503,0.675215668,0.5792,0.623533211,0.2786,,,,,,,,,
-1.14,0,0.6502,0.675058275,0.5792,0.623466093,0.2788,,,,,,,,,
-1.13,0,0.6502,0.675058275,0.5792,0.623466093,0.2788,,,,,,,,,
-1.12,0,0.6502,0.675058275,0.5792,0.623466093,0.2788,,,,,,,,,
-1.28,0,0.6404,0.655378486,0.5922,0.622189536,0.3114,,,,,,,,,
-1.15,0,0.6444,0.663644606,0.5856,0.622184445,0.2968,,,,,,,,,
-1.09,0,0.6493,0.674701615,0.5766,0.621805241,0.278,,,,,,,,,
-1.08,0,0.6493,0.674701615,0.5766,0.621805241,0.278,,,,,,,,,
-1.1,0,0.6492,0.674543753,0.5766,0.621738193,0.2782,,,,,,,,,
-1.07,0,0.6492,0.674625468,0.5764,0.621656601,0.278,,,,,,,,,
-1.06,0,0.6492,0.674625468,0.5764,0.621656601,0.278,,,,,,,,,
-1.05,0,0.6492,0.674625468,0.5764,0.621656601,0.278,,,,,,,,,
-1.04,0,0.6492,0.674625468,0.5764,0.621656601,0.278,,,,,,,,,
-1.18,0,0.6416,0.658318426,0.5888,0.621621622,0.3056,,,,,,,,,
-1.21,0,0.6407,0.656646627,0.5898,0.621430829,0.3084,,,,,,,,,
-1.23,0,0.6404,0.65613879,0.59,0.621314238,0.3092,,,,,,,,,
-1.2,0,0.6407,0.656786271,0.5894,0.621271213,0.308,,,,,,,,,
-1.16,0,0.6425,0.660509124,0.5864,0.621252251,0.3014,,,,,,,,,
-1.22,0,0.6404,0.656208278,0.5898,0.621234464,0.309,,,,,,,,,
-1.17,0,0.6417,0.658892128,0.5876,0.621207316,0.3042,,,,,,,,,
-1.19,0,0.6407,0.656926166,0.589,0.621111463,0.3076,,,,,,,,,
-1.26,0,0.6399,0.655340884,0.5902,0.621067031,0.3104,,,,,,,,,
-1.25,0,0.6399,0.655409909,0.59,0.620987264,0.3102,,,,,,,,,
-1.24,0,0.6399,0.655409909,0.59,0.620987264,0.3102,,,,,,,,,
-1.27,0,0.6396,0.654904572,0.5902,0.620871029,0.311,,,,,,,,,
-1.85,0.0005,0.5855,0.573643411,0.666,0.616381305,0.495,,,,,,,,,
-1.86,0.0005,0.5697,0.557253162,0.6784,0.611887797,0.539,,,,,,,,,
-1.03,0,0.6427,0.671062095,0.5598,0.610402355,0.2744,,,,,,,,,
-1.02,0,0.6427,0.671062095,0.5598,0.610402355,0.2744,,,,,,,,,
-1.87,0.0005,0.546,0.535060976,0.702,0.607266436,0.61,,,,,,,,,
-2.27,0.0007,0.5317,0.522994342,0.721,0.606238964,0.6576,,,,,,,,,
-2.28,0.0007,0.5315,0.52284264,0.721,0.606137032,0.658,,,,,,,,,
-2.29,0.0007,0.5311,0.522532966,0.7212,0.605999496,0.659,,,,,,,,,
-2.31,0.0007,0.531,0.522457259,0.7212,0.60594858,0.6592,,,,,,,,,
-2.3,0.0007,0.531,0.522457259,0.7212,0.60594858,0.6592,,,,,,,,,
-2.26,0.0007,0.5314,0.522786647,0.7204,0.6058873,0.6576,,,,,,,,,
-2.32,0.0007,0.5305,0.52207905,0.7212,0.60569413,0.6602,,,,,,,,,
-2.33,0.0007,0.5304,0.522003474,0.7212,0.605643265,0.6604,,,,,,,,,
-2.25,0.0007,0.5312,0.522661243,0.7196,0.605520027,0.6572,,,,,,,,,
-2.23,0.0007,0.5312,0.522681012,0.719,0.605320761,0.6566,,,,,,,,,
-2.24,0.0007,0.531,0.522522523,0.7192,0.605285306,0.6572,,,,,,,,,
-2.21,0.0007,0.5314,0.522866298,0.718,0.605090174,0.6552,,,,,,,,,
-1.88,0.0005,0.5405,0.53051997,0.704,0.605070907,0.623,,,,,,,,,
-2.22,0.0007,0.5311,0.522624764,0.7184,0.605070328,0.6562,,,,,,,,,
-1.89,0.0006,0.54,0.530102348,0.7044,0.604946754,0.6244,,,,,,,,,
-2.2,0.0007,0.5312,0.522740525,0.7172,0.604721754,0.6548,,,,,,,,,
