threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.69,0.452534191,0.6832,0.942084942,0.3904,0.552036199,0.024,,,,,,,,,
0.7,0.440198445,0.6783,0.941993059,0.38,0.54154197,0.0234,,,,,,,,,
0.71,0.440198445,0.6783,0.941993059,0.38,0.54154197,0.0234,,,,,,,,,
0.72,0.42920354,0.6732,0.941836735,0.3692,0.53045977,0.0228,,,,,,,,,
0.73,0.41901314,0.6696,0.941207076,0.3618,0.522681306,0.0226,,,,,,,,,
0.74,0.416331456,0.6685,0.941793393,0.3592,0.520052121,0.0222,,,,,,,,,
0.75,0.409493162,0.6668,0.94314559,0.355,0.515838419,0.0214,,,,,,,,,
0.76,0.405068383,0.6658,0.944265809,0.3524,0.513253714,0.0208,,,,,,,,,
0.77,0.400241352,0.6643,0.944775311,0.349,0.509712283,0.0204,,,,,,,,,
0.78,0.39380531,0.6623,0.945634267,0.3444,0.504911303,0.0198,,,,,,,,,
0.79,0.384821668,0.6593,0.945220794,0.3382,0.498158786,0.0196,,,,,,,,,
0.8,0.371681416,0.6545,0.944732297,0.3282,0.487160457,0.0192,,,,,,,,,
0.81,0.349691606,0.6465,0.944208611,0.3114,0.468341104,0.0184,,,,,,,,,
0.82,0.297264682,0.6307,0.944255608,0.2778,0.429299954,0.0164,,,,,,,,,
0.83,0.278895146,0.6248,0.943181818,0.2656,0.414481898,0.016,,,,,,,,,
0.84,0.278895146,0.6248,0.943181818,0.2656,0.414481898,0.016,,,,,,,,,
0.85,0.266693484,0.6197,0.941697417,0.2552,0.401573564,0.0158,,,,,,,,,
0.86,0.238938053,0.6093,0.938251804,0.234,0.374579798,0.0154,,,,,,,,,
0.87,0.206087423,0.5978,0.933510638,0.2106,0.343668407,0.015,,,,,,,,,
0.88,0.184231698,0.5889,0.931134821,0.192,0.318355165,0.0142,,,,,,,,,
0.89,0.166264414,0.5787,0.930054645,0.1702,0.287743026,0.0128,,,,,,,,,
0.9,0.147492625,0.5705,0.928311057,0.1528,0.262407694,0.0118,,,,,,,,,
0.91,0.131938858,0.5652,0.931216931,0.1408,0.244614315,0.0104,,,,,,,,,
0.92,0.108340038,0.5595,0.936857562,0.1276,0.224608344,0.0086,,,,,,,,,
0.93,0.076427997,0.5513,0.934010152,0.1104,0.197460204,0.0078,,,,,,,,,
0.94,0.034593725,0.5387,0.932885906,0.0834,0.153111805,0.006,,,,,,,,,
0.95,0.015285599,0.5327,0.933687003,0.0704,0.130928027,0.005,,,,,,,,,
0.96,0.015285599,0.5327,0.933687003,0.0704,0.130928027,0.005,,,,,,,,,
0.97,0.008179136,0.5304,0.939306358,0.065,0.121586233,0.0042,,,,,,,,,
0.98,0.001206758,0.5279,0.945686901,0.0592,0.111424807,0.0034,,,,,,,,,
0.99,0.000536337,0.5277,0.979238754,0.0566,0.107014559,0.0012,,,,,,,,,
1,0,0.5231,1,0.0462,0.088319633,0,,,,,,,,,
