radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.03,50,0.054728091,0.5425,0.865748709,0.1006,0.180254435,0.0156,,,,,,,,,
0.03,60,0.008659508,0.5441,0.966173362,0.0914,0.167001644,0.0032,,,,,,,,,
0.06,40,0.002771043,0.5172,0.613756614,0.0928,0.161223072,0.0584,,,,,,,,,
0.1,100,0.034638033,0.537,0.928240741,0.0802,0.147643594,0.0062,,,,,,,,,
0.04,50,0,0.5185,0.64659271,0.0816,0.144912094,0.0446,,,,,,,,,
0.07,60,0.08555594,0.5339,0.877505568,0.0788,0.144613691,0.011,,,,,,,,,
0.07,40,0.007620367,0.5352,0.955958549,0.0738,0.137021909,0.0034,,,,,,,,,
0.06,30,0.00034638,0.5118,0.597682119,0.0722,0.128836545,0.0486,,,,,,,,,
0.08,60,0.013855213,0.5328,0.968571429,0.0678,0.126728972,0.0022,,,,,,,,,
0.09,50,0.002078282,0.526,0.919354839,0.057,0.107344633,0.005,,,,,,,,,
0.07,80,0.000692761,0.5258,0.93877551,0.0552,0.104268984,0.0036,,,,,,,,,
0.09,10,0.045029442,0.5076,0.582969432,0.0534,0.097838036,0.0382,,,,,,,,,
0.09,90,0,0.5242,0.97265625,0.0498,0.094748858,0.0014,,,,,,,,,
0.1,40,0,0.5239,0.979919679,0.0488,0.09297009,0.001,,,,,,,,,
0.1,50,0.001385521,0.522,0.974137931,0.0452,0.086391437,0.0012,,,,,,,,,
0.09,30,0.011776931,0.5216,0.957627119,0.0452,0.086325439,0.002,,,,,,,,,
0.1,70,0.002078282,0.5223,0.991189427,0.045,0.086091448,0.0004,,,,,,,,,
0.08,30,0.001385521,0.5195,0.962085308,0.0406,0.077912109,0.0016,,,,,,,,,
0.1,90,0.005542085,0.5118,0.710714286,0.0398,0.075378788,0.0162,,,,,,,,,
0.09,20,0.001039141,0.5099,0.666666667,0.0396,0.074759298,0.0198,,,,,,,,,
0.02,50,0.030135088,0.5049,0.580327869,0.0354,0.0667295,0.0256,,,,,,,,,
0.05,40,0.003810184,0.5152,0.926966292,0.033,0.06373117,0.0026,,,,,,,,,
0.08,20,0.004849325,0.511,0.764423077,0.0318,0.061059908,0.0098,,,,,,,,,
0.01,90,0.001039141,0.5137,0.941935484,0.0292,0.056644035,0.0018,,,,,,,,,
0.04,100,0.006927607,0.5117,0.903448276,0.0262,0.050923226,0.0028,,,,,,,,,
0.05,80,0,0.5102,0.925,0.0222,0.043359375,0.0018,,,,,,,,,
0.08,50,0.006581226,0.51,0.954545455,0.021,0.04109589,0.001,,,,,,,,,
0.04,80,0.001731902,0.5058,0.701388889,0.0202,0.039269051,0.0086,,,,,,,,,
0.06,80,0.008659508,0.5061,0.835164835,0.0152,0.02985661,0.003,,,,,,,,,
0.01,80,0.001731902,0.5062,0.860465116,0.0148,0.029099489,0.0024,,,,,,,,,
0.1,30,0.00034638,0.5037,1,0.0074,0.014691284,0,,,,,,,,,
0.07,10,0,0.5003,0.636363636,0.0014,0.002793854,0.0008,,,,,,,,,
0.06,90,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
0.05,100,0.00034638,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
