radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.06,100,0.111423974,0.5619,0.959881129,0.1292,0.227745461,0.0054,,,,,,,,,
0.01,50,0.10109949,0.5443,0.795727637,0.1192,0.207340407,0.0306,,,,,,,,,
0.09,30,0.011263073,0.5539,0.949916528,0.1138,0.20325058,0.006,,,,,,,,,
0.09,20,0.193215339,0.5546,0.965870307,0.1132,0.202649481,0.004,,,,,,,,,
0.01,80,0.089836417,0.5534,0.947986577,0.113,0.20192995,0.0062,,,,,,,,,
0.07,70,0.056583534,0.5513,0.935483871,0.1102,0.197173018,0.0076,,,,,,,,,
0.02,100,0.037007241,0.5478,0.880573248,0.1106,0.196517413,0.015,,,,,,,,,
0.09,10,0.106999195,0.549,0.93594306,0.1052,0.189140597,0.0072,,,,,,,,,
0.06,20,0.104719764,0.5312,0.718487395,0.1026,0.179558978,0.0402,,,,,,,,,
0.03,60,0.122687047,0.5431,0.880070547,0.0998,0.179270702,0.0136,,,,,,,,,
0.07,60,0.069053366,0.5429,0.903954802,0.096,0.173567167,0.0102,,,,,,,,,
0.04,80,0.079377849,0.5453,0.968944099,0.0936,0.170709466,0.003,,,,,,,,,
0.03,50,0.103378922,0.5441,0.966173362,0.0914,0.167001644,0.0032,,,,,,,,,
0.02,90,0.087154733,0.5425,0.979683973,0.0868,0.15947088,0.0018,,,,,,,,,
0.1,10,0.087556986,0.5415,0.962138085,0.0864,0.158561204,0.0034,,,,,,,,,
0.09,60,0.059533387,0.5316,0.931693989,0.0682,0.127096534,0.005,,,,,,,,,
0.07,30,0.05229284,0.5264,0.920382166,0.0578,0.108769289,0.005,,,,,,,,,
0.07,80,0.084875302,0.5264,0.992537313,0.0532,0.100987092,0.0004,,,,,,,,,
0.08,70,0.060874229,0.5248,0.942857143,0.0528,0.1,0.0032,,,,,,,,,
0.07,50,0.061008313,0.5219,0.958158996,0.0458,0.087421264,0.002,,,,,,,,,
0.03,100,0.030705283,0.5112,0.687919463,0.041,0.077387693,0.0186,,,,,,,,,
0.04,60,0.028157683,0.5164,0.87962963,0.038,0.072852761,0.0052,,,,,,,,,
0.05,40,0.03030303,0.5152,0.926966292,0.033,0.06373117,0.0026,,,,,,,,,
0.09,40,0.038079914,0.5154,0.947674419,0.0326,0.063031709,0.0018,,,,,,,,,
0.07,40,0.013944757,0.5101,0.737089202,0.0314,0.06023403,0.0112,,,,,,,,,
0.01,90,0.008045052,0.5137,0.941935484,0.0292,0.056644035,0.0018,,,,,,,,,
0.1,90,0.023732904,0.5119,0.976,0.0244,0.047609756,0.0006,,,,,,,,,
0.09,80,0.003218021,0.5112,0.959016393,0.0234,0.045685279,0.001,,,,,,,,,
0.05,80,0.007776884,0.5102,0.925,0.0222,0.043359375,0.0018,,,,,,,,,
0.06,80,0.016224189,0.5061,0.835164835,0.0152,0.02985661,0.003,,,,,,,,,
0.01,100,0.004424779,0.5062,0.860465116,0.0148,0.029099489,0.0024,,,,,,,,,
0.07,100,0.000670421,0.5032,0.785714286,0.0088,0.017405063,0.0024,,,,,,,,,
0.1,30,0.000938589,0.5009,1,0.0018,0.003593532,0,,,,,,,,,
0.07,10,0.000536337,0.5003,0.636363636,0.0014,0.002793854,0.0008,,,,,,,,,
0.06,90,0.000536337,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
