radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.09,90,0,0.5231,0.682464455,0.0864,0.153381857,0.0402,,,,,,,,,
0.04,70,0,0.5387,0.953161593,0.0814,0.149990787,0.004,,,,,,,,,
0.1,100,0,0.537,0.928240741,0.0802,0.147643594,0.0062,,,,,,,,,
0.06,30,0.059701493,0.5118,0.597682119,0.0722,0.128836545,0.0486,,,,,,,,,
0.1,80,0,0.5309,0.903394256,0.0692,0.128552852,0.0074,,,,,,,,,
0.06,80,0,0.5326,0.968390805,0.0674,0.126028422,0.0022,,,,,,,,,
0.08,10,0.268656716,0.5275,0.889518414,0.0628,0.117317392,0.0078,,,,,,,,,
0.07,100,0.014925373,0.5256,0.970588235,0.0528,0.100151745,0.0016,,,,,,,,,
0.09,30,0,0.5216,0.957627119,0.0452,0.086325439,0.002,,,,,,,,,
0.1,70,0.014925373,0.5223,0.991189427,0.045,0.086091448,0.0004,,,,,,,,,
0.1,90,0,0.5199,0.96713615,0.0412,0.079033186,0.0014,,,,,,,,,
0.08,30,0,0.5195,0.962085308,0.0406,0.077912109,0.0016,,,,,,,,,
0.03,90,0.014925373,0.5112,0.687919463,0.041,0.077387693,0.0186,,,,,,,,,
0.08,70,0.268656716,0.5152,0.81147541,0.0396,0.075514874,0.0092,,,,,,,,,
0.09,20,0,0.5099,0.666666667,0.0396,0.074759298,0.0198,,,,,,,,,
0.06,60,0.134328358,0.5146,0.834862385,0.0364,0.069758528,0.0072,,,,,,,,,
0.08,80,0,0.5169,0.966850829,0.035,0.067554526,0.0012,,,,,,,,,
0.08,40,0.268656716,0.5164,0.960674157,0.0342,0.066048667,0.0014,,,,,,,,,
0.07,50,0.044776119,0.5133,0.824390244,0.0338,0.06493756,0.0072,,,,,,,,,
0.08,20,0.119402985,0.511,0.764423077,0.0318,0.061059908,0.0098,,,,,,,,,
0.07,90,0.059701493,0.5091,0.713615023,0.0304,0.058315749,0.0122,,,,,,,,,
0.01,80,0.104477612,0.5137,0.941935484,0.0292,0.056644035,0.0018,,,,,,,,,
0.04,80,0.044776119,0.5115,0.902097902,0.0258,0.050165273,0.0028,,,,,,,,,
0.04,30,0.104477612,0.5099,0.85106383,0.024,0.046683525,0.0042,,,,,,,,,
0.05,80,0,0.5102,0.925,0.0222,0.043359375,0.0018,,,,,,,,,
0.09,50,0.029850746,0.5104,0.981481481,0.0212,0.041503524,0.0004,,,,,,,,,
0.07,80,0.044776119,0.5088,0.931372549,0.019,0.037240298,0.0014,,,,,,,,,
0.01,100,0.179104478,0.5062,0.860465116,0.0148,0.029099489,0.0024,,,,,,,,,
0.07,60,0.179104478,0.5051,0.892307692,0.0116,0.02290227,0.0014,,,,,,,,,
0.05,40,0,0.5025,0.820512821,0.0064,0.012700933,0.0014,,,,,,,,,
0.05,20,0.343283582,0.5017,0.742857143,0.0052,0.010327706,0.0018,,,,,,,,,
0.1,50,0.044776119,0.5015,0.857142857,0.0036,0.007169886,0.0006,,,,,,,,,
0.05,100,0.074626866,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
