threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.21,1,0.7789,0.707422282,0.9512,0.8113964,0.3934
0.19,1,0.7784,0.70652819,0.9524,0.811243612,0.3956
0.17,1,0.7781,0.705969486,0.9532,0.811165007,0.397
0.2,1,0.7784,0.706712207,0.9518,0.811147094,0.395
0.18,1,0.7782,0.7063186,0.9524,0.811105433,0.396
0.22,1,0.7787,0.707644166,0.9498,0.811032363,0.3924
0.16,1,0.7775,0.705281846,0.9534,0.81078323,0.3984
0.15,1,0.7772,0.704847768,0.9538,0.81064083,0.3994
0.14,1,0.7768,0.704370939,0.954,0.810397554,0.4004
0.13,1,0.7758,0.70333235,0.954,0.809709727,0.4024
0.12,1,0.7752,0.702710666,0.954,0.809297591,0.4036
0.11,1,0.775,0.702444052,0.9542,0.809192673,0.4042
0.1,1,0.7746,0.701911765,0.9546,0.808983051,0.4054
0.09,1,0.7727,0.699956005,0.9546,0.807682545,0.4092
0.01,1,0.7699,0.695664782,0.9596,0.806589897,0.4198
0.02,1,0.7699,0.695778326,0.9592,0.806524847,0.4194
0,1,0.7694,0.695104287,0.9598,0.806283602,0.421
0.08,1,0.7705,0.697531766,0.9552,0.806280071,0.4142
0.07,1,0.7701,0.696722505,0.9566,0.806236831,0.4164
0.03,1,0.7695,0.695601684,0.9584,0.806123307,0.4194
0.04,1,0.7695,0.695658487,0.9582,0.806090687,0.4192
0.06,1,0.7694,0.695841814,0.9572,0.805859572,0.4184
0.05,1,0.7693,0.695626907,0.9576,0.805857107,0.419
1.1,0.54545456,0.819,0.886572952,0.7316,0.801665571,0.0936
1.11,0.47727272,0.8132,0.886475814,0.7184,0.793636765,0.092
1.12,0.4318182,0.8075,0.886403619,0.7054,0.78561087,0.0904
1.13,0.3181818,0.8009,0.885275288,0.6914,0.776417743,0.0896
1.14,0.1590909,0.7931,0.883337693,0.6754,0.765499263,0.0892
1.15,0.13636364,0.7866,0.881726159,0.662,0.756225725,0.0888
1.16,0.13636364,0.7842,0.8828125,0.6554,0.752295684,0.087
1.17,0.13636364,0.7822,0.882799783,0.6508,0.749251669,0.0864
1.18,0.13636364,0.7818,0.889226519,0.6438,0.746867749,0.0802
1.19,0.13636364,0.7817,0.890058156,0.6428,0.746487051,0.0794
1.2,0.13636364,0.7812,0.890122087,0.6416,0.745699675,0.0792
1.21,0.13636364,0.781,0.890277778,0.641,0.745348837,0.079
1.22,0.13636364,0.7808,0.890433815,0.6404,0.744997673,0.0788
1.23,0.13636364,0.7804,0.890964863,0.639,0.744234801,0.0782
1.26,0.13636364,0.7808,0.893497758,0.6376,0.744164332,0.076
1.24,0.13636364,0.7803,0.891152665,0.6386,0.744028894,0.078
1.27,0.13636364,0.7806,0.89365881,0.637,0.743811303,0.0758
1.25,0.13636364,0.7801,0.891529214,0.6378,0.743616649,0.0776
1.28,0.13636364,0.7803,0.894011808,0.636,0.743251139,0.0754
1.3,0.13636364,0.7804,0.89582157,0.6346,0.74291735,0.0738
1.29,0.13636364,0.7802,0.894870349,0.635,0.742863828,0.0746
1.32,0.13636364,0.7806,0.897675737,0.6334,0.742729831,0.0722
1.31,0.13636364,0.7803,0.896239751,0.634,0.742649643,0.0734
1.33,0.13636364,0.7803,0.897588652,0.6328,0.74228739,0.0722
1.34,0.13636364,0.7802,0.897785349,0.6324,0.742079324,0.072
1.35,0.13636364,0.7798,0.897895336,0.6314,0.7414279,0.0718
1.36,0.13636364,0.7791,0.89769165,0.63,0.740392526,0.0718
1.37,0.13636364,0.779,0.898343804,0.6292,0.740061162,0.0712
1.38,0.13636364,0.7788,0.898741419,0.6284,0.739642185,0.0708
1.39,0.13636364,0.7781,0.898766848,0.6268,0.738541298,0.0706
1.4,0.13636364,0.7778,0.898908673,0.626,0.738033483,0.0704
1.41,0.13636364,0.7776,0.898850575,0.6256,0.737735849,0.0704
1.42,0.13636364,0.7776,0.898850575,0.6256,0.737735849,0.0704
1.43,0.11363637,0.7771,0.898934639,0.6244,0.736929069,0.0702
1.44,0.11363637,0.7769,0.899106371,0.6238,0.736568662,0.07
1.45,0.11363637,0.7766,0.899480069,0.6228,0.735996218,0.0696
1.46,0.11363637,0.7761,0.899565847,0.6216,0.73518628,0.0694
1.47,0.11363637,0.776,0.89976825,0.6212,0.734973971,0.0692
1.48,0.11363637,0.7756,0.900116144,0.62,0.734249171,0.0688
1.5,0.11363637,0.7752,0.900932401,0.6184,0.733396584,0.068
1.49,0.11363637,0.775,0.900407688,0.6184,0.73322267,0.0684
1.51,0.11363637,0.7747,0.900787861,0.6174,0.732645069,0.068
1.52,0.11363637,0.7741,0.900613856,0.6162,0.731742073,0.068
1.53,0.11363637,0.7739,0.900555718,0.6158,0.731440789,0.068
1.54,0.11363637,0.7737,0.900732064,0.6152,0.73107546,0.0678
