threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.06,1,0.7433,0.6663476,0.9746,0.791521157,0.488,,,,,,,,,
0.08,1,0.7435,0.66671231,0.9738,0.791514265,0.4868,,,,,,,,,
0.07,1,0.7431,0.666256326,0.9742,0.791324831,0.488,,,,,,,,,
0.11,1,0.7436,0.667169915,0.9722,0.791307179,0.485,,,,,,,,,
0.09,1,0.7433,0.666666667,0.9732,0.791283844,0.4866,,,,,,,,,
0.53,0.9879931,0.7524,0.683911396,0.9386,0.791266228,0.4338,,,,,,,,,
0.12,1,0.7436,0.667261741,0.9718,0.791239212,0.4846,,,,,,,,,
0.05,1,0.7428,0.66589232,0.9746,0.79119987,0.489,,,,,,,,,
0.52,0.9879931,0.7518,0.683047397,0.9396,0.791042263,0.436,,,,,,,,,
0.13,1,0.7434,0.667262232,0.971,0.790974259,0.4842,,,,,,,,,
0.1,1,0.743,0.666575267,0.9724,0.790954937,0.4864,,,,,,,,,
0.04,1,0.7419,0.664939315,0.9752,0.790724074,0.4914,,,,,,,,,
0.14,1,0.743,0.667125172,0.97,0.790546047,0.484,,,,,,,,,
0.5,0.9879931,0.7505,0.68128528,0.9414,0.790494584,0.4404,,,,,,,,,
0.03,1,0.7414,0.664441417,0.9754,0.790437601,0.4926,,,,,,,,,
0.02,1,0.7413,0.664306142,0.9756,0.790407518,0.493,,,,,,,,,
0.49,0.9879931,0.7501,0.680629785,0.9424,0.790405099,0.4422,,,,,,,,,
0.48,0.9879931,0.7499,0.680277016,0.943,0.790378007,0.4432,,,,,,,,,
0.01,1,0.7411,0.664035923,0.976,0.790347397,0.4938,,,,,,,,,
0,1,0.741,0.663900979,0.9762,0.790317358,0.4942,,,,,,,,,
0.47,0.9879931,0.7496,0.679827089,0.9436,0.790284757,0.4444,,,,,,,,,
0.51,0.9879931,0.7504,0.681501885,0.9402,0.790216843,0.4394,,,,,,,,,
0.46,0.9879931,0.7493,0.67942997,0.944,0.790156525,0.4454,,,,,,,,,
0.25,1,0.7445,0.670383275,0.962,0.790143737,0.473,,,,,,,,,
0.16,1,0.7427,0.667310079,0.968,0.79001061,0.4826,,,,,,,,,
0.38,0.9897084,0.7474,0.676060347,0.95,0.789955097,0.4552,,,,,,,,,
0.4,0.9897084,0.7478,0.676848416,0.9484,0.789938364,0.4528,,,,,,,,,
0.23,1,0.744,0.669774562,0.9626,0.789922862,0.4746,,,,,,,,,
0.26,1,0.7445,0.670764073,0.9604,0.789867588,0.4714,,,,,,,,,
0.17,1,0.7426,0.667356512,0.9674,0.78984324,0.4822,,,,,,,,,
0.24,1,0.744,0.669916435,0.962,0.789819376,0.474,,,,,,,,,
0.39,0.9897084,0.7475,0.676458007,0.9488,0.789811038,0.4538,,,,,,,,,
0.15,1,0.7422,0.666758469,0.9684,0.789756973,0.484,,,,,,,,,
0.45,0.9879931,0.7484,0.678448276,0.9444,0.789632107,0.4476,,,,,,,,,
0.44,0.9897084,0.7482,0.678099885,0.945,0.789605615,0.4486,,,,,,,,,
0.27,1,0.7443,0.670910872,0.959,0.789495349,0.4704,,,,,,,,,
0.41,0.9897084,0.7475,0.676962677,0.9468,0.789460519,0.4518,,,,,,,,,
