threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.307,1,0.5731,0.540444838,0.9768,0.695875187,0.8306,,,,,,,,,
0.306,1,0.573,0.540376106,0.977,0.695868946,0.831,,,,,,,,,
0.308,1,0.5731,0.540471709,0.9762,0.695745136,0.83,,,,,,,,,
0.303,1,0.5712,0.539224328,0.9788,0.695368002,0.8364,,,,,,,,,
0.305,1,0.5715,0.539437397,0.978,0.69534305,0.835,,,,,,,,,
0.304,1,0.5711,0.539199471,0.978,0.695145355,0.8358,,,,,,,,,
0.302,1,0.5705,0.53880022,0.979,0.695065673,0.838,,,,,,,,,
0.3,1,0.5697,0.538326185,0.979,0.694671113,0.8396,,,,,,,,,
0.301,1,0.5697,0.538326185,0.979,0.694671113,0.8396,,,,,,,,,
0.297,1,0.5624,0.533883579,0.9832,0.692004505,0.8584,,,,,,,,,
0.296,1,0.5622,0.533767644,0.9832,0.691907108,0.8588,,,,,,,,,
0.299,1,0.5623,0.533847658,0.9826,0.691825671,0.858,,,,,,,,,
0.298,1,0.5621,0.533731668,0.9826,0.691728265,0.8584,,,,,,,,,
0.295,1,0.5608,0.532957502,0.9832,0.691226097,0.8616,,,,,,,,,
0.294,1,0.5606,0.53283485,0.9834,0.691172336,0.8622,,,,,,,,,
0.293,1,0.5604,0.532719393,0.9834,0.691075193,0.8626,,,,,,,,,
0.292,1,0.5599,0.532423947,0.9836,0.690875887,0.8638,,,,,,,,,
0.29,1,0.5594,0.532128949,0.9838,0.690676776,0.865,,,,,,,,,
0.291,1,0.5594,0.532128949,0.9838,0.690676776,0.865,,,,,,,,,
0.289,1,0.5434,0.52302143,0.986,0.683488146,0.8992,,,,,,,,,
0.288,1,0.5432,0.522910479,0.986,0.683393402,0.8996,,,,,,,,,
0.286,1,0.5429,0.522734499,0.9864,0.683339106,0.9006,,,,,,,,,
0.287,1,0.5429,0.522739319,0.9862,0.683295226,0.9004,,,,,,,,,
0.284,1,0.5427,0.522618921,0.9866,0.683288316,0.9012,,,,,,,,,
0.285,1,0.5427,0.522623715,0.9864,0.683244441,0.901,,,,,,,,,
0.282,1,0.5422,0.522332769,0.987,0.683139535,0.9026,,,,,,,,,
0.283,1,0.5422,0.522342228,0.9866,0.683051786,0.9022,,,,,,,,,
0.28,1,0.5415,0.52194606,0.987,0.682808717,0.904,,,,,,,,,
0.281,1,0.5415,0.52194606,0.987,0.682808717,0.904,,,,,,,,,
0.278,1,0.5251,0.512987685,0.9914,0.676123576,0.9412,,,,,,,,,
