self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.29,101,0.5857,0.548238208,0.974,0.701577469,0.8026,0.907,,0.47,36,0.5762,0.565712315,0.656,0.607519911,0.5036,0.4158
0.29,111,0.5857,0.548238208,0.974,0.701577469,0.8026,0.907,,,,,,,,,
0.29,91,0.5851,0.547868152,0.974,0.70127439,0.8038,0.9077,,,,,,,,,
0.29,71,0.5849,0.547744911,0.974,0.701173422,0.8042,0.9077,,,,,,,,,
0.29,81,0.5849,0.547744911,0.974,0.701173422,0.8042,0.9077,,,,,,,,,
0.29,51,0.5848,0.547683311,0.974,0.701122948,0.8044,0.9078,,,,,,,,,
0.29,61,0.5848,0.547683311,0.974,0.701122948,0.8044,0.9077,,,,,,,,,
0.29,41,0.5473,0.524907846,0.9968,0.687685409,0.9022,0.9882,,,,,,,,,
0.28,161,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.28,171,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.28,181,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.1,1,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,11,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,21,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,31,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,41,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,51,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,61,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,71,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,81,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,91,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,101,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,111,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,121,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,131,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,141,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,151,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,161,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,171,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,181,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,191,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,201,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,211,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,221,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,231,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,241,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,251,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,261,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,271,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,281,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,291,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,301,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,311,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,321,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,331,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,341,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,351,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,361,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,371,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,381,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,391,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,401,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,411,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,421,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,431,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,441,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,451,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,461,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,471,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,481,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,491,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,501,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,511,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,521,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,531,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,541,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,551,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,561,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,571,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,581,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,591,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,601,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,611,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,621,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,631,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,641,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
0.1,651,0.5,0.5,1,0.666666667,1,1,,,,,,,,,
