self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.32,82,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,83,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,84,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,85,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,86,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,87,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,88,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,89,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,90,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,91,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,92,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,93,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,94,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,95,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,96,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,97,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,98,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,99,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,100,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.27,491,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,501,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,511,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,521,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,531,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,541,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,551,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,561,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,571,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,581,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,591,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,601,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,611,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,621,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,631,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,641,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,651,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,661,0.568,0.537694013,0.97,0.691868759,0.834,1,,,,,,,,,
0.27,431,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,441,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,451,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,461,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,471,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,481,0.5679,0.537634409,0.97,0.691819414,0.8342,1,,,,,,,,,
0.27,271,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,281,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,291,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,301,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,311,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,321,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,331,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,341,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,351,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,361,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,371,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,381,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,391,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,401,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,411,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,421,0.5678,0.537574817,0.97,0.691770076,0.8344,1,,,,,,,,,
0.27,251,0.5669,0.537030887,0.9702,0.691370341,0.8364,1,,,,,,,,,
0.27,261,0.5669,0.537030887,0.9702,0.691370341,0.8364,1,,,,,,,,,
0.27,211,0.5665,0.536776905,0.9706,0.691261306,0.8376,1,,,,,,,,,
0.27,221,0.5665,0.536776905,0.9706,0.691261306,0.8376,1,,,,,,,,,
0.27,231,0.5665,0.536776905,0.9706,0.691261306,0.8376,1,,,,,,,,,
0.27,241,0.5665,0.536776905,0.9706,0.691261306,0.8376,1,,,,,,,,,
