self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.29,1771,0.5963,0.555851989,0.9584,0.703619411,0.7658,0.925373134,,,,,,,,,
0.29,1781,0.5963,0.555851989,0.9584,0.703619411,0.7658,0.925373134,,,,,,,,,
0.29,1791,0.5963,0.555851989,0.9584,0.703619411,0.7658,0.925373134,,,,,,,,,
0.29,1801,0.5963,0.555851989,0.9584,0.703619411,0.7658,0.925373134,,,,,,,,,
0.27,1931,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1941,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1951,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1961,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1971,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1981,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,1991,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.27,2001,0.5902,0.551448779,0.9668,0.702310039,0.7864,0.925373134,,,,,,,,,
0.28,1461,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1471,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1481,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1491,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1501,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1511,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1521,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1531,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1541,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1551,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
0.28,1561,0.5889,0.55049415,0.9692,0.702166196,0.7914,0.925373134,,,,,,,,,
