radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.07,50,0.119601505,0.5251,0.949820789,0.053,0.100397803,0.0028,,,,,,,,,
0.05,70,0.090774204,0.5234,0.911971831,0.0518,0.098031794,0.005,,,,,,,,,
0.02,90,0.006517938,0.4884,0.402684564,0.048,0.085775554,0.0712,,,,,,,,,
0.02,30,0.003709395,0.5083,0.620991254,0.0426,0.079730488,0.026,,,,,,,,,
0.06,40,0.00699486,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,40,0.078639182,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.03,100,0.005511102,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.1,20,0.07312808,0.5106,0.770408163,0.0302,0.058121632,0.009,,,,,,,,,
0.04,50,0.046897356,0.502,0.537593985,0.0286,0.054310672,0.0246,,,,,,,,,
0.06,10,0.021991415,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0.059403317,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.04,80,0.00037094,0.5019,0.550802139,0.0206,0.039714671,0.0168,,,,,,,,,
0.02,20,0.000847862,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.06,90,0.018917916,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.08,90,0.024429018,0.5038,0.763888889,0.011,0.021687697,0.0034,,,,,,,,,
0.03,90,0.000529914,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.09,100,0.000105983,0.5018,0.695652174,0.0064,0.012683314,0.0028,,,,,,,,,
0.06,80,0.000423931,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,100,0.000317948,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.09,80,0.000211965,0.5025,1,0.005,0.009950249,0,,,,,,,,,
0.1,10,0.000529914,0.4998,0.476190476,0.004,0.00793336,0.0044,,,,,,,,,
0.1,40,0.005882041,0.5001,0.514285714,0.0036,0.00714995,0.0034,,,,,,,,,
0.1,100,5.30E-05,0.501,0.708333333,0.0034,0.006767516,0.0014,,,,,,,,,
0.07,30,0.000158974,0.4981,0.29787234,0.0028,0.00554785,0.0066,,,,,,,,,
0.07,80,5.30E-05,0.4971,0.245614035,0.0028,0.00553688,0.0086,,,,,,,,,
0.08,40,0.000264957,0.4974,0.24,0.0024,0.004752475,0.0076,,,,,,,,,
0.09,70,0.000688888,0.4978,0.25,0.0022,0.004361618,0.0066,,,,,,,,,
0.1,70,0.00079487,0.4957,0.158730159,0.002,0.003950227,0.0106,,,,,,,,,
0.07,90,0,0.5003,0.666666667,0.0012,0.002395688,0.0006,,,,,,,,,
0.06,70,0.000105983,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.09,50,5.30E-05,0.4993,0.181818182,0.0004,0.000798244,0.0018,,,,,,,,,
0.1,30,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.09,90,0,0.4997,0.2,0.0002,0.0003996,0.0008,,,,,,,,,
0.09,60,0,0.4987,0.066666667,0.0002,0.000398804,0.0028,,,,,,,,,
0.03,70,0,0.4993,0,0,0,0.0014,,,,,,,,,
