radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.05,70,0.020785219,0.5234,0.911971831,0.0518,0.098031794,0.005,,,,,,,,,
0.02,100,0.022599802,0.4884,0.402684564,0.048,0.085775554,0.0712,,,,,,,,,
0.02,30,0.002474431,0.5083,0.620991254,0.0426,0.079730488,0.026,,,,,,,,,
0.06,40,0.027383702,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,50,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.03,80,0.001979545,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.08,90,0.026558891,0.5056,0.623893805,0.0282,0.053960964,0.017,,,,,,,,,
0.09,80,0.008413065,0.5093,0.751351351,0.0278,0.053616201,0.0092,,,,,,,,,
0.03,100,0.045529528,0.5053,0.621004566,0.0272,0.052117264,0.0166,,,,,,,,,
0.06,10,0.043385021,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.07,60,0.034147146,0.5064,0.672043011,0.025,0.04820671,0.0122,,,,,,,,,
0.06,50,0.030023095,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.02,20,0.051633124,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.04,20,0.035961729,0.4968,0.408045977,0.0142,0.027444917,0.0206,,,,,,,,,
0.1,90,0.000164962,0.506,0.905405405,0.0134,0.026409145,0.0014,,,,,,,,,
0.06,90,0.014021775,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.1,40,0.006103596,0.5014,0.64,0.0064,0.012673267,0.0036,,,,,,,,,
0.06,80,0,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,70,0.007093369,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.03,90,0.017815902,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.02,10,0.000164962,0.4376,0.02293578,0.003,0.005305978,0.1278,,,,,,,,,
0.1,70,0,0.5005,0.647058824,0.0022,0.004385091,0.0012,,,,,,,,,
0.09,50,0.016331244,0.4978,0.238095238,0.002,0.00396668,0.0064,,,,,,,,,
0.07,100,0.001319696,0.4967,0.188679245,0.002,0.003958045,0.0086,,,,,,,,,
0.09,100,0.001154734,0.5006,0.8,0.0016,0.003193613,0.0004,,,,,,,,,
0.08,60,0.008248103,0.4989,0.28,0.0014,0.00278607,0.0036,,,,,,,,,
0.06,70,0.003794127,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.09,90,0.001979545,0.5003,0.8,0.0008,0.001598402,0.0002,,,,,,,,,
0.1,60,0,0.499,0.1875,0.0006,0.001196172,0.0026,,,,,,,,,
0.1,30,0,0.4979,0.111111111,0.0006,0.001193555,0.0048,,,,,,,,,
0.1,50,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.1,100,0.000164962,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,60,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.07,70,0.002144507,0.4991,0,0,0,0.0018,,,,,,,,,
0.07,90,0,0.4998,0,0,0,0.0004,,,,,,,,,
