radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.05,90,0.00323392,0.5281,0.973063973,0.0578,0.109118369,0.0016,,,,,,,,,
0.09,60,0.001886453,0.5194,0.763586957,0.0562,0.104694486,0.0174,,,,,,,,,
0.02,10,0.000898311,0.526,0.967625899,0.0538,0.10193255,0.0018,,,,,,,,,
0.05,70,0.027667984,0.5234,0.911971831,0.0518,0.098031794,0.005,,,,,,,,,
0.02,100,0.171487603,0.4884,0.402684564,0.048,0.085775554,0.0712,,,,,,,,,
0.1,50,0.018235717,0.5166,0.794326241,0.0448,0.084816357,0.0116,,,,,,,,,
0.06,40,0.129536471,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,80,0.000179662,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.1,70,0.002874596,0.5148,0.956790123,0.031,0.060054243,0.0014,,,,,,,,,
0.03,60,0.1189364,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.08,90,0.007815307,0.5056,0.623893805,0.0282,0.053960964,0.017,,,,,,,,,
0.06,10,0.042759612,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0.001347467,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.1,90,8.98E-05,0.5111,1,0.0222,0.043435727,0,,,,,,,,,
0.01,100,0.062432627,0.5038,0.626666667,0.0188,0.036504854,0.0112,,,,,,,,,
0.04,50,0.034045994,0.4943,0.373333333,0.0168,0.03215311,0.0282,,,,,,,,,
0.02,40,0.035303629,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.07,100,0.011139059,0.505,0.828947368,0.0126,0.024822695,0.0026,,,,,,,,,
0.06,90,0.004940711,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.07,80,0.010689903,0.5028,0.670731707,0.011,0.021645022,0.0054,,,,,,,,,
0.03,100,0.020301833,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.09,70,0.001077973,0.5039,0.867924528,0.0092,0.018207006,0.0014,,,,,,,,,
0.07,60,0.015091628,0.5,0.5,0.0072,0.014195584,0.0072,,,,,,,,,
0.04,90,0.007905138,0.4956,0.296296296,0.0064,0.012529366,0.0152,,,,,,,,,
0.02,20,0.020661157,0.4925,0.226277372,0.0062,0.012069301,0.0212,,,,,,,,,
0.06,80,0.010061085,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.08,30,0.006108516,0.4932,0.166666667,0.0034,0.006664053,0.017,,,,,,,,,
0.09,50,0.000449156,0.4978,0.238095238,0.002,0.00396668,0.0064,,,,,,,,,
0.04,40,0.003593245,0.4966,0.185185185,0.002,0.003957262,0.0088,,,,,,,,,
0.08,60,0.001257636,0.4989,0.28,0.0014,0.00278607,0.0036,,,,,,,,,
0.06,70,0.001886453,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.03,70,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,80,8.98E-05,0.4997,0,0,0,0.0006,,,,,,,,,
0.09,100,8.98E-05,0.4999,0,0,0,0.0002,,,,,,,,,
