radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.09,60,0,0.5194,0.763586957,0.0562,0.104694486,0.0174,,,,,,,,,
0.1,50,0,0.5166,0.794326241,0.0448,0.084816357,0.0116,,,,,,,,,
0.06,40,0.001716247,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.1,60,0,0.5125,0.78280543,0.0346,0.066270829,0.0096,,,,,,,,,
0.03,40,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.05,60,0.001144165,0.5055,0.602996255,0.0322,0.061135371,0.0212,,,,,,,,,
0.03,70,0.001716247,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.06,10,0.041762014,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.01,100,0.000572082,0.5038,0.626666667,0.0188,0.036504854,0.0112,,,,,,,,,
0.02,30,0.000858124,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.07,70,0,0.5062,0.984375,0.0126,0.024881517,0.0002,,,,,,,,,
0.06,90,0,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.07,60,0,0.5028,0.670731707,0.011,0.021645022,0.0054,,,,,,,,,
0.05,30,0,0.5012,0.563829787,0.0106,0.020808795,0.0082,,,,,,,,,
0.05,80,0,0.4939,0.317365269,0.0106,0.020514805,0.0228,,,,,,,,,
0.08,100,0.001144165,0.5026,0.675675676,0.01,0.019708317,0.0048,,,,,,,,,
0.09,90,0,0.5035,0.777777778,0.0098,0.019356113,0.0028,,,,,,,,,
0.03,100,0,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.1,40,0.000286041,0.5014,0.64,0.0064,0.012673267,0.0036,,,,,,,,,
0.04,90,0.001144165,0.4956,0.296296296,0.0064,0.012529366,0.0152,,,,,,,,,
0.06,80,0.001144165,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,90,0,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.03,60,0,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.1,80,0.000572082,0.4988,0.369565217,0.0034,0.00673801,0.0058,,,,,,,,,
0.02,20,0,0.4376,0.02293578,0.003,0.005305978,0.1278,,,,,,,,,
0.09,50,0,0.4978,0.238095238,0.002,0.00396668,0.0064,,,,,,,,,
0.1,100,0,0.5006,0.8,0.0016,0.003193613,0.0004,,,,,,,,,
0.06,70,0,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.1,30,0,0.4979,0.111111111,0.0006,0.001193555,0.0048,,,,,,,,,
0.08,90,0,0.4982,0.05,0.0002,0.000398406,0.0038,,,,,,,,,
0.03,90,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,80,0,0.4997,0,0,0,0.0006,,,,,,,,,
