radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.06,40,0.159090909,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,40,0,0.5145,0.843601896,0.0356,0.068317022,0.0066,,,,,,,,,
0.03,60,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.05,60,0.113636364,0.5055,0.602996255,0.0322,0.061135371,0.0212,,,,,,,,,
0.06,10,0.113636364,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.08,50,0,0.5094,0.912280702,0.0208,0.040672663,0.002,,,,,,,,,
0.01,90,0,0.5038,0.626666667,0.0188,0.036504854,0.0112,,,,,,,,,
0.07,90,0,0.5041,0.647482014,0.018,0.03502627,0.0098,,,,,,,,,
0.08,40,0.045454545,0.4961,0.410138249,0.0178,0.034119226,0.0256,,,,,,,,,
0.02,40,0,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.01,10,0,0.4845,0.247557003,0.0152,0.028641417,0.0462,,,,,,,,,
0.06,90,0,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.05,30,0,0.5012,0.563829787,0.0106,0.020808795,0.0082,,,,,,,,,
0.05,80,0,0.4939,0.317365269,0.0106,0.020514805,0.0228,,,,,,,,,
0.03,90,0,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.04,90,0,0.4956,0.296296296,0.0064,0.012529366,0.0152,,,,,,,,,
0.06,80,0,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.07,60,0.136363636,0.4942,0.226415094,0.0048,0.009400705,0.0164,,,,,,,,,
0.1,50,0,0.5015,0.894736842,0.0034,0.006774258,0.0004,,,,,,,,,
0.08,30,0,0.4932,0.166666667,0.0034,0.006664053,0.017,,,,,,,,,
0.1,30,0,0.4998,0.4375,0.0014,0.002791069,0.0018,,,,,,,,,
0.07,70,0,0.4997,0.411764706,0.0014,0.002790512,0.002,,,,,,,,,
0.06,70,0,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.08,80,0,0.4986,0.181818182,0.0008,0.001592991,0.0036,,,,,,,,,
0.1,70,0,0.5002,0.75,0.0006,0.001199041,0.0002,,,,,,,,,
0.1,80,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,80,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,70,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.09,80,0,0.4997,0,0,0,0.0006,,,,,,,,,
0.09,100,0,0.4999,0,0,0,0.0002,,,,,,,,,
