radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.02,30,0.001715266,0.5083,0.620991254,0.0426,0.079730488,0.026,,,,,,,,,
0.06,40,0.003430532,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,70,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.04,30,0.003430532,0.4871,0.361290323,0.0336,0.061482159,0.0594,,,,,,,,,
0.03,50,0,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.09,80,0,0.5093,0.751351351,0.0278,0.053616201,0.0092,,,,,,,,,
0.06,10,0.003430532,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.09,90,0.003430532,0.503,0.577319588,0.0224,0.043126685,0.0164,,,,,,,,,
0.07,80,0.003430532,0.5065,0.744360902,0.0198,0.038573933,0.0068,,,,,,,,,
0.1,100,0,0.5063,0.805825243,0.0166,0.032529884,0.004,,,,,,,,,
0.02,20,0,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.06,90,0,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.05,30,0,0.5012,0.563829787,0.0106,0.020808795,0.0082,,,,,,,,,
0.08,100,0,0.5026,0.675675676,0.01,0.019708317,0.0048,,,,,,,,,
0.03,80,0,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.08,30,0,0.5011,0.593220339,0.007,0.013836727,0.0048,,,,,,,,,
0.06,80,0,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,100,0,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.03,100,0,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.07,100,0,0.5003,0.548387097,0.0034,0.0067581,0.0028,,,,,,,,,
0.1,30,0,0.5011,0.823529412,0.0028,0.005581025,0.0006,,,,,,,,,
0.02,10,0,0.4376,0.02293578,0.003,0.005305978,0.1278,,,,,,,,,
0.04,60,0,0.4966,0.185185185,0.002,0.003957262,0.0088,,,,,,,,,
0.1,60,0,0.5,0.5,0.0014,0.002792182,0.0014,,,,,,,,,
0.08,20,0,0.4985,0.24137931,0.0014,0.002783854,0.0044,,,,,,,,,
0.06,70,0,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.1,90,0,0.5003,0.714285714,0.001,0.001997204,0.0004,,,,,,,,,
0.09,50,0,0.4993,0.181818182,0.0004,0.000798244,0.0018,,,,,,,,,
0.1,70,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.08,90,0,0.4982,0.05,0.0002,0.000398406,0.0038,,,,,,,,,
0.03,60,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,100,0,0.4999,0,0,0,0.0002,,,,,,,,,
