radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.07,90,0.037906579,0.5288,0.790322581,0.0784,0.142649199,0.0208,,,,,,,,,
0.09,30,0.140621179,0.5129,0.6,0.0774,0.137112489,0.0516,,,,,,,,,
0.06,20,0.014673514,0.5256,0.784444444,0.0706,0.129541284,0.0194,,,,,,,,,
0.05,90,0.003179261,0.5281,0.973063973,0.0578,0.109118369,0.0016,,,,,,,,,
0.05,70,0.063829787,0.5234,0.911971831,0.0518,0.098031794,0.005,,,,,,,,,
0.02,70,0.035460993,0.4884,0.402684564,0.048,0.085775554,0.0712,,,,,,,,,
0.04,50,0.026901443,0.5075,0.610619469,0.0414,0.077542611,0.0264,,,,,,,,,
0.06,40,0.024211299,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,50,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.03,90,0.020298361,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.03,100,0.030569821,0.5053,0.621004566,0.0272,0.052117264,0.0166,,,,,,,,,
0.06,10,0.027146001,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.1,10,0.017852776,0.4902,0.347826087,0.0224,0.04208944,0.042,,,,,,,,,
0.01,90,0.013450721,0.5038,0.626666667,0.0188,0.036504854,0.0112,,,,,,,,,
0.04,20,0.01198337,0.4968,0.408045977,0.0142,0.027444917,0.0206,,,,,,,,,
0.06,90,0.003912937,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.08,90,0.000489117,0.5038,0.763888889,0.011,0.021687697,0.0034,,,,,,,,,
0.09,70,0.002690144,0.5039,0.867924528,0.0092,0.018207006,0.0014,,,,,,,,,
0.08,50,0.001956469,0.5012,0.581081081,0.0086,0.016949153,0.0062,,,,,,,,,
0.04,90,0.004157496,0.4956,0.296296296,0.0064,0.012529366,0.0152,,,,,,,,,
0.06,80,0.004646613,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.03,80,0.002934703,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.01,100,0.003179261,0.5005,0.647058824,0.0022,0.004385091,0.0012,,,,,,,,,
0.09,50,0.001467351,0.4978,0.238095238,0.002,0.00396668,0.0064,,,,,,,,,
0.1,90,0,0.4957,0.158730159,0.002,0.003950227,0.0106,,,,,,,,,
0.1,80,0.001467351,0.5004,0.666666667,0.0016,0.003192338,0.0008,,,,,,,,,
0.04,70,0.001222793,0.5003,0.615384615,0.0016,0.003191702,0.001,,,,,,,,,
0.08,60,0.000244559,0.4989,0.28,0.0014,0.00278607,0.0036,,,,,,,,,
0.06,70,0.001467351,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.1,70,0.000733676,0.5001,0.555555556,0.001,0.001996406,0.0008,,,,,,,,,
0.1,100,0.000244559,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,70,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,80,0,0.4997,0,0,0,0.0006,,,,,,,,,
