threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.65,0.12804626,0.7291,0.909838998,0.5086,0.652469532,0.0504,,,,,,,,,,
0.66,0.12763321,0.729,0.909806729,0.5084,0.652296638,0.0504,,,,,,,,,,
0.7,0.12680711,0.7293,0.911669659,0.5078,0.652280026,0.0492,,,,,,,,,,
0.71,0.12680711,0.7293,0.911669659,0.5078,0.652280026,0.0492,,,,,,,,,,
0.67,0.12722015,0.7289,0.909774436,0.5082,0.652123701,0.0504,,,,,,,,,,
0.72,0.12639405,0.7292,0.911637931,0.5076,0.652106886,0.0492,,,,,,,,,,
0.73,0.12639405,0.7292,0.911637931,0.5076,0.652106886,0.0492,,,,,,,,,,
0.74,0.125981,0.7292,0.911933861,0.5074,0.652017476,0.049,,,,,,,,,,
0.75,0.125981,0.7291,0.911902193,0.5072,0.651844236,0.049,,,,,,,,,,
0.76,0.12556794,0.729,0.911870504,0.507,0.651670951,0.049,,,,,,,,,,
0.77,0.12391574,0.7287,0.911775297,0.5064,0.651150829,0.049,,,,,,,,,,
0.78,0.12391574,0.7287,0.911775297,0.5064,0.651150829,0.049,,,,,,,,,,
0.79,0.12350269,0.7286,0.911743516,0.5062,0.650977366,0.049,,,,,,,,,,
0.8,0.123089634,0.7286,0.911743516,0.5062,0.650977366,0.049,,,,,,,,,,
0.81,0.12267658,0.7286,0.912040375,0.506,0.650887574,0.0488,,,,,,,,,,
0.82,0.12226353,0.7286,0.912337662,0.5058,0.650797735,0.0486,,,,,,,,,,
0.83,0.121850476,0.7285,0.912306027,0.5056,0.650624115,0.0486,,,,,,,,,,
0.84,0.121850476,0.7285,0.912306027,0.5056,0.650624115,0.0486,,,,,,,,,,
0.85,0.12143742,0.7285,0.912306027,0.5056,0.650624115,0.0486,,,,,,,,,,
0.86,0.12143742,0.7284,0.912274368,0.5054,0.65045045,0.0486,,,,,,,,,,
0.87,0.12143742,0.7282,0.912210983,0.505,0.650102987,0.0486,,,,,,,,,,
0.88,0.12143742,0.7282,0.912210983,0.505,0.650102987,0.0486,,,,,,,,,,
0.89,0.12061132,0.728,0.912147505,0.5046,0.649755344,0.0486,,,,,,,,,,
0.9,0.11978521,0.7278,0.912083936,0.5042,0.649407522,0.0486,,,,,,,,,,
0.91,0.11978521,0.7278,0.912382332,0.504,0.649317186,0.0484,,,,,,,,,,
0.92,0.11937216,0.7276,0.912318841,0.5036,0.648969072,0.0484,,,,,,,,,,
0.93,0.11895911,0.7274,0.912554427,0.503,0.64853017,0.0482,,,,,,,,,,
0.94,0.11895911,0.7274,0.912554427,0.503,0.64853017,0.0482,,,,,,,,,,
0.95,0.11895911,0.7272,0.912490922,0.5026,0.648181584,0.0482,,,,,,,,,,
0.96,0.11895911,0.7269,0.912395493,0.502,0.647658367,0.0482,,,,,,,,,,
0.97,0.118546054,0.7265,0.912267929,0.5012,0.646960114,0.0482,,,,,,,,,,
0.98,0.118546054,0.7262,0.912172012,0.5006,0.64643595,0.0482,,,,,,,,,,
0.99,0.118133,0.7261,0.912440715,0.5002,0.646169746,0.048,,,,,,,,,,
1,0.11771995,0.7262,0.913075237,0.5,0.646161799,0.0476,,,,,,,,,,
