threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,
0.11,1,0.5,0.5,1,0.666666667,1,,,
0.12,1,0.5,0.5,1,0.666666667,1,,,
0.14,1,0.5,0.5,0.9998,0.666622216,0.9998,,,
0.15,1,0.5,0.5,0.9998,0.666622216,0.9998,,,
0.16,1,0.5,0.5,0.9998,0.666622216,0.9998,,,
0.93,0.090909091,0.7271,0.907719928,0.5056,0.649454078,0.0514,,,
0.94,0.090909091,0.7094,0.904559505,0.4682,0.617026885,0.0494,,,
0.95,0.045454545,0.6913,0.900041824,0.4304,0.582329861,0.0478,,,
0.96,0.045454545,0.6632,0.893063584,0.3708,0.524024873,0.0444,,,
0.97,0.022727273,0.5991,0.872276484,0.2322,0.366766704,0.034,,,
0.98,0,0.5235,0.995780591,0.0472,0.090127936,0.0002,,,
0.99,0,0.5,0,0,0,0,,,
1,0,0.5,0,0,0,0,,,
