threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.72,0.915951973,0.7192,0.871273713,0.5144,0.646881288,0.076,,,,,,,,,
0.73,0.909090909,0.7134,0.880799429,0.4936,0.632658293,0.0668,,,,,,,,,
0.74,0.905660377,0.7068,0.887846962,0.4734,0.617531959,0.0598,,,,,,,,,
0.75,0.898799314,0.7015,0.891870867,0.4586,0.6057324,0.0556,,,,,,,,,
0.76,0.890222985,0.6967,0.892301556,0.4474,0.595977088,0.054,,,,,,,,,
0.77,0.876500858,0.6914,0.893179951,0.4348,0.58488028,0.052,,,,,,,,,
0.78,0.845626072,0.6876,0.895113732,0.425,0.576349336,0.0498,,,,,,,,,
0.79,0.802744425,0.6844,0.895029991,0.4178,0.569675484,0.049,,,,,,,,,
0.8,0.759862779,0.6795,0.893123084,0.4078,0.559934093,0.0488,,,,,,,,,
0.81,0.723842196,0.6755,0.891566265,0.3996,0.551857478,0.0486,,,,,,,,,
0.82,0.670668954,0.6704,0.889041096,0.3894,0.541585535,0.0486,,,,,,,,,
0.83,0.590051458,0.6643,0.888049126,0.376,0.528312491,0.0474,,,,,,,,,
0.84,0.454545455,0.65,0.882653061,0.346,0.497126437,0.046,,,,,,,,,
0.85,0.346483705,0.6366,0.879023307,0.3168,0.465745369,0.0436,,,,,,,,,
0.86,0.22813036,0.6178,0.870440252,0.2768,0.420030349,0.0412,,,,,,,,,
0.87,0.173241852,0.602,0.862731152,0.2426,0.378707462,0.0386,,,,,,,,,
0.88,0.113207547,0.5846,0.864655172,0.2006,0.325649351,0.0314,,,,,,,,,
0.89,0.080617496,0.5661,0.871766029,0.155,0.263202581,0.0228,,,,,,,,,
0.9,0.056603774,0.5476,0.891447368,0.1084,0.193295292,0.0132,,,,,,,,,
0.91,0.025728988,0.5267,0.958762887,0.0558,0.105462105,0.0024,,,,,,,,,
0.92,0.001715266,0.5087,0.988764045,0.0176,0.034584398,0.0002,,,,,,,,,
0.93,0,0.5017,1,0.0034,0.006776958,0,,,,,,,,,
0.94,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
0.95,0,0.5,0,0,0,0,,,,,,,,,
0.96,0,0.5,0,0,0,0,,,,,,,,,
0.97,0,0.5,0,0,0,0,,,,,,,,,
0.98,0,0.5,0,0,0,0,,,,,,,,,
0.99,0,0.5,0,0,0,0,,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,,
