threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.61,0.52645504,0.8244,0.836654213,0.8062,0.821144836,0.1574
1.55,0.54232806,0.8238,0.833952145,0.8086,0.821080422,0.161
1.63,0.52380955,0.8244,0.836933943,0.8058,0.821071938,0.157
1.65,0.52380955,0.8245,0.837528604,0.8052,0.821046191,0.1562
1.64,0.52380955,0.8244,0.837073982,0.8056,0.821035467,0.1568
1.57,0.5343915,0.8239,0.834676586,0.8078,0.821018396,0.16
0.72,0.95767194,0.7999,0.742676809,0.9178,0.821003668,0.318
1.59,0.52910054,0.8241,0.835715765,0.8068,0.821003358,0.1586
1.58,0.52910054,0.824,0.835403727,0.807,0.820956256,0.159
0.71,0.95767194,0.7996,0.742003231,0.9186,0.820911528,0.3194
1.56,0.537037,0.8236,0.833883615,0.8082,0.820840951,0.161
1.6,0.52910054,0.824,0.835960182,0.8062,0.820810426,0.1582
1.66,0.521164,0.8241,0.837533847,0.8042,0.820528517,0.156
0.7,0.962963,0.7987,0.740537929,0.9196,0.820412169,0.3222
0.69,0.962963,0.7981,0.739437751,0.9206,0.82013363,0.3244
0.68,0.962963,0.7977,0.738427038,0.922,0.820065819,0.3266
1.67,0.5132275,0.8237,0.837539103,0.8032,0.820010209,0.1558
1.71,0.5,0.824,0.839053997,0.8018,0.820004091,0.1538
0.63,0.97619045,0.7962,0.734335443,0.9282,0.819964664,0.3358
1.76,0.4920635,0.8243,0.840722841,0.8002,0.819961062,0.1516
2.14,0.489418,0.8263,0.85123789,0.7908,0.819906687,0.1382
1.75,0.49470899,0.8242,0.840546218,0.8002,0.819877049,0.1518
2.13,0.489418,0.8262,0.850903614,0.791,0.819859038,0.1386
1.72,0.4973545,0.824,0.839622642,0.801,0.819856704,0.153
1.68,0.50793654,0.8236,0.837646077,0.8028,0.819852941,0.1556
1.69,0.5026455,0.8237,0.838244514,0.8022,0.819826265,0.1548
2.11,0.489418,0.826,0.850085911,0.7916,0.81980116,0.1396
2.15,0.489418,0.8262,0.851205857,0.7906,0.819784322,0.1382
2.08,0.489418,0.8258,0.849121303,0.7924,0.819780675,0.1408
1.73,0.4973545,0.8239,0.839589012,0.8008,0.819735899,0.153
2.12,0.489418,0.826,0.850537634,0.791,0.819689119,0.139
1.7,0.5,0.8236,0.838352154,0.8018,0.819668779,0.1546
2.07,0.489418,0.8256,0.848608137,0.7926,0.819648397,0.1414
1.74,0.49470899,0.8239,0.840016796,0.8002,0.819625115,0.1524
2.06,0.489418,0.8254,0.847946963,0.793,0.819553535,0.1422
2.1,0.489418,0.8257,0.849538528,0.7916,0.819546537,0.1402
1.77,0.4920635,0.8239,0.840588854,0.7994,0.819477191,0.1516
0.67,0.962963,0.7966,0.736749681,0.923,0.819424716,0.3298
0.65,0.96825397,0.7962,0.735602927,0.9248,0.819422293,0.3324
0.62,0.978836,0.7954,0.733333333,0.9284,0.819417476,0.3376
2.09,0.489418,0.8255,0.849024233,0.7918,0.819414261,0.1408
1.78,0.4920635,0.8239,0.840875605,0.799,0.819403138,0.1512
0.64,0.97089946,0.7958,0.734538535,0.9264,0.819387936,0.3348
2.05,0.489418,0.8252,0.847584438,0.793,0.81938417,0.1426
0.66,0.962963,0.7962,0.736053554,0.9236,0.819230087,0.3312
2.16,0.489418,0.8258,0.8513805,0.7894,0.819219593,0.1378
1.79,0.4920635,0.8238,0.841129372,0.7984,0.81920788,0.1508
0.61,0.978836,0.7948,0.732125984,0.9298,0.819207048,0.3402
2,0.489418,0.8247,0.845940763,0.794,0.819147839,0.1446
2,0.489418,0.8247,0.845940763,0.794,0.819147839,0.1446
2.01,0.489418,0.8247,0.846088254,0.7938,0.819110515,0.1444
2.18,0.489418,0.8258,0.851835853,0.7888,0.819106957,0.1372
2.04,0.489418,0.8248,0.846712212,0.7932,0.819083024,0.1436
2.17,0.489418,0.8257,0.851500108,0.789,0.819059483,0.1376
1.96,0.489418,0.8244,0.844959592,0.7946,0.81900639,0.1458
1.8,0.489418,0.8237,0.841527748,0.7976,0.818975254,0.1502
2.2,0.489418,0.8259,0.852934806,0.7876,0.818966414,0.1358
1.81,0.489418,0.8237,0.841671944,0.7974,0.818938071,0.15
1.97,0.489418,0.8244,0.845253299,0.7942,0.818931739,0.1454
2.21,0.489418,0.8259,0.853087757,0.7874,0.818928757,0.1356
2.19,0.489418,0.8258,0.852597403,0.7878,0.818918919,0.1362
1.98,0.489418,0.8244,0.845400341,0.794,0.818894389,0.1452
1.99,0.489418,0.8244,0.845400341,0.794,0.818894389,0.1452
1.95,0.489418,0.8242,0.844453889,0.7948,0.818874923,0.1464
2.02,0.489418,0.8245,0.846022606,0.7934,0.818866756,0.1444
2.03,0.489418,0.8245,0.846170258,0.7932,0.818829359,0.1442
1.94,0.489418,0.8241,0.844274485,0.7948,0.818790564,0.1466
1.82,0.489418,0.8236,0.841927303,0.7968,0.818742293,0.1496
2.28,0.489418,0.8264,0.856643357,0.784,0.81871345,0.1312
1.93,0.489418,0.824,0.844095157,0.7948,0.818706222,0.1468
0.6,0.9814815,0.7939,0.730871956,0.9304,0.818653762,0.3426
1.83,0.489418,0.8235,0.841893891,0.7966,0.818620902,0.1496
2.23,0.489418,0.8257,0.853483829,0.7864,0.818569793,0.135
2.22,0.489418,0.8256,0.852992194,0.7868,0.818560133,0.1356
1.92,0.489418,0.8238,0.84373673,0.7948,0.81853759,0.1472
1.87,0.489418,0.8236,0.84279661,0.7956,0.818518519,0.1484
1.84,0.489418,0.8234,0.841860465,0.7964,0.818499486,0.1496
1.88,0.489418,0.8236,0.842941925,0.7954,0.818481169,0.1482
2.29,0.489418,0.8262,0.856580673,0.7836,0.818466681,0.1312
2.24,0.489418,0.8256,0.85360556,0.786,0.818408996,0.1348
1.91,0.489418,0.8236,0.843378608,0.7948,0.818369028,0.1476
1.89,0.489418,0.8235,0.842908628,0.7952,0.818359576,0.1482
1.9,0.489418,0.8235,0.842908628,0.7952,0.818359576,0.1482
2.27,0.489418,0.8259,0.855553131,0.7842,0.818324116,0.1324
1.85,0.489418,0.8233,0.842116402,0.7958,0.818303342,0.1492
1.86,0.489418,0.8233,0.842261275,0.7956,0.818265967,0.149
2.26,0.489418,0.8256,0.854221062,0.7852,0.818257607,0.134
2.25,0.489418,0.8255,0.853727451,0.7856,0.818248099,0.1346
2.3,0.489418,0.826,0.856517935,0.7832,0.818219808,0.1312
0.59,0.9814815,0.793,0.729623824,0.931,0.818101933,0.345
2.31,0.489418,0.826,0.857142857,0.7824,0.818067754,0.1304
2.32,0.489418,0.826,0.857612988,0.7818,0.817953547,0.1298
0.58,0.9814815,0.7926,0.72887985,0.9318,0.817942416,0.3466
2.42,0.489418,0.8266,0.862405681,0.7772,0.817588891,0.124
2.33,0.489418,0.8257,0.85751921,0.7812,0.817582418,0.1298
0.57,0.9814815,0.7919,0.727868852,0.9324,0.817536168,0.3486
2.41,0.489418,0.8264,0.861862528,0.7774,0.81745531,0.1246
2.37,0.489418,0.8258,0.859126984,0.7794,0.817323826,0.1278
2.35,0.489418,0.8255,0.857770939,0.7804,0.817258352,0.1294
2.43,0.489418,0.8264,0.862827924,0.7762,0.817224679,0.1234
2.34,0.489418,0.8254,0.857425308,0.7806,0.817211055,0.1298
2.4,0.489418,0.826,0.860779106,0.7778,0.817188485,0.1258
2.38,0.489418,0.8257,0.859412933,0.7788,0.817123072,0.1274
2.39,0.489418,0.8258,0.860079576,0.7782,0.817093658,0.1266
2.36,0.489418,0.8254,0.858054577,0.7798,0.817057837,0.129
0.56,0.9814815,0.791,0.726635514,0.933,0.816987741,0.351
2.44,0.489418,0.8263,0.86328212,0.7754,0.816984512,0.1228
0.55,0.9814815,0.7908,0.726127527,0.9338,0.816972878,0.3522
2.45,0.489418,0.8264,0.863960749,0.7748,0.816954871,0.122
2.46,0.489418,0.8263,0.864255414,0.7742,0.816752822,0.1216
0.54,0.9814815,0.7902,0.725170701,0.9346,0.816672492,0.3542
2.47,0.489418,0.8262,0.864713775,0.7734,0.816511824,0.121
0.51,0.9867725,0.7889,0.722470353,0.9382,0.816322979,0.3604
0.53,0.984127,0.7894,0.723855198,0.9358,0.816294487,0.357
2.48,0.489418,0.826,0.865143369,0.7724,0.816145393,0.1204
0.52,0.9867725,0.7888,0.722908305,0.9366,0.815995818,0.359
2.49,0.489418,0.8259,0.865604667,0.7716,0.815903563,0.1198
0.47,0.98941797,0.7876,0.72001224,0.9412,0.815880721,0.366
2.67,0.489418,0.8281,0.878431373,0.7616,0.815854312,0.1054
2.68,0.489418,0.8282,0.879158965,0.761,0.815823328,0.1046
0.46,0.99206346,0.7872,0.719169719,0.9424,0.815789474,0.368
0.5,0.9867725,0.7881,0.721513148,0.9384,0.815787186,0.3622
