threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.62,0.7824175,0.7475,0.699371677,0.8682,0.774694387,0.3732,,,,,,,,,
0.63,0.78215253,0.7476,0.699613028,0.8678,0.774683092,0.3726,,,,,,,,,
0.67,0.77944994,0.7479,0.700533894,0.866,0.774528218,0.3702,,,,,,,,,
0.68,0.77828413,0.7478,0.700615285,0.8654,0.774337867,0.3698,,,,,,,,,
0.73,0.7736739,0.7488,0.702936378,0.8618,0.774303684,0.3642,,,,,,,,,
0.72,0.7742568,0.7482,0.702117264,0.8622,0.773967684,0.3658,,,,,,,,,
0.74,0.7717132,0.7485,0.703122446,0.8602,0.773769902,0.3632,,,,,,,,,
0.71,0.7748397,0.7477,0.701349374,0.8628,0.773742265,0.3674,,,,,,,,,
0.7,0.7766414,0.7474,0.700811688,0.8634,0.773655914,0.3686,,,,,,,,,
0.78,0.76954055,0.7489,0.70425078,0.8582,0.773641035,0.3604,,,,,,,,,
0.75,0.7711303,0.7484,0.703140334,0.8598,0.773618859,0.363,,,,,,,,,
0.69,0.7766414,0.7471,0.70047055,0.8634,0.773447998,0.3692,,,,,,,,,
0.79,0.7689047,0.7488,0.704605263,0.8568,0.773285199,0.3592,,,,,,,,,
0.77,0.7699115,0.7482,0.703242712,0.8588,0.773275707,0.3624,,,,,,,,,
0.8,0.76837474,0.7489,0.704855967,0.8564,0.773273138,0.3586,,,,,,,,,
0.76,0.77033544,0.7481,0.703061057,0.859,0.773246917,0.3628,,,,,,,,,
0.83,0.76519525,0.7493,0.705862923,0.8548,0.773224785,0.3562,,,,,,,,,
0.84,0.7645064,0.7494,0.706183862,0.8542,0.773171615,0.3554,,,,,,,,,
0.82,0.7665201,0.7491,0.705494143,0.8552,0.773166983,0.357,,,,,,,,,
