self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.09,911,0.7343,0.706213695,0.8024,0.751240521,0.3338,0.863636364
0.07,841,0.7291,0.694515198,0.818,0.751216824,0.3598,0.909090909
0.07,851,0.7291,0.694515198,0.818,0.751216824,0.3598,0.909090909
0.07,861,0.7291,0.694515198,0.818,0.751216824,0.3598,0.909090909
0.07,871,0.7291,0.694515198,0.818,0.751216824,0.3598,0.909090909
0.09,1090,0.7351,0.708163627,0.7998,0.75119752,0.3296,0.840909091
0.09,1100,0.7351,0.708163627,0.7998,0.75119752,0.3296,0.840909091
0.09,951,0.7343,0.706286318,0.8022,0.751193932,0.3336,0.863636364
0.09,961,0.7343,0.706286318,0.8022,0.751193932,0.3336,0.863636364
0.09,971,0.7343,0.706286318,0.8022,0.751193932,0.3336,0.863636364
0.09,981,0.7343,0.706286318,0.8022,0.751193932,0.3336,0.863636364
0.08,791,0.7315,0.699879123,0.8106,0.75118154,0.3476,0.863636364
0.08,801,0.7315,0.699879123,0.8106,0.75118154,0.3476,0.863636364
0.09,921,0.7342,0.706161972,0.8022,0.751123596,0.3338,0.863636364
0.09,931,0.7342,0.706161972,0.8022,0.751123596,0.3338,0.863636364
0.09,941,0.7342,0.706161972,0.8022,0.751123596,0.3338,0.863636364
0.16,401,0.744,0.730798335,0.7726,0.751118024,0.2846,0.772727273
0.09,1030,0.7349,0.70783932,0.8,0.751103183,0.3302,0.840909091
0.09,1040,0.7349,0.70783932,0.8,0.751103183,0.3302,0.840909091
0.09,991,0.7344,0.70670194,0.8014,0.751077788,0.3326,0.863636364
0.09,1001,0.7344,0.70670194,0.8014,0.751077788,0.3326,0.863636364
0.09,1000,0.7344,0.70670194,0.8014,0.751077788,0.3326,0.863636364
0.09,811,0.7338,0.705303829,0.8032,0.751075369,0.3356,0.863636364
0.09,1110,0.7351,0.708385038,0.7992,0.751057231,0.329,0.840909091
0.09,1120,0.7351,0.708385038,0.7992,0.751057231,0.329,0.840909091
0.09,1050,0.7349,0.707912905,0.7998,0.751056437,0.33,0.840909091
0.09,1060,0.7349,0.707912905,0.7998,0.751056437,0.33,0.840909091
0.09,1070,0.7349,0.707912905,0.7998,0.751056437,0.33,0.840909091
0.09,1080,0.7349,0.707912905,0.7998,0.751056437,0.33,0.840909091
0.07,1120,0.7305,0.697854077,0.813,0.751039261,0.352,0.909090909
0.07,1130,0.7305,0.697854077,0.813,0.751039261,0.352,0.909090909
0.07,1140,0.7305,0.697854077,0.813,0.751039261,0.352,0.909090909
0.07,1150,0.7305,0.697854077,0.813,0.751039261,0.352,0.909090909
0.09,1010,0.7348,0.707714084,0.8,0.75103267,0.3304,0.840909091
0.09,1020,0.7348,0.707714084,0.8,0.75103267,0.3304,0.840909091
0.08,741,0.7312,0.699447895,0.8108,0.751018896,0.3484,0.863636364
0.08,751,0.7312,0.699447895,0.8108,0.751018896,0.3484,0.863636364
