self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.08,1000,0.7221,0.684193067,0.825,0.748027926,0.3808,0.526455026
0.14,211,0.7266,0.693675214,0.8116,0.748018433,0.3584,0.489417989
0.12,361,0.7298,0.700803915,0.802,0.747994777,0.3424,0.489417989
0.12,371,0.7298,0.700803915,0.802,0.747994777,0.3424,0.489417989
0.13,141,0.7215,0.683027599,0.8266,0.747986608,0.3836,0.492063492
0.09,1050,0.7273,0.695308472,0.8092,0.747943433,0.3546,0.494708995
0.09,1060,0.7273,0.695308472,0.8092,0.747943433,0.3546,0.494708995
0.09,1070,0.7273,0.695308472,0.8092,0.747943433,0.3546,0.494708995
0.09,1080,0.7273,0.695308472,0.8092,0.747943433,0.3546,0.494708995
0.12,331,0.7291,0.699390775,0.8036,0.747882736,0.3454,0.489417989
0.09,1010,0.7272,0.695189003,0.8092,0.747874307,0.3548,0.494708995
0.09,1020,0.7272,0.695189003,0.8092,0.747874307,0.3548,0.494708995
0.09,1030,0.7272,0.695189003,0.8092,0.747874307,0.3548,0.494708995
0.09,1040,0.7272,0.695189003,0.8092,0.747874307,0.3548,0.494708995
0.08,781,0.7206,0.681414474,0.8286,0.747833935,0.3874,0.526455026
0.12,891,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,901,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,911,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,921,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,931,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,941,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,951,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.12,961,0.733,0.708482462,0.7918,0.74782773,0.3258,0.489417989
0.08,1010,0.7236,0.687583893,0.8196,0.747810219,0.3724,0.5
0.08,1020,0.7236,0.687583893,0.8196,0.747810219,0.3724,0.5
0.08,1030,0.7236,0.687583893,0.8196,0.747810219,0.3724,0.5
0.08,1040,0.7236,0.687583893,0.8196,0.747810219,0.3724,0.5
0.14,221,0.7265,0.693755346,0.811,0.747810051,0.358,0.489417989
